dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
survey,6,6,org,7816,0.1910719103179872,26,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.9198770144687327,1.0,0.625,0.7692307692307693
survey,6,6,org,3578,0.35485050082206726,45,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9586447425139328,1.0,0.5306122448979592,0.6933333333333334
survey,6,6,org,2656,0.3178645223379135,44,4.0,0.875,0.08335,0.38885000000000003,0.125,0.08335,0.2,5.5,24.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,18.0,25.0,0.9583448665026681,1.0,0.44680851063829785,0.6176470588235294
survey,6,6,org,2688,0.1245898618362844,20,3.0,0.53334,0.23333999999999996,0.17776,0.46665999999999996,0.23333999999999996,0.38887499999999997,4.6,18.0,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.9529774329355463,1.0,0.5882352941176471,0.7407407407407407
survey,6,6,org,2494,0.4044081326574087,43,6.0,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,6.0,6.0,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,3.0,6.0,14.0,0.9268512745134931,0.9459459459459459,0.6363636363636364,0.7608695652173914
survey,6,6,org,183,0.24344570096582174,31,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.8844017022044166,0.7916666666666666,0.6129032258064516,0.6909090909090909
survey,6,6,org,7977,0.33330327924340963,39,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0,0.9504568207127915,0.975609756097561,0.7272727272727273,0.8333333333333334
survey,6,6,org,3199,0.19739407300949097,31,3.0,0.5,0.25,0.16665000000000002,0.5,0.25,0.33330000000000004,4.5,17.5,3.0,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,17.0,18.0,0.9182592334463597,1.0,0.2631578947368421,0.4166666666666667
survey,6,6,org,316,0.2416792088188231,33,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9030168570407198,0.8709677419354839,0.627906976744186,0.7297297297297297
survey,6,6,org,8266,0.25950255896896124,24,5.0,0.5,0.41667499999999996,0.27775,0.5,0.41667499999999996,0.45455,3.5,15.25,5.0,0.2,0.6667,0.1111,0.8,0.6667,0.7273,5.0,7.0,21.0,0.9487163997631979,0.9545454545454546,0.75,0.84
survey,6,6,org,1532,0.3552840300835669,42,6.0,0.58335,0.41664999999999996,0.38885000000000003,0.41664999999999996,0.41664999999999996,0.41664999999999996,3.5,19.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,13.0,20.0,0.9454490415002983,1.0,0.6774193548387096,0.8076923076923077
survey,6,6,org,1009,0.20039446977898479,29,4.0,0.75,0.166675,0.33330000000000004,0.25,0.166675,0.26666666666666666,5.0,21.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.5,18.0,22.0,0.8950685805530199,0.9333333333333333,0.5384615384615384,0.6829268292682926
survey,6,6,org,2250,0.10568802012130618,18,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,3.5,14.0,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,11.0,17.0,0.8328008021390374,1.0,0.4,0.5714285714285715
survey,6,6,org,4447,0.3721669353544712,39,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0,0.9382860122685193,0.975609756097561,0.7272727272727273,0.8333333333333334
survey,6,6,org,2415,0.30122727807611227,41,3.0,0.5,0.25,0.16665000000000002,0.5,0.25,0.33330000000000004,4.5,17.5,3.0,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,17.0,18.0,0.9309634527474061,1.0,0.3142857142857143,0.4782608695652174
survey,6,6,org,3595,0.24596246611326933,28,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.9316906367700764,0.9166666666666666,0.6666666666666666,0.7719298245614035
survey,6,6,org,4187,0.24135552532970905,35,5.0,0.30000000000000004,0.58335,0.16665000000000002,0.7,0.58335,0.6364,2.5,11.5,5.0,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,11.0,12.0,0.9372258444369677,1.0,0.5714285714285714,0.7272727272727273
survey,6,6,org,4135,0.13583556935191154,18,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,13.0,0.8479043990447499,0.7857142857142857,0.7333333333333333,0.7586206896551724
survey,6,6,org,5174,0.31458211271092296,36,5.0,0.7,0.25,0.38885000000000003,0.30000000000000004,0.25,0.2727,4.5,23.5,5.0,0.4,0.5,0.2222,0.4,0.3333,0.3636,5.0,17.0,24.0,0.9388595593042722,0.925,0.7254901960784313,0.8131868131868133
survey,6,6,org,5303,0.22897015186026692,32,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,16.0,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,16.0,16.0,0.9556607072096922,1.0,0.5142857142857142,0.6792452830188679
survey,6,6,org,3942,0.21975051192566752,34,4.0,0.375,0.41664999999999996,0.16665000000000002,0.625,0.41664999999999996,0.5,3.5,12.5,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,4.0,12.0,19.0,0.9043289549041738,1.0,0.42857142857142855,0.6
survey,6,6,org,2778,0.15024773962795734,18,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.882093962078406,0.75,0.7142857142857143,0.7317073170731706
survey,6,6,org,2804,0.26946725975722075,37,3.0,0.6,0.2,0.19998,0.4,0.2,0.33330000000000004,4.8,18.4,3.0,0.13332,0.43332,0.04444,0.86668,0.43332,0.57778,5.0,12.8,21.6,0.8619774321265099,1.0,0.2916666666666667,0.45161290322580644
survey,6,6,org,2145,0.38888966711238027,44,6.0,0.41664999999999996,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,14.0,0.9224981019665974,0.9444444444444444,0.5964912280701754,0.7311827956989247
survey,6,6,org,150,0.12919865269213915,16,4.0,0.45,0.36666,0.19998,0.55,0.36666,0.43999999999999995,3.8,17.8,4.0,0.0,0.6667,0.0,0.75,0.5,0.6,5.0,15.0,29.0,0.9509450375046351,0.8666666666666667,0.65,0.7428571428571429
survey,6,6,org,8823,0.20315806800499558,33,3.0,0.6,0.19999999999999998,0.19998,0.39999999999999997,0.19999999999999998,0.3333,4.8,18.2,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.990901710820388,1.0,0.37142857142857144,0.5416666666666666
survey,6,6,org,4669,0.4238842511549592,49,6.0,0.58335,0.41664999999999996,0.38885000000000003,0.41664999999999996,0.41664999999999996,0.41664999999999996,3.5,19.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,13.0,20.0,0.9000983882889204,0.967741935483871,0.5454545454545454,0.6976744186046512
survey,6,6,org,6131,0.2646208070218563,37,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9373264091264077,1.0,0.6428571428571429,0.782608695652174
survey,6,6,org,2617,0.2010157499462366,30,4.0,0.5,0.333325,0.2222,0.5,0.333325,0.39999999999999997,4.0,15.5,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,6.0,12.0,19.0,0.9473452663586958,1.0,0.5862068965517241,0.7391304347826086
survey,6,6,org,7166,0.23386433999985456,24,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.8587792599956603,0.8181818181818182,0.6428571428571429,0.7200000000000001
survey,6,6,org,1428,0.17305728001520038,25,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.9206611811391223,1.0,0.6666666666666666,0.8
survey,6,6,org,8328,0.25616596825420856,35,4.0,0.625,0.25,0.27775,0.375,0.25,0.30000000000000004,4.5,18.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.0,18.0,19.0,0.9436706418546237,1.0,0.6046511627906976,0.7536231884057971
survey,6,6,org,8289,0.2266000397503376,37,3.0,0.53334,0.23333999999999996,0.17776,0.46665999999999996,0.23333999999999996,0.38887499999999997,4.6,18.0,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.9270816722264794,1.0,0.32142857142857145,0.4864864864864865
survey,6,6,org,5978,0.22749622212722898,26,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.9067603686234971,0.8846153846153846,0.6764705882352942,0.7666666666666666
survey,6,6,org,5511,0.32548843836411834,37,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9282168255677352,0.9629629629629629,0.5909090909090909,0.732394366197183
survey,6,6,org,5864,0.13355932803824544,21,3.0,0.46665999999999996,0.26666,0.15554,0.53334,0.26666,0.44442499999999996,4.4,15.6,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.8958437074197944,0.9230769230769231,0.6666666666666666,0.7741935483870968
survey,6,6,org,606,0.2292442307807505,23,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,20.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,14.0,20.0,0.9438992273946507,0.9565217391304348,0.7857142857142857,0.8627450980392156
survey,6,6,org,1933,0.21592162596061826,27,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.929676743033941,1.0,0.5769230769230769,0.7317073170731707
survey,6,6,org,6071,0.16244322201237082,23,4.0,0.5,0.333325,0.2222,0.5,0.333325,0.4,4.0,14.5,4.0,0.3125,0.458325,0.138875,0.6875,0.458325,0.55,4.75,9.75,19.5,0.9428764116996624,0.9411764705882353,0.7272727272727273,0.8205128205128205
survey,6,6,org,5504,0.2222774992696941,31,4.0,0.65,0.23334000000000002,0.28886,0.35,0.23334000000000002,0.35000000000000003,4.6,19.2,4.0,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,10.0,24.0,0.9468152888347263,0.9375,0.5357142857142857,0.6818181818181818
survey,6,6,org,5163,0.23905693693086505,33,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.8891708619039266,0.9090909090909091,0.6060606060606061,0.7272727272727273
survey,6,6,org,2406,0.2052768711000681,28,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,17.0,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,14.0,20.0,0.8867515051352899,0.9473684210526315,0.6666666666666666,0.782608695652174
survey,6,6,org,304,0.24412239203229547,25,5.0,0.5,0.41664999999999996,0.27775,0.5,0.41664999999999996,0.45455,3.5,14.5,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,14.0,15.0,0.9580137044947077,0.9523809523809523,0.6666666666666666,0.7843137254901961
survey,6,6,org,3391,0.24796234676614404,36,4.0,0.55,0.3,0.24442,0.45,0.3,0.36,4.2,18.4,4.0,0.05,0.63336,0.02222,0.7,0.46665999999999996,0.56,5.0,15.2,27.8,0.9569916519335643,1.0,0.32432432432432434,0.489795918367347
survey,6,6,org,359,0.34860481368377805,45,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,0.9409496878324337,1.0,0.660377358490566,0.7954545454545454
survey,6,6,org,9096,0.2027614531107247,29,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,13.0,0.9065870811274961,1.0,0.6,0.7499999999999999
survey,6,6,org,3533,0.2746962779201567,28,5.0,0.5,0.41664999999999996,0.27775,0.5,0.41664999999999996,0.45455,3.5,13.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,6.0,10.0,16.0,0.8978968777897136,0.9444444444444444,0.6071428571428571,0.7391304347826088
survey,6,6,org,4125,0.34074223972857,36,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9578097250996818,1.0,0.6666666666666666,0.8
survey,6,6,org,3094,0.2510262164287269,34,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9297156852439407,0.9523809523809523,0.5882352941176471,0.7272727272727274
survey,6,6,org,6398,0.15727290231734514,21,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.8970862259924759,0.85,0.7083333333333334,0.7727272727272727
survey,6,6,new,7816,0.18478812417015433,26,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.9198770144687327,1.0,0.625,0.7692307692307693
survey,6,6,new,3578,0.3478972651064396,45,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9586447425139328,1.0,0.5306122448979592,0.6933333333333334
survey,6,6,new,2656,0.34357302775606513,44,4.0,0.625,0.25,0.27775,0.375,0.25,0.30000000000000004,4.5,18.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.0,18.0,19.0,0.9583448665026681,1.0,0.44680851063829785,0.6176470588235294
survey,6,6,new,2688,0.1269137617200613,20,3.0,0.333325,0.333325,0.1111,0.666675,0.333325,0.44442499999999996,4.0,14.0,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,5.0,13.5,21.0,0.9529774329355463,1.0,0.5882352941176471,0.7407407407407407
