dataset,n_samples,alg,precision,recall,F_score,accuracy,SID,NHD,REFERENCE NHD,RATIO,Number of predicted edges,Number of true edges,Is true graph a DAG?,Is estimated graph a DAG?
dag_10_nodes_10_edges_degrees_ER,5000,llm_bfs_with_statistics,0.6666666666666666,0.4,0.5,0.3333333333333333,Not a DAG,0.2222222222222222,0.4444444444444444,0.5,6,10,True,True
dag_10_nodes_10_edges_degrees_SF,5000,llm_bfs_with_statistics,0.625,0.5555555555555556,0.5882352941176471,0.4166666666666667,Not a DAG,0.109375,0.265625,0.4117647058823529,8,9,True,True
dag_10_nodes_10_edges_degrees_random,5000,llm_bfs_with_statistics,0.6666666666666666,0.2,0.30769230769230765,0.18181818181818182,Not a DAG,0.36,0.52,0.6923076923076923,3,10,True,True
dag_10_nodes_10_edges_none_ER,5000,llm_bfs_with_statistics,0.36363636363636365,0.4,0.380952380952381,0.23529411764705882,Not a DAG,0.2653061224489796,0.42857142857142855,0.6190476190476191,11,10,True,True
dag_10_nodes_10_edges_none_SF,5000,llm_bfs_with_statistics,0.15625,0.5555555555555556,0.24390243902439024,0.1388888888888889,Not a DAG,0.31,0.41,0.7560975609756098,32,9,True,True
dag_10_nodes_10_edges_none_random,5000,llm_bfs_with_statistics,0.0,0.0,p + r = 0,0.0,Not a DAG,2.75,2.75,1.0,1,10,True,True
dag_10_nodes_10_edges_semantics_ER,5000,llm_bfs_with_statistics,0.8,0.4,0.5333333333333333,0.36363636363636365,Not a DAG,0.14285714285714285,0.30612244897959184,0.4666666666666666,5,10,True,True
dag_10_nodes_10_edges_semantics_SF,5000,llm_bfs_with_statistics,0.19230769230769232,0.5555555555555556,0.28571428571428575,0.16666666666666666,Not a DAG,0.30864197530864196,0.43209876543209874,0.7142857142857143,26,9,True,True
dag_10_nodes_10_edges_semantics_random,5000,llm_bfs_with_statistics,0.21621621621621623,0.8,0.3404255319148936,0.20512820512820512,Not a DAG,0.31,0.47,0.6595744680851064,37,10,True,True
dag_10_nodes_15_edges_degrees_ER,5000,llm_bfs_with_statistics,0.6666666666666666,0.26666666666666666,0.3809523809523809,0.23529411764705882,Not a DAG,0.203125,0.328125,0.6190476190476191,6,15,True,True
dag_10_nodes_15_edges_degrees_SF,5000,llm_bfs_with_statistics,0.16666666666666666,0.17647058823529413,0.17142857142857143,0.09375,Not a DAG,0.29,0.35,0.8285714285714285,18,17,True,True
