,,meta,meta,meta,time,time,remove_n,remove_n,dag_F1,dag_F1,dag_shd,dag_shd,dag_sid,dag_sid,AP,AP,CIT_Precision,CIT_Precision,CIT_F1,CIT_F1
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,,,,,
cancer,new,5,4,50,0.10415021964348853,0.03198860312123358,11.88,4.542946989228333,0.9006139999999999,0.09069821007166617,0.68,0.5869325309764039,0.96,1.3241863115721677,0.9812637528093611,0.01186753455085011,0.9809892654943806,0.03833393153636559,0.8574846102432759,0.0812770556033269
cancer,org,5,4,50,0.10387264188379049,0.03497074935430689,10.28,4.53125202322263,0.6035856976744186,0.17935158441353258,2.106,1.1480969169073858,8.07,4.491499908557432,0.9812637528093611,0.01186753455085011,0.9515999983613054,0.053110271334202507,0.8595783608587217,0.08055361758622283
earthquake,new,5,4,50,0.022605847874656318,0.01177436108641694,1.56,8.114386317283794,0.990556,0.04108899331242581,0.08,0.34046786536608525,0.08,0.5656854249492379,0.9998163552095004,0.0006473072273238145,0.9939896036387265,0.009316365739827637,0.9770806466003196,0.02324337209989088
earthquake,org,5,4,50,0.024412404745817184,0.013091159420842649,1.56,8.114386317283794,0.985556,0.07343676485693702,0.1,0.4629100498862757,0.21,1.48492424049175,0.9998163552095004,0.0006473072273238145,0.9939896036387265,0.009316365739827637,0.9770806466003196,0.02324337209989088
asia,new,8,8,50,0.8381910100020469,0.08423608077078694,138.7,11.225426677041394,0.750088,0.07983798553754895,3.06,0.6824326235712107,15.88,3.8842434190940596,0.9738776290053153,0.0023738881040242217,0.996,0.02828427124746189,0.07622840253394653,0.010064454800560235
asia,org,8,8,50,0.8576830707583576,0.07936091881931616,138.7,11.225426677041394,0.5548054,0.1415374035740883,4.4110000000000005,1.0733929611188961,24.080666666666666,6.502820214975908,0.9738776290053153,0.0023738881040242217,0.996,0.02828427124746189,0.07622840253394653,0.010064454800560235
sachs,new,11,17,50,4.370337241282686,0.6941334299346802,70.52,26.236942330560222,0.757718,0.06759629131838521,4.292,1.203538999139197,20.864,6.771300782398776,0.9997251843395442,0.00018204272575226543,0.9995569450012972,0.0009841820296825163,0.9689502638293872,0.013019197398717684
sachs,org,11,17,50,5.148810287825763,0.906751817248003,70.52,26.236942330560222,0.6978068000000001,0.10975682126428779,5.392,1.8621734065114257,26.467999999999996,9.80225796561638,0.9997251843395442,0.00018204272575226543,0.9995569450012972,0.0009841820296825163,0.9689502638293872,0.013019197398717684
child,new,20,25,50,679.7443450756277,288.4781750620341,3207.5,1415.1658769146723,0.854346,0.06352972696433745,4.388,2.384699527557863,68.414,34.661464870065366,0.9947594224985594,0.0012292525543317857,0.999916965088812,0.0002364524801171942,0.5275575583383175,0.38135523489002277
child,org,20,25,50,840.1773695622757,549.214492146519,3207.5,1415.1658769146723,0.8368186,0.07453626368501745,4.834,2.6290069514971637,78.12266666666666,36.312048586693074,0.9947594224985594,0.0012292525543317857,0.999916965088812,0.0002364524801171942,0.5275575583383175,0.38135523489002277
