dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
asia,8,8,org,7816,0.2567763300612569,137,4.0,0.3,0.35,0.06,0.7,0.35,0.4666599999999999,5.2,23.8,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9715343178921664,1.0,0.0232558139534883,0.0454545454545454,asia,,,,,,,,
asia,8,8,org,3578,0.2551490450277924,131,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9751088465006924,1.0,0.0245901639344262,0.048,asia,,,,,,,,
asia,8,8,org,2656,0.2979207360185683,154,5.0,0.2,0.5,0.05,0.8,0.5,0.615375,4.0,20.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9778476574151512,1.0,0.0212765957446808,0.0416666666666666,asia,,,,,,,,
asia,8,8,org,2688,0.2522815279662609,131,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.974327183384578,1.0,0.024793388429752,0.0483870967741935,asia,,,,,,,,
asia,8,8,org,2494,0.2704541999846697,137,5.0,0.4000000000000001,0.375,0.1,0.6,0.375,0.4615333333333333,5.0,27.666666666666668,5.0,0.0,0.625,0.0,0.2,0.125,0.1538,6.0,22.0,37.0,0.9725753142927356,1.0,0.0234375,0.0458015267175572,asia,,,,,,,,
asia,8,8,org,183,0.2884051743894815,146,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9738907369153766,1.0,0.0289855072463768,0.056338028169014,asia,,,,,,,,
asia,8,8,org,7977,0.2994351652450859,147,6.0,0.3333,0.5,0.1,0.6667,0.5,0.5714,4.0,25.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.974617931803113,1.0,0.028169014084507,0.0547945205479452,asia,,,,,,,,
asia,8,8,org,3199,0.3159627127461135,156,6.0,0.3333,0.5,0.1,0.6667,0.5,0.5714,4.0,25.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9787014775164188,1.0,0.027027027027027,0.0526315789473684,asia,,,,,,,,
asia,8,8,org,316,0.2487691030837595,122,4.0,0.25,0.375,0.05,0.75,0.375,0.5,5.0,25.0,4.0,0.25,0.375,0.05,0.5,0.25,0.3333,7.0,25.0,35.0,0.9679662933107962,1.0,0.0181818181818181,0.0357142857142857,asia,,,,,,,,
asia,8,8,org,8266,0.2755861687473953,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9739595239131816,1.0,0.0234375,0.0458015267175572,asia,,,,,,,,
asia,8,8,org,1532,0.2602874636650085,131,5.0,0.2,0.5,0.05,0.8,0.5,0.615375,4.0,20.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.974349323952413,1.0,0.0245901639344262,0.048,asia,,,,,,,,
asia,8,8,org,1009,0.2903406517580151,142,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.8,0.5,0.6154,4.0,16.0,31.0,0.9751396451517708,1.0,0.0225563909774436,0.0441176470588235,asia,,,,,,,,
asia,8,8,org,2250,0.2837378773838281,141,6.0,0.3333,0.5,0.1,0.6667,0.5,0.5714,4.0,25.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9735676345236852,1.0,0.0291970802919708,0.0567375886524822,asia,,,,,,,,
asia,8,8,org,4447,0.2854044190607965,141,6.0,0.333325,0.5,0.1,0.666675,0.5,0.571425,4.0,24.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9759763014410408,1.0,0.0296296296296296,0.0575539568345323,asia,,,,,,,,
asia,8,8,org,2415,0.3251640573143959,158,6.0,0.333325,0.5,0.1,0.666675,0.5,0.571425,4.0,24.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9768136524384636,1.0,0.0273972602739726,0.0533333333333333,asia,,,,,,,,
asia,8,8,org,3595,0.2748385481536388,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9745745447959278,1.0,0.0236220472440944,0.0461538461538461,asia,,,,,,,,
asia,8,8,org,4187,0.2660189541056752,132,5.0,0.4,0.375,0.1,0.6,0.375,0.4615,5.0,29.0,5.0,0.0,0.625,0.0,0.2,0.125,0.1538,6.0,22.0,37.0,0.9735665921668942,1.0,0.0241935483870967,0.0472440944881889,asia,,,,,,,,
asia,8,8,org,4135,0.2780307177454233,137,5.0,0.3,0.4375,0.075,0.7,0.4375,0.53845,4.5,22.5,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9744891687266788,1.0,0.0232558139534883,0.0454545454545454,asia,,,,,,,,
asia,8,8,org,5174,0.2644771342165768,131,4.0,0.25,0.375,0.05,0.75,0.375,0.5,5.0,23.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9736964758511624,1.0,0.0245901639344262,0.048,asia,,,,,,,,
asia,8,8,org,5303,0.2835730258375406,143,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9740850861235408,1.0,0.0223880597014925,0.0437956204379562,asia,,,,,,,,
asia,8,8,org,3942,0.3015231871977448,149,6.0,0.3333,0.5,0.1,0.6667,0.5,0.5714,4.0,25.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9751427889189664,1.0,0.0344827586206896,0.0666666666666666,asia,,,,,,,,
asia,8,8,org,2778,0.2662786263972521,137,5.0,0.1,0.5625,0.025,0.9,0.5625,0.6922999999999999,3.5,17.5,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9728482970272934,1.0,0.023076923076923,0.0451127819548872,asia,,,,,,,,
asia,8,8,org,2804,0.2902007140219211,141,5.0,0.2,0.5,0.05,0.8,0.5,0.615375,4.0,20.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9734015327344092,1.0,0.0300751879699248,0.0583941605839416,asia,,,,,,,,
asia,8,8,org,2145,0.2673723860643804,137,4.0,0.5,0.25,0.1,0.5,0.25,0.3333,6.0,31.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9757245770763252,1.0,0.023076923076923,0.0451127819548872,asia,,,,,,,,
asia,8,8,org,150,0.3091856949031353,154,6.0,0.333325,0.5,0.1,0.666675,0.5,0.571425,4.0,24.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.976279226360634,1.0,0.0208333333333333,0.0408163265306122,asia,,,,,,,,
asia,8,8,org,8823,0.2659162818454206,137,5.0,0.1,0.5625,0.025,0.9,0.5625,0.6922999999999999,3.5,17.5,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.971355702909668,1.0,0.0234375,0.0458015267175572,asia,,,,,,,,
