dataset,num_nodes,num_edges,impl,seed,time,remove_n,n_models_enumerated,n_dag_models,n_cpdag_models,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
dag_10_nodes_10_edges_degrees_ER,10,10,org,7816,0.4354077000025427,62,11,5,1,9.0,0.31108,0.6199999999999999,0.08,0.6889200000000001,0.6199999999999999,0.65262,3.8,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9816240761110474,0.9863013698630136,0.6260869565217392,0.7659574468085107,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3578,0.4079754999984288,59,11,5,1,9.0,0.3999799999999999,0.5399999999999999,0.10286,0.60002,0.5399999999999999,0.56842,4.6,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9785942711000558,1.0,0.6607142857142857,0.7956989247311829,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2656,0.2480398999905446,33,7,5,1,9.0,0.37774,0.5599999999999999,0.09714,0.62226,0.5599999999999999,0.5894600000000001,4.4,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.968993909797277,0.9310344827586208,0.7941176470588235,0.8571428571428571,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2688,0.3905288000096334,57,10,5,1,9.0,0.3999799999999999,0.54,0.10286,0.60002,0.54,0.5684199999999999,4.6,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9597027551829042,0.9836065573770492,0.6185567010309279,0.759493670886076,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2494,0.2370224999904167,33,6,5,1,8.0,0.325,0.5399999999999999,0.07428,0.675,0.5399999999999999,0.60002,4.6,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.981383595208716,0.9545454545454546,0.7590361445783133,0.8456375838926175,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,183,0.3002223000075901,30,7,5,1,9.0,0.3333,0.6,0.0857,0.6667,0.6,0.63158,4.0,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9730618244281448,0.9555555555555556,0.8431372549019608,0.8958333333333333,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,7977,0.2767365000036079,37,9,5,1,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9663618386951632,0.9397590361445785,0.7722772277227723,0.8478260869565218,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3199,0.2844586999999592,42,17,5,1,8.0,0.275,0.58,0.06284,0.725,0.58,0.6444799999999999,4.2,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.9689735044581564,0.9454545454545454,0.6265060240963856,0.753623188405797,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,316,0.4879558999964501,65,6,5,1,9.0,0.26664,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69472,3.4,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.976024372445128,1.0,0.5982905982905983,0.748663101604278,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8266,0.2888882999977795,38,6,5,1,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.63156,4.0,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9822136389353144,0.975609756097561,0.8,0.8791208791208791,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1532,0.2775562000024365,41,4,3,1,8.0,0.125,0.7000000000000001,0.0285666666666666,0.875,0.7000000000000001,0.7778,3.0,,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,,,0.9755648867605704,0.96875,0.6888888888888889,0.8051948051948051,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1009,0.3510348999989219,52,6,5,1,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.980758382253835,1.0,0.7128712871287128,0.8323699421965318,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2250,0.4682433000125456,69,6,5,1,9.0,0.26664,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69472,3.4,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9738794900463784,1.0,0.5689655172413793,0.7252747252747253,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4447,0.4885139999969397,69,7,5,1,9.0,0.39998,0.5399999999999999,0.10286,0.60002,0.5399999999999999,0.56842,4.6,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.964203945789002,1.0,0.5882352941176471,0.7407407407407407,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2415,0.3057881999993697,43,4,3,1,8.0,0.125,0.7000000000000001,0.0285666666666666,0.875,0.7000000000000001,0.7778,3.0,,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,,,0.9757795680492846,0.953846153846154,0.6813186813186813,0.7948717948717949,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3595,0.3365045999962603,51,5,2,1,8.0,0.3125,0.55,0.0713999999999999,0.6875,0.55,0.61115,4.5,,8.0,0.25,0.6,0.0571,0.625,0.5,0.5556,5.0,,,0.9598431451635074,0.9661016949152542,0.6195652173913043,0.7549668874172185,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4187,0.228011899991543,31,6,5,1,8.0,0.275,0.58,0.06284,0.725,0.58,0.6444799999999999,4.2,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.9750838014955104,0.9375,0.75,0.8333333333333334,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4135,0.4015084999991813,58,14,5,1,9.0,0.3555399999999999,0.5799999999999998,0.0914199999999999,0.64446,0.5799999999999998,0.6105200000000001,4.2,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.974135598766516,0.9852941176470588,0.6261682242990654,0.7657142857142858,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5174,0.3590140000014798,53,6,5,1,8.0,0.275,0.58,0.06284,0.725,0.58,0.6444799999999999,4.2,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.979769374121488,1.0,0.6464646464646465,0.7852760736196319,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5303,0.3749867000005906,55,9,5,1,9.0,0.3555399999999999,0.5800000000000001,0.09142,0.64446,0.5800000000000001,0.61052,4.2,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9686711465300828,0.9692307692307692,0.63,0.7636363636363637,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3942,0.4742221999913454,67,7,5,1,9.0,0.35552,0.58,0.09142,0.64448,0.58,0.61052,4.2,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.980970661318784,1.0,0.5882352941176471,0.7407407407407407,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2778,0.4689654000103473,73,10,5,1,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.9690916263972984,1.0,0.5304347826086957,0.6931818181818182,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2804,0.2525760999997146,35,6,5,1,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,,,0.9690851846920716,0.953125,0.7261904761904762,0.8243243243243242,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2145,0.5057489000027999,76,8,5,1,9.0,0.35552,0.5800000000000001,0.09142,0.6444799999999999,0.5800000000000001,0.6105200000000001,4.2,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9743014764797668,1.0,0.5658914728682171,0.7227722772277227,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,150,0.563475799994194,68,7,5,1,10.0,0.1599999999999999,0.8400000000000001,0.0457,0.8400000000000001,0.8400000000000001,0.8400000000000001,1.6,,10.0,0.0,1.0,0.0,0.7,0.7,0.7,0.0,,,0.9753908030025426,1.0,0.6950354609929078,0.8200836820083682,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8823,0.5004887999966741,70,11,5,1,10.0,0.3399999999999999,0.6599999999999999,0.0971399999999999,0.6599999999999999,0.6599999999999999,0.6599999999999999,3.4,,10.0,0.1,0.9,0.0286,0.7,0.7,0.7,1.0,,,0.9783323099580512,1.0,0.6808510638297872,0.810126582278481,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4669,0.3531720000028144,48,6,5,1,9.0,0.3555400000000001,0.58,0.0914199999999999,0.64446,0.58,0.61052,4.2,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9731935878237182,0.9861111111111112,0.71,0.8255813953488371,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,6131,0.5612349000002723,79,9,5,1,10.0,0.44,0.5599999999999999,0.12572,0.5599999999999999,0.5599999999999999,0.5599999999999999,4.4,,10.0,0.3,0.7,0.0857,0.5,0.5,0.5,3.0,,,0.9769714994145182,0.971153846153846,0.6392405063291139,0.7709923664122137,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2617,0.6300687000039034,88,7,5,1,10.0,0.3399999999999999,0.6599999999999999,0.09714,0.6599999999999999,0.6599999999999999,0.6599999999999999,4.4,,10.0,0.2,0.8,0.0571,0.6,0.6,0.6,3.0,,,0.9706509387732872,1.0,0.5777777777777777,0.732394366197183,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,7166,0.4130080000031739,61,8,5,1,9.0,0.31108,0.6199999999999999,0.08,0.6889200000000001,0.6199999999999999,0.65262,3.8,,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,,,0.9695647724189996,1.0,0.5963302752293578,0.7471264367816092,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
