dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
dag_10_nodes_10_edges_degrees_ER,10,10,org,7816,0.6734327338635921,62,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9816240761110474,0.9863013698630136,0.6260869565217392,0.7659574468085107,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3578,0.8827835549600422,59,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.4,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9785942711000558,1.0,0.6607142857142857,0.7956989247311829,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2656,0.56666263891384,33,9.0,0.37776,0.5599999999999999,0.0971399999999999,0.62224,0.5599999999999999,0.58948,4.4,22.4,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.968993909797277,0.9310344827586208,0.7941176470588235,0.8571428571428571,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2688,0.8135121436789632,57,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.4,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9597027551829042,0.9836065573770492,0.6185567010309279,0.759493670886076,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2494,0.5185662480071187,33,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,22.8,8.0,0.15,0.6799999999999999,0.0343,0.625,0.5,0.5556,3.4,17.6,29.4,0.981383595208716,0.9545454545454546,0.7590361445783133,0.8456375838926175,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,183,0.5372068230062723,30,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9730618244281448,0.9555555555555556,0.8431372549019608,0.8958333333333333,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,7977,0.6270169839262962,37,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.63156,4.0,21.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9663618386951632,0.9397590361445785,0.7722772277227723,0.8478260869565218,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3199,0.6701316880062222,42,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9689735044581564,0.9454545454545454,0.6265060240963856,0.753623188405797,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,316,0.9470786298625172,65,9.0,0.4221999999999999,0.52,0.1085799999999999,0.5778000000000001,0.52,0.5473800000000001,4.8,26.8,9.0,0.13332,0.78,0.0343,0.6667,0.6,0.6316,2.4,12.6,30.4,0.976024372445128,1.0,0.5982905982905983,0.748663101604278,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8266,0.5961562618613243,38,9.0,0.37774,0.5599999999999999,0.09714,0.62226,0.5599999999999999,0.5894600000000001,4.4,23.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9822136389353144,0.975609756097561,0.8,0.8791208791208791,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1532,0.5624474720098078,41,8.0,0.125,0.7000000000000001,0.0285666666666666,0.875,0.7000000000000001,0.7778,3.0,13.0,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9755648867605704,0.96875,0.6888888888888889,0.8051948051948051,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1009,0.7705710628069937,52,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,22.2,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.980758382253835,1.0,0.7128712871287128,0.8323699421965318,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2250,0.8712278245948255,69,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9738794900463784,1.0,0.5689655172413793,0.7252747252747253,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4447,1.061725061852485,69,9.0,0.35552,0.58,0.09142,0.6444799999999999,0.58,0.6105200000000001,4.2,23.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.964203945789002,1.0,0.5882352941176471,0.7407407407407407,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2415,0.6877111047506332,43,8.0,0.125,0.7000000000000001,0.0285666666666666,0.875,0.7000000000000001,0.7778,3.0,13.0,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9757795680492846,0.953846153846154,0.6813186813186813,0.7948717948717949,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3595,0.7531702755950391,51,8.0,0.3125,0.55,0.0713999999999999,0.6875,0.55,0.61115,4.5,23.5,8.0,0.25,0.6,0.0571,0.625,0.5,0.5556,5.0,20.0,27.0,0.9598431451635074,0.9661016949152542,0.6195652173913043,0.7549668874172185,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4187,0.5406253766268492,31,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,23.6,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9750838014955104,0.9375,0.75,0.8333333333333334,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4135,0.8616128726862371,58,9.0,0.3999799999999999,0.54,0.10286,0.60002,0.54,0.56842,4.6,25.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.974135598766516,0.9852941176470588,0.6261682242990654,0.7657142857142858,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5174,0.801866244059056,53,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.15,0.6799999999999999,0.0343,0.625,0.5,0.5556,3.4,17.6,29.4,0.979769374121488,1.0,0.6464646464646465,0.7852760736196319,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5303,0.8188382727093995,55,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.2,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9686711465300828,0.9692307692307692,0.63,0.7636363636363637,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3942,0.9752970710396768,67,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.980970661318784,1.0,0.5882352941176471,0.7407407407407407,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2778,1.047638466116041,73,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,23.6,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9690916263972984,1.0,0.5304347826086957,0.6931818181818182,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2804,0.6070886789821088,35,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.0,8.0,0.15,0.6799999999999999,0.0343,0.625,0.5,0.5556,3.4,17.6,29.4,0.9690851846920716,0.953125,0.7261904761904762,0.8243243243243242,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2145,1.0814951919019222,76,9.0,0.37776,0.5599999999999999,0.09714,0.62224,0.5599999999999999,0.58948,4.4,23.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9743014764797668,1.0,0.5658914728682171,0.7227722772277227,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,150,1.1129394969902933,68,10.0,0.18,0.82,0.05142,0.82,0.82,0.82,1.8,7.2,10.0,0.0,1.0,0.0,0.7,0.7,0.7,0.0,0.0,32.0,0.9753908030025426,1.0,0.6950354609929078,0.8200836820083682,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8823,1.0793277262710037,70,10.0,0.36,0.64,0.10286,0.64,0.64,0.64,3.6,20.0,10.0,0.1,0.9,0.0286,0.7,0.7,0.7,1.0,7.0,26.0,0.9783323099580512,1.0,0.6808510638297872,0.810126582278481,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4669,0.7596788769587874,48,9.0,0.37776,0.5599999999999999,0.09714,0.62224,0.5599999999999999,0.58948,4.4,23.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9731935878237182,0.9861111111111112,0.71,0.8255813953488371,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,6131,1.297925527673215,79,10.0,0.4599999999999999,0.54,0.1314399999999999,0.54,0.54,0.54,4.6,26.2,10.0,0.3,0.7,0.0857,0.5,0.5,0.5,3.0,19.0,32.0,0.9769714994145182,0.971153846153846,0.6392405063291139,0.7709923664122137,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2617,1.435234700795263,88,10.0,0.4599999999999999,0.54,0.13144,0.54,0.54,0.54,5.6,24.4,10.0,0.2,0.8,0.0571,0.6,0.6,0.6,3.0,12.0,31.0,0.9706509387732872,1.0,0.5777777777777777,0.732394366197183,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,7166,0.8617432271130383,61,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,19.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9695647724189996,1.0,0.5963302752293578,0.7471264367816092,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1428,0.7886495399288833,59,8.0,0.125,0.7000000000000001,0.0285666666666666,0.875,0.7000000000000001,0.7778,3.0,13.0,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9664975221159564,1.0,0.6146788990825688,0.7613636363636362,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8328,1.2405129307880998,75,10.0,0.36,0.64,0.10286,0.64,0.64,0.64,3.6,20.0,10.0,0.1,0.9,0.0286,0.7,0.7,0.7,1.0,7.0,26.0,0.9789380872701414,0.9813084112149532,0.6774193548387096,0.8015267175572518,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,8289,0.8745884336531162,54,9.0,0.26664,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69472,3.4,18.4,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9593109615693686,0.9545454545454546,0.6176470588235294,0.75,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5978,0.7604176159948111,49,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9736365734071112,1.0,0.6395348837209303,0.7801418439716312,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5511,0.8987807272933424,52,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.63158,4.0,21.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9783806913989684,0.9864864864864864,0.6952380952380952,0.8156424581005586,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5864,0.5402710400521755,40,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,23.6,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9802644951103578,0.9661016949152542,0.6785714285714286,0.7972027972027973,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,606,1.197966790758073,67,10.0,0.36,0.64,0.10286,0.64,0.64,0.64,3.6,20.0,10.0,0.1,0.9,0.0286,0.7,0.7,0.7,1.0,7.0,26.0,0.9811038018226296,1.0,0.7071428571428572,0.8284518828451882,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,1933,0.872471930924803,52,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.63158,4.0,20.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9770235052150806,1.0,0.6981132075471698,0.8222222222222222,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,6071,0.6842225948348641,42,8.0,0.3,0.56,0.06856,0.7,0.56,0.62224,4.4,23.6,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9783360323983884,0.9827586206896552,0.6785714285714286,0.8028169014084507,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5504,1.1131685506552458,64,10.0,0.1399999999999999,0.86,0.04,0.86,0.86,0.86,1.4,6.0,10.0,0.0,1.0,0.0,0.7,0.7,0.7,0.0,0.0,32.0,0.985824439816216,1.0,0.7194244604316546,0.8368200836820083,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,5163,0.9758760198019444,64,9.0,0.35552,0.58,0.09142,0.64448,0.58,0.6105200000000001,4.2,22.6,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9589423981919964,1.0,0.6181818181818182,0.7640449438202247,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,2406,1.06862460821867,60,9.0,0.3999799999999999,0.54,0.10286,0.60002,0.54,0.56842,4.6,25.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9811230834109635,0.9746835443037974,0.6363636363636364,0.77,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,304,1.0780757241882384,60,9.0,0.15554,0.76,0.04,0.84446,0.76,0.8,2.4,10.4,9.0,0.0,0.9,0.0,0.6667,0.6,0.6316,1.0,5.0,31.0,0.983626981358051,1.0,0.6578947368421053,0.7936507936507937,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3391,1.0419154441915452,71,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9720529339143158,1.0,0.5517241379310345,0.7111111111111111,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,359,1.0733984080143273,61,9.0,0.15554,0.76,0.04,0.84446,0.76,0.8,2.4,10.4,9.0,0.0,0.9,0.0,0.6667,0.6,0.6316,1.0,5.0,31.0,0.977340478294682,1.0,0.6859504132231405,0.8137254901960784,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,9096,1.1206240030005574,66,10.0,0.4599999999999999,0.54,0.1314399999999999,0.54,0.54,0.54,4.6,26.2,10.0,0.3,0.7,0.0857,0.5,0.5,0.5,3.0,19.0,32.0,0.97862167249831,1.0,0.7162162162162162,0.8346456692913385,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3533,0.774354353081435,54,8.0,0.225,0.6200000000000001,0.05142,0.775,0.6200000000000001,0.68892,3.8,17.8,8.0,0.05,0.76,0.01144,0.625,0.5,0.5556,2.4,12.8,30.0,0.9785678914852552,1.0,0.5869565217391305,0.7397260273972603,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,4125,0.7498269537463784,46,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9743346612387368,0.9833333333333332,0.6629213483146067,0.7919463087248322,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,3094,0.7765607507899404,59,10.0,0.48,0.52,0.13716,0.52,0.52,0.52,4.8,26.8,10.0,0.3,0.7,0.0857,0.5,0.5,0.5,3.0,19.0,32.0,0.9829147468620651,0.9906542056074766,0.762589928057554,0.8617886178861789,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,org,6398,1.1425746819004416,66,10.0,0.3,0.7,0.0857,0.7,0.7,0.7,3.0,15.6,10.0,0.1,0.9,0.0286,0.7,0.7,0.7,1.0,7.0,26.0,0.981593194732458,0.99,0.6875,0.8114754098360656,dag_10_nodes_10_edges_degrees_ER,,,,,,,,
dag_10_nodes_10_edges_degrees_ER,10,10,new,7816,0.872708379290998,62,9.0,0.35552,0.58,0.09142,0.64448,0.58,0.6105200000000001,4.2,23.2,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9816240761110474,0.9863013698630136,0.6260869565217392,0.7659574468085107,dag_10_nodes_10_edges_degrees_ER,1.0,1.0,0.0125,0.024691358,0.0,0.0,0.0,0.0
dag_10_nodes_10_edges_degrees_ER,10,10,new,3578,0.8334416598081589,59,9.0,0.3333,0.6,0.0857,0.6667000000000001,0.6,0.63156,4.0,21.0,9.0,0.1111,0.8,0.0286,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9785942711000558,1.0,0.6607142857142857,0.7956989247311829,dag_10_nodes_10_edges_degrees_ER,1.0,1.0,0.0125,0.024691358,0.0,0.0,0.0,0.0
