,,meta,meta,meta,time,time,remove_n,remove_n,dag_F1,dag_F1,dag_shd,dag_shd,dag_sid,dag_sid,AP,AP,CIT_Precision,CIT_Precision,CIT_F1,CIT_F1
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,,,,,
dag_5_nodes_5_edges_degrees_ER,new,5,5,50,0.04995285553857684,0.004614834937870766,16.74,2.301818269746501,0.7113351666666666,0.09490568561376991,1.49,0.5100020007963953,7.978666666666666,2.570606217710253,0.964987450573226,0.013751996009291247,0.9793754851324978,0.037379338553117765,0.8408173006104929,0.04740280468951417
dag_5_nodes_5_edges_degrees_ER,org,5,5,50,0.05250505331903696,0.004918991457235721,16.74,2.301818269746501,0.7105351666666667,0.09430975691971168,1.494,0.5068550491179175,8.002666666666666,2.5534898088854066,0.964987450573226,0.013751996009291247,0.9793754851324978,0.037379338553117765,0.8408173006104929,0.04740280468951417
dag_5_nodes_5_edges_degrees_SF,new,5,4,50,0.0901090001873672,0.02864336280763058,7.88,4.930703472598396,0.991112,0.03782597984217206,0.07,0.28589280137413575,0.02,0.14142135623730948,0.9929165785815595,0.008981889301148687,1.0,0.0,0.9238573019355366,0.05684180918926832
dag_5_nodes_5_edges_degrees_SF,org,5,4,50,0.10469741936773062,0.030092822998011318,7.6,4.531071864901059,0.6138884,0.038679940926025426,2.02,0.14142135623730948,10.008,0.05656854249492376,0.9929165785815595,0.008981889301148687,0.9948132509708865,0.02105086801535183,0.9243233576683645,0.05614093630230605
dag_5_nodes_5_edges_degrees_random,new,5,5,50,0.08544710701331497,0.045409702501140986,9.42,7.518928495090622,0.747558,0.04080939312642299,2.06,0.42426406871192873,3.8,0.5714285714285715,0.9774562399854395,0.01358999407716384,0.9765278654685877,0.04535446715665944,0.7739695970902036,0.0993010955054563
dag_5_nodes_5_edges_degrees_random,org,5,5,50,0.09957988891750574,0.049334770403935496,9.42,7.518928495090622,0.6224459999999999,0.0355922337177706,2.57,0.4041872671655747,6.1433333333333335,0.41651017469394763,0.9774562399854395,0.01358999407716384,0.9765278654685877,0.04535446715665944,0.7739695970902036,0.0993010955054563
dag_5_nodes_5_edges_none_ER,new,5,5,50,0.1513616940192878,0.087408233032736,17.9,16.643010422347494,0.9508591836734694,0.07140898320696815,0.4489795918367347,0.647470220994626,1.0408163265306123,1.457154528431316,0.9953851246018962,0.005601541653478454,0.9990770698523311,0.00453498799286797,0.7312372007542094,0.32349506926033006
dag_5_nodes_5_edges_none_ER,org,5,5,50,0.179801535429433,0.10689017558020694,16.42,14.87648466266031,0.8188890000000001,0.1405245883379525,1.13,1.0041241487597283,3.91,2.4194998639877485,0.9953851246018962,0.005601541653478454,0.9990955284552845,0.0044903714146601395,0.7505724016132631,0.3078739702969889
dag_5_nodes_5_edges_none_SF,new,5,4,50,0.04323378690518439,0.016490375723510742,18.26,10.157554743507266,0.37805390070921985,0.07284297130645628,3.083333333333333,0.569689814952638,8.63,1.284518844599611,0.9646193955427959,0.028440651188619503,1.0,0.0,0.25356819933620095,0.08045605400792354
dag_5_nodes_5_edges_none_SF,org,5,4,50,0.02816321042366326,0.014407184608785028,6.94,8.036676132911301,0.7328636666666667,0.09391382059863769,1.4140000000000001,0.597959114021031,3.202,1.1443722100357212,0.9646193955427959,0.028440651188619503,0.9944444444444445,0.02721655269759086,0.6758744200950412,0.16204235138064663
dag_5_nodes_5_edges_none_random,new,5,5,50,0.04389093821868301,0.006589263720212955,9.44,3.94947684471485,0.894365,0.10312677271203632,0.57,0.5715178501685004,3.0,3.0304576336566322,0.991031822100018,0.005577727790863664,0.9796874370622044,0.025072178264819805,0.9223228656457754,0.03554093888934927
dag_5_nodes_5_edges_none_random,org,5,5,50,0.04480018054135144,0.006761129406522476,8.96,3.8116898603948264,0.6955475,0.01575194371712099,1.57,0.24764194033371026,8.3,0.24743582965269661,0.991031822100018,0.005577727790863664,0.974871722081797,0.02633290887436383,0.9238618872374754,0.03477399686338804
