dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_10_nodes_10_edges_degrees_ER,10,10,org,7816,0.26682100910693407,73,10.0,0.36,0.64,0.10286,0.64,0.64,0.64,3.6,20.0,10.0,0.1,0.9,0.028600000000000004,0.7,0.7,0.7,1.0,7.0,26.0,0.9809687769633175,0.9897959183673469,0.6598639455782312,0.7918367346938775
dag_10_nodes_10_edges_degrees_ER,10,10,org,3578,0.497900374699384,112,11.0,0.60002,0.43999999999999995,0.18858000000000003,0.39997999999999995,0.43999999999999995,0.41906,6.6,32.6,11.0,0.3636,0.7,0.1143,0.2727,0.3,0.2857,5.0,19.0,39.0,0.9663012547248137,1.0,0.6373056994818653,0.7784810126582279
dag_10_nodes_10_edges_degrees_ER,10,10,org,2656,0.1996787511743605,52,9.0,0.39997999999999995,0.54,0.10286,0.60002,0.54,0.56842,4.6,25.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9644731378225542,0.9743589743589743,0.6972477064220184,0.8128342245989306
dag_10_nodes_10_edges_degrees_ER,10,10,org,2688,0.21781015675514936,60,9.0,0.35552,0.5800000000000001,0.09142,0.6444799999999999,0.5800000000000001,0.6105200000000001,4.2,23.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9599180180214713,0.9861111111111112,0.6635514018691588,0.7932960893854748
dag_10_nodes_10_edges_degrees_ER,10,10,org,2494,0.215859429910779,55,9.0,0.31108,0.62,0.07998,0.6889200000000001,0.62,0.65262,3.8,20.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9760264883471857,0.9746835443037974,0.7064220183486238,0.8191489361702128
dag_10_nodes_10_edges_degrees_ER,10,10,org,183,0.21639180881902575,56,9.0,0.26664000000000004,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69472,3.4,18.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9731936051397625,0.9625,0.6637931034482759,0.7857142857142857
dag_10_nodes_10_edges_degrees_ER,10,10,org,7977,0.19905934110283852,49,9.0,0.33331999999999995,0.6,0.08571999999999999,0.66668,0.6,0.63158,4.0,20.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9701709143761961,0.9418604651162791,0.7168141592920354,0.814070351758794
dag_10_nodes_10_edges_degrees_ER,10,10,org,3199,0.22713420586660504,65,8.0,0.325,0.54,0.07428,0.675,0.54,0.60002,4.6,23.4,8.0,0.125,0.7,0.028600000000000004,0.625,0.5,0.5556,3.0,17.0,30.0,0.9597701467015722,0.9836065573770492,0.5555555555555556,0.7100591715976332
dag_10_nodes_10_edges_degrees_ER,10,10,org,316,0.30938073014840484,82,10.0,0.45999999999999996,0.54,0.13143999999999997,0.54,0.54,0.54,4.6,25.4,10.0,0.3,0.7,0.0857,0.5,0.5,0.5,3.0,19.0,32.0,0.9720037646852535,1.0,0.6122448979591837,0.759493670886076
dag_10_nodes_10_edges_degrees_ER,10,10,org,8266,0.19379008188843727,50,9.0,0.28886,0.64,0.07426,0.7111400000000001,0.64,0.67366,3.6,19.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9810548765438846,1.0,0.6857142857142857,0.8135593220338984
