,,meta,meta,meta,time,time,remove_n,remove_n,dag_F1,dag_F1,dag_shd,dag_shd,dag_sid,dag_sid,AP,AP,CIT_Precision,CIT_Precision,CIT_F1,CIT_F1
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,,,,,
dag_5_nodes_5_edges_degrees_SF,new,5,4,50,0.05668525400018552,0.015498462042377726,6.44,3.563763202468046,0.93,0.17525491637693283,0.28,0.7010196655077312,,,0.993991298858812,0.006863931954852998,0.9885020935960591,0.03337941640620417,0.9321259360967064,0.05749556531816604
dag_5_nodes_5_edges_degrees_SF,org,5,4,50,0.04490581000281964,0.013991327662026508,6.44,3.563763202468046,0.6075,0.04381372909423322,2.0,0.0,,,0.993991298858812,0.006863931954852998,0.9885020935960591,0.03337941640620417,0.9321259360967064,0.05749556531816604
dag_5_nodes_5_edges_degrees_random,new,5,5,50,0.037334815999201965,0.018669286360045122,3.0,4.361239292135356,0.75,0.0,2.0,0.0,,,0.9770436100107447,0.013131820815429086,0.8606116237563606,0.07442123638183529,0.8784167570808166,0.039509111498553115
dag_5_nodes_5_edges_degrees_random,org,5,5,50,0.026629419999662788,0.01813775249318996,3.0,4.361239292135356,0.625,0.0,2.5,0.0,,,0.9770436100107447,0.013131820815429086,0.8606116237563606,0.07442123638183529,0.8784167570808166,0.039509111498553115
dag_5_nodes_5_edges_none_ER,new,5,5,50,0.10960265199915739,0.04541013798700105,19.0,11.768168758067983,0.9413389999999999,0.057271356670660044,0.53,0.5191240660173322,,,0.9954465097853946,0.004603685621963955,1.0,0.0,0.6868676306683458,0.2573337914690512
dag_5_nodes_5_edges_none_ER,org,5,5,50,0.09686047200142639,0.04352854412771213,18.28,11.030643772727698,0.7426699999999999,0.173944173838174,1.47,1.0804855295615192,,,0.9954465097853946,0.004603685621963955,1.0,0.0,0.7086870948410927,0.2389388916802769
dag_5_nodes_5_edges_none_SF,new,5,4,50,0.07011637200048426,0.021828659119062368,11.24,4.996161792122151,0.3933756944444444,0.055692720042222206,3.016666666666667,0.3930374766480758,,,0.9649895060096543,0.030458327421751568,0.988,0.05938459911664723,0.43090608875129,0.10608628109278156
dag_5_nodes_5_edges_none_SF,org,5,4,50,0.022173957999330016,0.02320866816548074,2.44,5.474094837113648,0.7098873333333334,0.06329902297985399,1.52,0.3636549160387959,,,0.9649895060096543,0.030458327421751568,0.868,0.0687908577036998,0.8656234507180798,0.10509132343361852
dag_5_nodes_5_edges_none_random,new,5,5,50,0.07598524400003953,0.01204687598952784,9.34,2.910992537094592,0.866546,0.11463044295936933,0.68,0.5955618167335953,,,0.9908239007756621,0.005825419476354454,0.9727303893399147,0.02690180335563391,0.9250981737803824,0.0340023898545628
dag_5_nodes_5_edges_none_random,org,5,5,50,0.06353436400037026,0.01141503456396222,9.34,2.910992537094592,0.698728,0.008994398256692912,1.52,0.14142135623730953,,,0.9908239007756621,0.005825419476354454,0.9727303893399147,0.02690180335563391,0.9250981737803824,0.0340023898545628
dag_5_nodes_5_edges_semantics_SF,new,5,4,50,0.03015577600104734,0.010425684976829407,0.5,2.168889492955568,0.7483336,0.01178322740169262,1.02,0.14142135623730948,,,0.9994752816557769,0.002312658713091664,0.9994594594594595,0.003822198817224576,0.9933342352092351,0.029021551712877444
dag_5_nodes_5_edges_semantics_SF,org,5,4,50,0.01937663600081578,0.009864361340018479,0.5,2.168889492955568,0.7474447999999999,0.018067992472878665,1.024,0.16970562748477142,,,0.9994752816557769,0.002312658713091664,0.9994594594594595,0.003822198817224576,0.9933342352092351,0.029021551712877444
dag_5_nodes_5_edges_semantics_random,new,5,5,50,0.08131361200037646,0.016606587411612334,11.04,3.827718455088955,0.9595560000000001,0.07661019583660157,0.21,0.40519584581950957,,,0.9916248514962679,0.005644889232303087,0.9994117647058823,0.004159451654038516,0.9033466318733911,0.05613668343266353
