,,meta,meta,meta,time,time,remove_n,remove_n,dag_F1,dag_F1,dag_shd,dag_shd,dag_sid,dag_sid,AP,AP,CIT_Precision,CIT_Precision,CIT_F1,CIT_F1
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,,,,,
dag_5_nodes_5_edges_degrees_ER,new,5,5,50,0.1642948383465409,0.03753902009741485,16.12,3.114416773126984,0.6743378333333334,0.09313108553842675,1.79,0.5353808486126717,8.688333333333334,2.4144553570529754,0.9633990420750185,0.014935182201107943,0.9649915788010418,0.04684048078927641,0.8410177641388582,0.05470070453636475
dag_5_nodes_5_edges_degrees_ER,org,5,5,50,0.16636577526107427,0.04072187693017824,16.12,3.114416773126984,0.6743378333333334,0.09313108553842675,1.8,0.5714285714285714,8.711666666666666,2.4957566027976696,0.9633990420750185,0.014935182201107943,0.9649915788010418,0.04684048078927641,0.8410177641388582,0.05470070453636475
dag_5_nodes_5_edges_degrees_SF,new,5,4,50,0.08341153631918129,0.024184775521087918,6.44,3.563763202468046,0.965,0.08762745818846637,0.14,0.3505098327538656,0.7,1.7525491637693285,0.993991298858812,0.006863931954852999,0.9882674424449583,0.03368363434613349,0.930740751119088,0.05724224016680525
dag_5_nodes_5_edges_degrees_SF,org,5,4,50,0.09161434154957529,0.026186052819224283,6.44,3.563763202468046,0.6075,0.04381372909423322,2.0,0.0,10.0,0.0,0.993991298858812,0.006863931954852999,0.9882674424449583,0.03368363434613349,0.930740751119088,0.05724224016680525
dag_5_nodes_5_edges_degrees_random,new,5,5,50,0.05317997020669277,0.021983602385782123,3.0,4.361239292135356,0.75,0.0,2.0,0.0,4.0,0.0,0.9770436100107447,0.013131820815429062,0.9439654259252597,0.056993821676063455,0.8517892499356667,0.05515602397288523
dag_5_nodes_5_edges_degrees_random,org,5,5,50,0.054136528437957125,0.02208411634250926,3.0,4.361239292135356,0.625,0.0,2.5,0.0,6.0,0.0,0.9770436100107447,0.013131820815429062,0.9439654259252597,0.056993821676063455,0.8517892499356667,0.05515602397288523
dag_5_nodes_5_edges_none_ER,new,5,5,50,0.17081990098580715,0.05638062623948818,19.24,13.633033112141064,0.9413389999999999,0.057271356670660044,0.53,0.5191240660173322,1.56,1.5140161485133452,0.9954465097853946,0.004603685621963948,1.0,0.0,0.6610295706732308,0.3449768127777747
dag_5_nodes_5_edges_none_ER,org,5,5,50,0.15790916846133765,0.03130957800639325,15.32,8.47189832472568,0.7444459999999999,0.16806100078148256,1.45,1.0012746977768705,5.23,2.898292952897676,0.9954465097853946,0.004603685621963948,1.0,0.0,0.7928718784790845,0.165628841355564
dag_5_nodes_5_edges_none_SF,new,5,4,50,0.03963124006055291,0.03433314096824743,2.48,5.610631307925107,0.8485320000000001,0.07722364933313196,1.02,0.3636549160387959,2.06,0.8121525944886798,0.9649895060096543,0.03045832742175159,1.0,0.0,0.6402576489533012,0.0958057281349429
dag_5_nodes_5_edges_none_SF,org,5,4,50,0.041237343428656405,0.03238526589427033,2.48,5.610631307925107,0.7098873333333334,0.06329902297985399,1.52,0.3636549160387959,3.56,0.8121525944886798,0.9649895060096543,0.03045832742175159,1.0,0.0,0.6402576489533012,0.0958057281349429
dag_5_nodes_5_edges_none_random,new,5,5,50,0.13575716238468882,0.028817830062812945,9.34,2.910992537094592,0.866546,0.11463044295936933,0.68,0.5955618167335953,3.9,3.3104657789304195,0.9908239007756621,0.005825419476354445,0.9727303893399147,0.0269018033556339,0.9250981737803824,0.03400238985456282
dag_5_nodes_5_edges_none_random,org,5,5,50,0.15140422292053696,0.030484606133014302,9.34,2.910992537094592,0.698728,0.008994398256692912,1.52,0.14142135623730953,8.3,0.24743582965269664,0.9908239007756621,0.005825419476354445,0.9727303893399147,0.0269018033556339,0.9250981737803824,0.03400238985456282
