dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_10_nodes_10_edges_degrees_ER,10,10,org,7816,0.6339271510951221,62,9.0,0.33330000000000004,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9816240761110474,0.9863013698630136,0.6260869565217392,0.7659574468085107
dag_10_nodes_10_edges_degrees_ER,10,10,org,3578,0.5991474511101842,59,9.0,0.35552,0.5800000000000001,0.09142,0.6444799999999999,0.5800000000000001,0.6105200000000001,4.2,23.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9785942711000558,1.0,0.6607142857142857,0.7956989247311829
dag_10_nodes_10_edges_degrees_ER,10,10,org,2656,0.5318792955949903,33,9.0,0.33330000000000004,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.968993909797277,0.9310344827586207,0.7941176470588235,0.8571428571428571
dag_10_nodes_10_edges_degrees_ER,10,10,org,2688,0.6498476690612733,57,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.4,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9597027551829042,0.9836065573770492,0.6185567010309279,0.759493670886076
dag_10_nodes_10_edges_degrees_ER,10,10,org,2494,0.40827413089573383,33,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,25.6,8.0,0.175,0.6599999999999999,0.04,0.625,0.5,0.5556,3.8,18.2,28.8,0.981383595208716,0.9545454545454546,0.7590361445783133,0.8456375838926175
dag_10_nodes_10_edges_degrees_ER,10,10,org,183,0.45122777996584773,30,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.4,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9730618244281448,0.9555555555555556,0.8431372549019608,0.8958333333333333
dag_10_nodes_10_edges_degrees_ER,10,10,org,7977,0.5408666506409645,37,9.0,0.35552,0.58,0.09142,0.64448,0.58,0.6105200000000001,4.2,22.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9663618386951632,0.9397590361445783,0.7722772277227723,0.8478260869565218
dag_10_nodes_10_edges_degrees_ER,10,10,org,3199,0.49913487723097205,42,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778000000000001,4.8,24.8,8.0,0.125,0.7,0.028600000000000004,0.625,0.5,0.5556,3.0,17.0,30.0,0.9689735044581564,0.9454545454545454,0.6265060240963856,0.753623188405797
dag_10_nodes_10_edges_degrees_ER,10,10,org,316,0.747260042000562,65,9.0,0.26664,0.6599999999999999,0.06853999999999999,0.73336,0.6599999999999999,0.69472,3.4,19.0,9.0,0.13332,0.7799999999999999,0.0343,0.6667,0.6,0.6316,2.4,12.6,30.4,0.9760243724451281,1.0,0.5982905982905983,0.748663101604278
dag_10_nodes_10_edges_degrees_ER,10,10,org,8266,0.5242187492549419,38,9.0,0.31108,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.65262,3.8,20.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9822136389353144,0.975609756097561,0.8,0.8791208791208791
dag_10_nodes_10_edges_degrees_ER,10,10,org,1532,0.5099589796736836,41,8.0,0.125,0.7000000000000001,0.028566666666666667,0.875,0.7000000000000001,0.7778,3.0,13.0,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9755648867605705,0.96875,0.6888888888888889,0.8051948051948051
dag_10_nodes_10_edges_degrees_ER,10,10,org,1009,0.6377417170442641,52,9.0,0.39997999999999995,0.54,0.10286,0.60002,0.54,0.56842,4.6,25.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.980758382253835,1.0,0.7128712871287128,0.8323699421965318
dag_10_nodes_10_edges_degrees_ER,10,10,org,2250,0.6928128967992961,69,9.0,0.33330000000000004,0.6,0.0857,0.6667000000000001,0.6,0.6315600000000001,4.0,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9738794900463784,1.0,0.5689655172413793,0.7252747252747253
dag_10_nodes_10_edges_degrees_ER,10,10,org,4447,0.6775513859465718,69,9.0,0.39998000000000006,0.5399999999999999,0.10286,0.60002,0.5399999999999999,0.56842,4.6,25.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.964203945789002,1.0,0.5882352941176471,0.7407407407407407
dag_10_nodes_10_edges_degrees_ER,10,10,org,2415,0.4781747432425618,43,8.0,0.125,0.7000000000000001,0.028566666666666667,0.875,0.7000000000000001,0.7778,3.0,13.0,8.0,0.0,0.8000000000000002,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9757795680492846,0.9538461538461539,0.6813186813186813,0.7948717948717949
dag_10_nodes_10_edges_degrees_ER,10,10,new,7816,0.7607899107970297,62,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9816240761110474,0.9863013698630136,0.6260869565217392,0.7659574468085107
dag_10_nodes_10_edges_degrees_ER,10,10,new,3578,0.6668822979554534,59,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9785942711000558,1.0,0.6607142857142857,0.7956989247311829
dag_10_nodes_10_edges_degrees_ER,10,10,new,2656,0.5072102230042219,33,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,22.4,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.968993909797277,0.9310344827586207,0.7941176470588235,0.8571428571428571
dag_10_nodes_10_edges_degrees_ER,10,10,new,2688,0.5645072371698916,57,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9597027551829042,0.9836065573770492,0.6185567010309279,0.759493670886076
dag_10_nodes_10_edges_degrees_ER,10,10,new,2494,0.419503056909889,33,8.0,0.25,0.6,0.057124999999999995,0.75,0.6,0.6667000000000001,4.0,22.0,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.981383595208716,0.9545454545454546,0.7590361445783133,0.8456375838926175
dag_10_nodes_10_edges_degrees_ER,10,10,new,183,0.4661340108141303,30,9.0,0.26664,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69472,3.4,19.2,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9730618244281448,0.9555555555555556,0.8431372549019608,0.8958333333333333
dag_10_nodes_10_edges_degrees_ER,10,10,new,7977,0.5637412508949637,37,9.0,0.26664,0.6599999999999999,0.06856,0.73336,0.6599999999999999,0.69474,3.4,19.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9663618386951632,0.9397590361445783,0.7722772277227723,0.8478260869565218
dag_10_nodes_10_edges_degrees_ER,10,10,new,3199,0.45272886706516147,42,8.0,0.25,0.6000000000000001,0.057124999999999995,0.75,0.6000000000000001,0.6667,4.0,22.0,8.0,0.125,0.7,0.0286,0.625,0.5,0.5556,3.0,17.0,30.0,0.9689735044581564,0.9454545454545454,0.6265060240963856,0.753623188405797
dag_10_nodes_10_edges_degrees_ER,10,10,new,316,0.6821773741394281,65,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9760243724451281,1.0,0.5982905982905983,0.748663101604278
dag_10_nodes_10_edges_degrees_ER,10,10,new,8266,0.5222318568266928,38,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.8,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9822136389353144,0.975609756097561,0.8,0.8791208791208791
dag_10_nodes_10_edges_degrees_ER,10,10,new,1532,0.448910903185606,41,8.0,0.0625,0.75,0.0143,0.9375,0.75,0.83335,2.5,11.5,8.0,0.0,0.8,0.0,0.625,0.5,0.5556,2.0,10.0,30.0,0.9755648867605705,0.96875,0.6888888888888889,0.8051948051948051
dag_10_nodes_10_edges_degrees_ER,10,10,new,1009,0.555570688098669,52,9.0,0.31107999999999997,0.6199999999999999,0.07998,0.6889200000000001,0.6199999999999999,0.6526200000000001,3.8,21.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.980758382253835,1.0,0.7128712871287128,0.8323699421965318
dag_10_nodes_10_edges_degrees_ER,10,10,new,2250,0.6097346167080104,69,9.0,0.24442,0.68,0.06284,0.75558,0.68,0.71578,3.2,18.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9738794900463784,1.0,0.5689655172413793,0.7252747252747253
