dataset,seed,alpha_old,alpha_new,old_only_count,new_only_count,old_only_true_count,old_only_false_count,new_only_true_count,new_only_false_count,old_only_true_indep_count,old_only_false_indep_count,old_only_true_dep_count,old_only_false_dep_count,new_only_true_indep_count,new_only_false_indep_count,new_only_true_dep_count,new_only_false_dep_count,facts_total_old,facts_total_new,delta_facts_total,true_fact_count_old,true_fact_count_new,delta_true_fact_count,false_fact_count_old,false_fact_count_new,delta_false_fact_count,true_indep_count_old,true_indep_count_new,delta_true_indep_count,false_indep_count_old,false_indep_count_new,delta_false_indep_count,true_dep_count_old,true_dep_count_new,delta_true_dep_count,false_dep_count_old,false_dep_count_new,delta_false_dep_count,indep_pair_count_old,indep_pair_count_new,delta_indep_pair_count,wrong_block_pair_count_old,wrong_block_pair_count_new,delta_wrong_block_pair_count,correct_block_pair_count_old,correct_block_pair_count_new,delta_correct_block_pair_count,contradictory_pair_count_old,contradictory_pair_count_new,delta_contradictory_pair_count
cancer,183,alpha005,alpha001,2,2,1,1,1,1,0,0,1,1,1,1,0,0,22,22,0.0,16,16,0.0,6,6,0.0,3,4,1.0,5,6,1.0,13,12,-1.0,1,0,-1.0,7,7,0.0,1,1,0.0,6,6,0.0,2,0,-2.0
cancer,316,alpha005,alpha001,12,3,11,1,0,3,0,1,11,0,0,3,0,0,37,28,-9.0,32,21,-11.0,5,7,2.0,4,4,0.0,5,7,2.0,28,17,-11.0,0,0,0.0,7,7,0.0,1,1,0.0,6,6,0.0,2,1,-1.0
cancer,2494,alpha005,alpha001,5,3,5,0,0,3,0,0,5,0,0,3,0,0,46,44,-2.0,43,38,-5.0,3,6,3.0,6,6,0.0,3,6,3.0,37,32,-5.0,0,0,0.0,6,6,0.0,0,0,0.0,6,6,0.0,3,0,-3.0
cancer,2656,alpha005,alpha001,7,1,6,1,0,1,0,1,6,0,0,1,0,0,28,22,-6.0,22,16,-6.0,6,6,0.0,4,4,0.0,6,6,0.0,18,12,-6.0,0,0,0.0,7,7,0.0,1,1,0.0,6,6,0.0,1,0,-1.0
cancer,2688,alpha005,alpha001,18,2,18,0,0,2,2,0,16,0,0,2,0,0,44,28,-16.0,40,22,-18.0,4,6,2.0,6,4,-2.0,4,6,2.0,34,18,-16.0,0,0,0.0,6,7,1.0,0,1,1.0,6,6,0.0,2,1,-1.0
cancer,3199,alpha005,alpha001,7,1,6,1,0,1,0,1,6,0,0,1,0,0,28,22,-6.0,22,16,-6.0,6,6,0.0,4,4,0.0,6,6,0.0,18,12,-6.0,0,0,0.0,7,7,0.0,1,1,0.0,6,6,0.0,1,0,-1.0
cancer,3578,alpha005,alpha001,9,2,9,0,0,2,2,0,7,0,0,2,0,0,44,37,-7.0,40,31,-9.0,4,6,2.0,6,4,-2.0,4,6,2.0,34,27,-7.0,0,0,0.0,6,7,1.0,0,1,1.0,6,6,0.0,2,1,-1.0
cancer,7816,alpha005,alpha001,3,3,2,1,1,2,0,0,2,1,1,2,0,0,44,44,0.0,39,38,-1.0,5,6,1.0,5,6,1.0,4,6,2.0,34,32,-2.0,1,0,-1.0,6,6,0.0,0,0,0.0,6,6,0.0,3,0,-3.0
cancer,7977,alpha005,alpha001,24,4,18,6,0,4,4,5,14,1,0,4,0,0,57,37,-20.0,50,32,-18.0,7,5,-2.0,8,4,-4.0,6,5,-1.0,42,28,-14.0,1,0,-1.0,5,7,2.0,0,1,1.0,5,6,1.0,4,2,-2.0
cancer,8266,alpha005,alpha001,1,1,1,0,0,1,0,0,1,0,0,1,0,0,44,44,0.0,39,38,-1.0,5,6,1.0,6,6,0.0,5,6,1.0,33,32,-1.0,0,0,0.0,6,6,0.0,0,0,0.0,6,6,0.0,1,0,-1.0
