dataset,alpha,seed,dag_F1_bb,dag_SHD_bb,cpdag_F1_bb,cpdag_SHD_bb,elapsed_sec_bb,released_wrong_block_pair_count_bb,released_correct_block_pair_count_bb,effective_wrong_block_pair_count_bb,remove_n_bb,dag_F1_bb_nor,dag_SHD_bb_nor,cpdag_F1_bb_nor,cpdag_SHD_bb_nor,elapsed_sec_bb_nor,released_wrong_block_pair_count_bb_nor,released_correct_block_pair_count_bb_nor,effective_wrong_block_pair_count_bb_nor,remove_n_bb_nor,delta_dag_F1_bb_minus_bb_nor,delta_dag_SHD_bb_minus_bb_nor,delta_cpdag_F1_bb_minus_bb_nor,delta_cpdag_SHD_bb_minus_bb_nor,delta_elapsed_sec_bb_minus_bb_nor,delta_effective_wrong_block_pair_count_bb_minus_bb_nor,delta_remove_n_bb_minus_bb_nor
cancer,alpha005,3917.3,0.5344599999999999,2.6,0.47626999999999997,2.9,0.5536156177520752,0.4,3.1,0.0,9.6,0.62856,1.6,0.62856,1.6,0.24729549884796143,0.4,4.4,0.4,12.0,-0.0941,1.0,-0.15228999999999998,1.3,0.30632011890411376,-0.4,-2.4
cancer,alpha001,3917.3,0.41334,3.2,0.43152,3.1,0.261283802986145,0.7,2.8,0.0,7.7,0.4857,2.2,0.51427,2.1,0.24250259399414062,0.7,3.7,0.7,10.1,-0.07236000000000001,1.0,-0.08275000000000002,1.0,0.018781208992004396,-0.7,-2.4
earthquake,alpha005,3917.3,0.85556,1.0,0.89556,0.8,0.23096611499786376,0.0,0.3,0.0,1.1,0.96667,0.3,0.96667,0.3,0.15356800556182862,0.0,0.7,0.0,1.8,-0.11111,0.7,-0.07110999999999999,0.5,0.07739810943603516,0.0,-0.7
earthquake,alpha001,3917.3,0.9888899999999999,0.1,0.9888899999999999,0.1,0.11863408088684083,0.0,0.2,0.0,0.6,0.9888899999999999,0.1,0.9888899999999999,0.1,0.10427513122558593,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.014358949661254884,0.0,0.0
survey,alpha005,3917.3,0.36802,6.9,0.48389,7.4,0.4931052207946777,1.0,6.9,0.0,32.2,0.47847999999999996,3.5,0.66062,4.1,0.2854257345199585,1.0,7.8,1.0,36.9,-0.11045999999999997,3.4,-0.17673,3.3,0.20767948627471924,-1.0,-4.7
survey,alpha001,3917.3,0.42116,5.6,0.52835,6.1,0.32742111682891845,1.6,6.2,0.0,25.9,0.53041,3.2,0.64718,4.2,0.2325340747833252,1.6,7.5,1.6,30.4,-0.10925,2.4,-0.11882999999999999,1.9,0.09488704204559326,-1.6,-4.5
asia,alpha005,3917.3,0.31743,16.0,0.19046000000000002,17.2,0.9601788282394409,0.6,17.4,2.0,43.0,0.5110699999999999,4.8,0.31112,5.3,0.4440183162689209,2.6,19.8,2.6,149.7,-0.19363999999999998,11.2,-0.12065999999999999,11.9,0.51616051197052,-0.6,-106.7
asia,alpha001,3917.3,0.25221,16.2,0.17258,16.6,0.7619395017623901,0.9,17.9,2.0,37.2,0.40697,5.4,0.26227,6.3,0.42992050647735597,2.9,20.0,2.9,134.5,-0.15475999999999998,10.8,-0.08968999999999998,10.3,0.3320189952850342,-0.9,-97.3
sachs,alpha005,3917.3,0.52417,12.4,0.14250000000000002,9.3,89.35826561450958,0.0,28.5,0.0,86.5,0.6974699999999999,5.2,0.11726999999999999,0.1,4.023593592643738,0.0,34.7,0.0,104.6,-0.17329999999999995,7.2,0.025230000000000002,9.2,85.33467202186584,0.0,-18.1
sachs,alpha001,3917.3,0.53247,11.6,0.15172,8.5,65.57519361972808,0.0,24.9,0.0,76.8,0.6353,6.2,0.1176,0.0,4.019005465507507,0.0,28.7,0.0,85.2,-0.10283,5.4,0.034120000000000004,8.5,61.55618815422058,0.0,-8.4
child,alpha005,3917.3,0.18212,127.1,0.18011,130.8,24545.73628282547,0.0,161.2,0.0,1870.6,0.8901999999999999,2.8,0.81835,1.6,108.70144984722137,0.0,164.7,0.0,2239.4,-0.70808,124.3,-0.63824,129.2,24437.03483297825,0.0,-368.8
child,alpha001,3917.3,0.16718,122.7,0.16971,126.1,31990.317706751823,0.3,161.1,0.0,1643.2,0.8027900000000001,5.3,0.74222,4.7,90.33398377895355,0.3,164.8,0.3,2802.8,-0.63561,117.4,-0.57251,121.4,31899.98372297287,-0.3,-1159.6
