dataset,alpha,seed,facts_total,true_fact_count,false_fact_count,true_indep_count,false_indep_count,true_dep_count,false_dep_count,indep_pair_count,wrong_block_pair_count,correct_block_pair_count,contradictory_pair_count
cancer,alpha005,3917.3,39.4,34.3,5.1,5.2,4.8,29.1,0.3,6.3,0.4,5.9,2.1
cancer,alpha001,3917.3,32.8,26.8,6.0,4.6,6.0,22.2,0.0,6.7,0.7,6.0,0.5
earthquake,alpha005,3917.3,56.5,55.7,0.8,7.2,0.1,48.5,0.7,5.5,0.0,5.5,5.5
earthquake,alpha001,3917.3,54.5,54.1,0.4,6.2,0.3,47.9,0.1,5.9,0.0,5.9,5.9
survey,alpha005,3917.3,62.4,41.6,20.8,8.1,20.0,33.5,0.8,9.8,1.0,8.8,2.1
survey,alpha001,3917.3,49.3,30.4,18.9,6.3,18.8,24.1,0.1,10.6,1.6,9.0,1.8
asia,alpha005,3917.3,160.6,145.9,14.7,25.1,11.7,120.8,3.0,22.4,2.6,19.8,15.3
asia,alpha001,3917.3,143.7,129.8,13.9,22.9,13.2,106.9,0.7,22.9,2.9,20.0,14.4
sachs,alpha005,3917.3,1009.1,990.4,18.7,77.9,9.0,912.5,9.7,37.9,0.0,37.9,15.1
sachs,alpha001,3917.3,972.5,957.4,15.1,75.6,11.7,881.8,3.4,38.0,0.0,38.0,14.4
child,alpha005,3917.3,6447.1,5854.2,592.9,777.5,434.4,5076.7,158.5,164.9,0.0,164.9,131.4
child,alpha001,3917.3,5754.5,5237.4,517.1,777.4,455.8,4460.0,61.3,165.3,0.3,165.0,118.4
