dataset,alpha,method,seed,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported
cancer,alpha005,ABAPC (nor),3917.3,12.0,27.4,7.3,4.7,27.0,0.4,4.0,4.4,3.3,0.3,1.2,0.4,25.8,0.0,4.8,0.4,4.4,0.0,0.0,0.61071,1.6,6.4,0.61071,1.6,5.4,9.9,0.09688682556152343,12.0,4.3
cancer,alpha005,ABAPC (bb),3917.3,9.6,29.8,5.9,3.7,28.4,1.4,3.7,3.4,2.2,0.3,1.5,1.4,26.9,0.0,3.5,0.4,3.1,0.0,0.0,0.5344599999999999,2.6,8.9,0.47626999999999997,2.9,5.3,13.5,0.5536156177520752,9.6,2.7
cancer,alpha005,ABAPC (bb-nor),3917.3,12.0,27.4,7.3,4.7,27.0,0.4,4.0,4.4,3.3,0.3,1.2,0.4,25.8,0.0,4.8,0.4,4.4,0.0,0.4,0.62856,1.6,6.4,0.62856,1.6,3.9,11.4,0.24729549884796143,12.0,4.3
cancer,alpha001,ABAPC (nor),3917.3,10.1,22.7,5.2,4.9,21.6,1.1,3.4,4.9,1.8,0.0,1.2,1.1,20.4,0.0,4.4,0.7,3.7,0.0,0.0,0.44999,2.3,8.7,0.44999,2.3,6.7,11.7,0.10699143409729003,10.1,4.4
cancer,alpha001,ABAPC (bb),3917.3,7.7,25.1,3.2,4.5,23.6,1.5,2.9,4.5,0.3,0.0,1.7,1.5,21.9,0.0,3.5,0.7,2.8,0.0,0.0,0.41334,3.2,8.8,0.43152,3.1,6.7,13.6,0.261283802986145,7.7,3.0
cancer,alpha001,ABAPC (bb-nor),3917.3,10.1,22.7,5.2,4.9,21.6,1.1,3.4,4.9,1.8,0.0,1.2,1.1,20.4,0.0,4.4,0.7,3.7,0.0,0.7,0.4857,2.2,8.2,0.51427,2.1,4.7,11.2,0.24250259399414062,10.1,4.4
earthquake,alpha005,ABAPC (nor),3917.3,1.8,54.7,1.3,0.5,54.4,0.3,1.2,0.1,0.1,0.4,6.0,0.0,48.4,0.3,0.7,0.0,0.7,0.0,0.0,0.96667,0.3,0.0,0.96667,0.3,0.0,6.7,0.1535025119781494,1.8,0.0
earthquake,alpha005,ABAPC (bb),3917.3,1.1,55.4,0.8,0.3,54.9,0.5,0.8,0.1,0.0,0.2,6.4,0.0,48.5,0.5,0.3,0.0,0.3,0.0,0.0,0.85556,1.0,1.8,0.89556,0.8,0.0,8.9,0.23096611499786376,1.1,0.0
earthquake,alpha005,ABAPC (bb-nor),3917.3,1.8,54.7,1.3,0.5,54.4,0.3,1.2,0.1,0.1,0.4,6.0,0.0,48.4,0.3,0.7,0.0,0.7,0.0,0.0,0.96667,0.3,0.0,0.96667,0.3,0.0,6.7,0.15356800556182862,1.8,0.0
earthquake,alpha001,ABAPC (nor),3917.3,0.6,53.9,0.3,0.3,53.8,0.1,0.3,0.3,0.0,0.0,5.9,0.0,47.9,0.1,0.2,0.0,0.2,0.0,0.0,0.9888899999999999,0.1,0.0,0.9888899999999999,0.1,0.0,5.9,0.05979795455932617,0.6,0.0
earthquake,alpha001,ABAPC (bb),3917.3,0.6,53.9,0.3,0.3,53.8,0.1,0.3,0.3,0.0,0.0,5.9,0.0,47.9,0.1,0.2,0.0,0.2,0.0,0.0,0.9888899999999999,0.1,0.0,0.9888899999999999,0.1,0.0,5.9,0.11863408088684083,0.6,0.0
earthquake,alpha001,ABAPC (bb-nor),3917.3,0.6,53.9,0.3,0.3,53.8,0.1,0.3,0.3,0.0,0.0,5.9,0.0,47.9,0.1,0.2,0.0,0.2,0.0,0.0,0.9888899999999999,0.1,0.0,0.9888899999999999,0.1,0.0,5.9,0.10427513122558593,0.6,0.0
survey,alpha005,ABAPC (nor),3917.3,36.9,25.5,16.7,20.2,24.9,0.6,7.6,19.5,9.1,0.7,0.5,0.5,24.4,0.1,8.8,1.0,7.8,0.0,0.0,0.53304,3.2,13.2,0.70243,3.7,10.7,16.8,0.24775776863098145,36.9,8.4
survey,alpha005,ABAPC (bb),3917.3,32.2,30.2,13.2,19.0,28.4,1.8,7.4,18.3,5.8,0.7,0.7,1.7,27.7,0.1,7.9,1.0,6.9,0.0,0.0,0.36802,6.9,16.2,0.48389,7.4,10.8,21.1,0.4931052207946777,32.2,6.9
survey,alpha005,ABAPC (bb-nor),3917.3,36.9,25.5,16.7,20.2,24.9,0.6,7.6,19.5,9.1,0.7,0.5,0.5,24.4,0.1,8.8,1.0,7.8,0.0,1.0,0.47847999999999996,3.5,14.2,0.66062,4.1,12.4,18.4,0.2854257345199585,36.9,8.4
survey,alpha001,ABAPC (nor),3917.3,30.4,18.9,12.6,17.8,17.8,1.1,5.7,17.7,6.9,0.1,0.6,1.1,17.2,0.0,9.1,1.6,7.5,0.0,0.0,0.45111999999999997,3.6,15.1,0.63263,4.2,13.0,18.0,0.2663144588470459,30.4,9.1
survey,alpha001,ABAPC (bb),3917.3,25.9,23.4,9.7,16.2,20.7,2.7,5.5,16.1,4.2,0.1,0.8,2.7,19.9,0.0,7.8,1.6,6.2,0.0,0.0,0.42116,5.6,18.3,0.52835,6.1,11.0,20.9,0.32742111682891845,25.9,6.6
survey,alpha001,ABAPC (bb-nor),3917.3,30.4,18.9,12.6,17.8,17.8,1.1,5.7,17.7,6.9,0.1,0.6,1.1,17.2,0.0,9.1,1.6,7.5,0.0,1.6,0.53041,3.2,13.8,0.64718,4.2,12.5,17.5,0.2325340747833252,30.4,9.1
asia,alpha005,ABAPC (nor),3917.3,149.7,10.9,135.0,14.7,10.9,0.0,25.1,11.7,109.9,3.0,0.0,0.0,10.9,0.0,22.4,2.6,19.8,0.0,0.0,0.39742,5.6,30.2,0.28717,6.1,21.4,35.7,0.4743701219558716,149.7,25.3
asia,alpha005,ABAPC (bb),3917.3,43.0,117.6,30.4,12.6,115.5,2.1,22.7,9.6,7.7,3.0,2.4,2.1,113.1,0.0,18.0,0.6,17.4,2.0,2.0,0.31743,16.0,23.0,0.19046000000000002,17.2,9.8,41.6,0.9601788282394409,43.0,7.8
asia,alpha005,ABAPC (bb-nor),3917.3,149.7,10.9,135.0,14.7,10.9,0.0,25.1,11.7,109.9,3.0,0.0,0.0,10.9,0.0,22.4,2.6,19.8,0.0,2.6,0.5110699999999999,4.8,25.4,0.31112,5.3,18.9,31.4,0.4440183162689209,149.7,25.3
asia,alpha001,ABAPC (nor),3917.3,134.5,9.2,120.6,13.9,9.2,0.0,22.9,13.2,97.7,0.7,0.0,0.0,9.2,0.0,22.9,2.9,20.0,0.0,0.0,0.43906999999999996,5.3,25.5,0.25655,6.1,21.6,32.8,0.4626641750335693,134.5,25.7
asia,alpha001,ABAPC (bb),3917.3,37.2,106.5,25.5,11.7,104.3,2.2,20.9,11.0,4.6,0.7,2.0,2.2,102.3,0.0,18.8,0.9,17.9,2.0,2.0,0.25221,16.2,22.5,0.17258,16.6,9.9,38.9,0.7619395017623901,37.2,8.7
asia,alpha001,ABAPC (bb-nor),3917.3,134.5,9.2,120.6,13.9,9.2,0.0,22.9,13.2,97.7,0.7,0.0,0.0,9.2,0.0,22.9,2.9,20.0,0.0,2.9,0.40697,5.4,29.3,0.26227,6.3,22.4,36.1,0.42992050647735597,134.5,25.7
sachs,alpha005,ABAPC (nor),3917.3,104.6,904.5,85.9,18.7,904.5,0.0,74.3,9.0,11.6,9.7,3.6,0.0,900.9,0.0,34.7,0.0,34.7,0.0,0.0,0.76285,4.1,20.0,0.11726999999999999,0.2,0.4,47.5,5.495496559143066,104.6,22.4
sachs,alpha005,ABAPC (bb),3917.3,86.5,922.6,71.5,15.0,918.9,3.7,66.1,8.9,5.4,6.1,11.8,0.1,907.1,3.6,28.5,0.0,28.5,0.0,0.0,0.52417,12.4,34.6,0.14250000000000002,9.3,11.4,55.6,89.35826561450958,86.5,18.0
sachs,alpha005,ABAPC (bb-nor),3917.3,104.6,904.5,85.9,18.7,904.5,0.0,74.3,9.0,11.6,9.7,3.6,0.0,900.9,0.0,34.7,0.0,34.7,0.0,0.0,0.6974699999999999,5.2,25.3,0.11726999999999999,0.1,0.0,46.0,4.023593592643738,104.6,22.4
sachs,alpha001,ABAPC (nor),3917.3,85.2,887.3,70.1,15.1,887.3,0.0,62.9,11.7,7.2,3.4,12.7,0.0,874.6,0.0,28.7,0.0,28.7,0.0,0.0,0.68823,5.3,28.3,0.1176,0.0,0.0,46.0,4.5517284870147705,85.2,18.6
sachs,alpha001,ABAPC (bb),3917.3,76.8,895.7,63.1,13.7,894.3,1.4,58.3,11.6,4.8,2.1,17.3,0.1,877.0,1.3,24.9,0.0,24.9,0.0,0.0,0.53247,11.6,34.5,0.15172,8.5,12.5,53.7,65.57519361972808,76.8,16.3
sachs,alpha001,ABAPC (bb-nor),3917.3,85.2,887.3,70.1,15.1,887.3,0.0,62.9,11.7,7.2,3.4,12.7,0.0,874.6,0.0,28.7,0.0,28.7,0.0,0.0,0.6353,6.2,30.7,0.1176,0.0,0.0,46.0,4.019005465507507,85.2,18.6
child,alpha005,ABAPC (nor),3917.3,2239.4,4207.7,1646.8,592.6,4207.4,0.3,777.3,434.4,869.5,158.2,0.2,0.0,4207.2,0.3,164.7,0.0,164.7,0.0,0.0,0.8902000000000001,2.8,46.7,0.81443,1.9,22.7,272.0,581.6969809293747,2239.4,68.1
child,alpha005,ABAPC (bb),3917.3,1870.6,4576.5,1296.0,574.6,4558.2,18.3,767.1,433.9,528.9,140.7,10.4,0.5,4547.8,17.8,161.2,0.0,161.2,0.0,0.0,0.18212,127.1,125.2,0.18011,130.8,58.9,220.7,24545.73628282547,1870.6,51.8
