dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
survey,6,6,org,7816,0.1910719103179872,26,4,0.5833333333333334,0.2777666666666666,0.2592333333333333,0.4166666666666667,0.2777666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4,0.25,0.5,0.1111,0.75,0.5,0.6,5,17,18,0.9198770144687328,1,0.625,0.7692307692307693,survey,,,,,,,,
survey,6,6,org,3578,0.3548505008220672,45,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9586447425139328,1,0.5306122448979592,0.6933333333333334,survey,,,,,,,,
survey,6,6,org,2656,0.3178645223379135,44,4,0.875,0.08335,0.38885,0.125,0.08335,0.2,5.5,24.5,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6,18,25,0.958344867,1,0.4468085106382978,0.6176470588235294,survey,,,,,,,,
survey,6,6,org,2688,0.1245898618362844,20,3,0.53334,0.2333399999999999,0.17776,0.4666599999999999,0.2333399999999999,0.3888749999999999,4.6,18,3,0,0.5,0,1,0.5,0.6667,5,10,24,0.9529774329355464,1,0.5882352941176471,0.7407407407407407,survey,,,,,,,,
survey,6,6,org,2494,0.4044081326574087,43,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1,6,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,3,6,14,0.9268512745134933,0.945945946,0.6363636363636364,0.7608695652173914,survey,,,,,,,,
survey,6,6,org,183,0.2434457009658217,31,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.8844017022044166,0.7916666666666666,0.6129032258064516,0.6909090909090909,survey,,,,,,,,
survey,6,6,org,7977,0.3333032792434096,39,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2,9,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2,9,9,0.9504568207127916,0.975609756,0.7272727272727273,0.8333333333333334,survey,,,,,,,,
survey,6,6,org,3199,0.1973940730094909,31,3,0.5,0.25,0.16665,0.5,0.25,0.3333,4.5,17.5,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5,17,18,0.9182592334463596,1,0.2631578947368421,0.4166666666666667,survey,,,,,,,,
survey,6,6,org,316,0.2416792088188231,33,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9030168570407198,0.8709677419354839,0.627906977,0.7297297297297297,survey,,,,,,,,
survey,6,6,org,8266,0.2595025589689612,24,5,0.5,0.4166749999999999,0.27775,0.5,0.4166749999999999,0.45455,3.5,15.25,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,5,7,21,0.9487164,0.9545454545454546,0.75,0.84,survey,,,,,,,,
survey,6,6,org,1532,0.3552840300835669,42,6,0.58335,0.4166499999999999,0.38885,0.4166499999999999,0.4166499999999999,0.4166499999999999,3.5,19.5,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5,13,20,0.9454490415002984,1,0.6774193548387096,0.8076923076923077,survey,,,,,,,,
survey,6,6,org,1009,0.2003944697789847,29,4,0.75,0.166675,0.3333,0.25,0.166675,0.2666666666666666,5,21.5,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.5,18,22,0.8950685805530199,0.9333333333333332,0.5384615384615384,0.6829268292682926,survey,,,,,,,,
survey,6,6,org,2250,0.1056880201213061,18,3,0.16665,0.4166499999999999,0.05555,0.83335,0.4166499999999999,0.55555,3.5,14,3,0,0.5,0,1,0.5,0.6667,4,11,17,0.8328008021390374,1,0.4,0.5714285714285715,survey,,,,,,,,
survey,6,6,org,4447,0.3721669353544712,39,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2,9,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2,9,9,0.9382860122685192,0.975609756,0.7272727272727273,0.8333333333333334,survey,,,,,,,,
survey,6,6,org,2415,0.3012272780761122,41,3,0.5,0.25,0.16665,0.5,0.25,0.3333,4.5,17.5,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5,17,18,0.930963453,1,0.3142857142857143,0.4782608695652174,survey,,,,,,,,
survey,6,6,org,3595,0.2459624661132693,28,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,14,0.9316906367700764,0.9166666666666666,0.6666666666666666,0.7719298245614035,survey,,,,,,,,
survey,6,6,org,4187,0.241355525,35,5,0.3,0.58335,0.16665,0.7,0.58335,0.6364,2.5,11.5,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4,11,12,0.9372258444369675,1,0.5714285714285714,0.7272727272727273,survey,,,,,,,,
survey,6,6,org,4135,0.1358355693519115,18,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,13,0.8479043990447499,0.7857142857142857,0.7333333333333333,0.7586206896551724,survey,,,,,,,,
survey,6,6,org,5174,0.3145821127109229,36,5,0.7,0.25,0.38885,0.3,0.25,0.2727,4.5,23.5,5,0.4,0.5,0.2222,0.4,0.3333,0.3636,5,17,24,0.9388595593042722,0.925,0.7254901960784313,0.8131868131868133,survey,,,,,,,,
survey,6,6,org,5303,0.2289701518602669,32,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5,16,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5,16,16,0.9556607072096922,1,0.5142857142857142,0.6792452830188679,survey,,,,,,,,
survey,6,6,org,3942,0.2197505119256675,34,4,0.375,0.4166499999999999,0.16665,0.625,0.4166499999999999,0.5,3.5,12.5,4,0.25,0.5,0.1111,0.75,0.5,0.6,4,12,19,0.9043289549041738,1,0.4285714285714285,0.6,survey,,,,,,,,
survey,6,6,org,2778,0.1502477396279573,18,4,0.5833333333333334,0.2777666666666666,0.2592333333333333,0.4166666666666667,0.2777666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4,0.25,0.5,0.1111,0.75,0.5,0.6,5,17,18,0.882093962,0.75,0.7142857142857143,0.7317073170731706,survey,,,,,,,,
survey,6,6,org,2804,0.2694672597572207,37,3,0.6,0.2,0.19998,0.4,0.2,0.3333,4.8,18.4,3,0.13332,0.43332,0.04444,0.86668,0.43332,0.57778,5,12.8,21.6,0.8619774321265099,1,0.2916666666666667,0.4516129032258064,survey,,,,,,,,
survey,6,6,org,2145,0.3888896671123802,44,6,0.4166499999999999,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4,13,14,0.9224981019665974,0.9444444444444444,0.5964912280701754,0.7311827956989247,survey,,,,,,,,
