dataset,dataset_label,method,n_seeds,cpdag_shd_avg_mean,cpdag_shd_avg_std,cpdag_shd_avg_n,cpdag_shd_best_mean,cpdag_shd_best_std,cpdag_shd_best_n,cpdag_shd_worst_mean,cpdag_shd_worst_std,cpdag_shd_worst_n,cpdag_f1_avg_mean,cpdag_f1_avg_std,cpdag_f1_avg_n,cpdag_f1_best_mean,cpdag_f1_best_std,cpdag_f1_best_n,cpdag_f1_worst_mean,cpdag_f1_worst_std,cpdag_f1_worst_n,dag_shd_avg_mean,dag_shd_avg_std,dag_shd_avg_n,dag_shd_best_mean,dag_shd_best_std,dag_shd_best_n,dag_shd_worst_mean,dag_shd_worst_std,dag_shd_worst_n,dag_f1_avg_mean,dag_f1_avg_std,dag_f1_avg_n,dag_f1_best_mean,dag_f1_best_std,dag_f1_best_n,dag_f1_worst_mean,dag_f1_worst_std,dag_f1_worst_n,time_sec_mean,time_sec_std,time_sec_n,n_cpdags_compat_mean,n_cpdags_compat_std,n_cpdags_compat_n,n_dags_compat_mean,n_dags_compat_std,n_dags_compat_n,n_cpdags_returned_mean,n_cpdags_returned_std,n_cpdags_returned_n,n_dags_returned_mean,n_dags_returned_std,n_dags_returned_n,endpoint_valid_mean,endpoint_valid_std,endpoint_valid_n
cancer,Cancer (5),ABA-PC,50,2.814150246643875,1.181166306963739,50,1.58,1.1795883059053152,50,3.84,1.799773228345557,50,0.5220287099944924,0.21440940536502823,50,0.6461840000000001,0.2620477136488152,50,0.440082,0.22166316944814243,50,2.9755289908755578,1.199295368863843,50,1.44,1.1807987611298185,50,4.18,1.9555259222656858,50,0.48267889644744344,0.22309767918441312,50,0.6883338231152578,0.2703731350692669,50,0.34634724781524345,0.2643674193703885,50,1.509891098290682,0.47822117581374857,50,15.08,28.78267619557973,50,31.94,57.08011198021138,50,15.08,28.78267619557973,50,31.94,57.08011198021138,50,,,0
cancer,Cancer (5),OptABA-PC,50,1.84,1.1131862707873232,50,1.84,1.1131862707873232,50,1.84,1.1131862707873232,50,0.576024,0.25853924232195036,50,0.576024,0.25853924232195036,50,0.576024,0.25853924232195036,50,1.8883333333333332,1.1392067196577533,50,1.7,1.1473127431577865,50,2.0,1.212183053462653,50,0.5626992085205687,0.2618545947611301,50,0.6160329704865576,0.27657821721120096,50,0.5310312561028785,0.28083053707709293,50,1.2773447128292172,0.3769912377168566,50,1.0,0.0,50,1.5,1.0738068841694934,50,1.0,0.0,50,1.5,1.0738068841694934,50,,,0
cancer,Cancer (5),MPC,50,1.58,0.9707981147446861,50,1.58,0.9707981147446861,50,1.58,0.9707981147446861,50,0.661412,0.20245423432449708,50,0.661412,0.20245423432449708,50,0.661412,0.20245423432449708,50,1.695,1.0079910308962807,50,0.86,0.6064281507654606,50,2.28,1.3708332041023035,50,0.6231995,0.22176245849375378,50,0.8556900000000002,0.1131621723231662,50,0.46213399999999993,0.3255282492585031,50,0.010952157974243116,0.002887147312546428,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,3.34,1.6364471221745813,50,1.0,0.0,50
cancer,Cancer (5),FGS,50,2.46,0.542481072744215,50,2.46,0.542481072744215,50,2.46,0.542481072744215,50,0.40499399999999997,0.10838398181597553,50,0.40499399999999997,0.10838398181597553,50,0.40499399999999997,0.10838398181597553,50,2.35,0.42257712736425834,50,1.46,0.542481072744215,50,3.46,0.542481072744215,50,0.4362425,0.07292488276840568,50,0.669988,0.09172509424517215,50,0.14,0.12535663410560174,50,0.13531348228454587,0.11287644001019498,50,,,0,,,0,1.0,0.0,50,4.64,0.6928203230275508,50,1.0,0.0,50
cancer,Cancer (5),ASPCR-DAG,50,2.24,0.5554920598635309,50,2.24,0.5554920598635309,50,2.24,0.5554920598635309,50,0.48990800000000007,0.12348697004716154,50,0.48990800000000007,0.12348697004716154,50,0.48990800000000007,0.12348697004716154,50,2.34,0.8946553321057814,50,2.34,0.8946553321057814,50,2.34,0.8946553321057814,50,0.4620520000000001,0.22462410618086165,50,0.4620520000000001,0.22462410618086165,50,0.4620520000000001,0.22462410618086165,50,12.792697439193722,0.0906991559976692,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,1.0,0.0,50,,,0
earthquake,Earthquake (5),ABA-PC,50,0.08666666666666666,0.29973533298773747,50,0.08,0.27404751561786966,50,0.1,0.36421567954234174,50,0.9905193333333332,0.03268318830427084,50,0.991112,0.03044667898514532,50,0.989334,0.03815688671893492,50,0.095,0.33840110242499055,50,0.08,0.27404751561786966,50,0.12,0.47979587496419046,50,0.9892223422198222,0.038724500896408984,50,0.9911111111111112,0.03044972395754106,50,0.9853333333333333,0.061657626352116184,50,1.8324699003901332,0.8329710485040838,50,1.04,0.28284271247461895,50,1.12,0.47979587496419046,50,1.04,0.28284271247461895,50,1.12,0.47979587496419046,50,,,0
earthquake,Earthquake (5),OptABA-PC,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.9911111111111112,0.03044972395754106,50,0.9911111111111112,0.03044972395754106,50,0.9911111111111112,0.03044972395754106,50,1.6785706836450844,0.8132974195952256,50,1.0,0.0,50,1.06,0.23989793748209526,50,1.0,0.0,50,1.06,0.23989793748209526,50,,,0
earthquake,Earthquake (5),MPC,50,0.2,0.7284313590846836,50,0.2,0.7284313590846836,50,0.2,0.7284313590846836,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.991112,0.03044667898514532,50,0.014760236740112254,0.002839423880621318,50,0.94,0.23989793748209526,50,1.0,0.3499271061118826,50,1.0,0.0,50,1.06,0.23989793748209526,50,1.0,0.0,50
earthquake,Earthquake (5),FGS,50,2.48,0.6141195788629908,50,2.48,0.6141195788629908,50,2.48,0.6141195788629908,50,0.47398399999999996,0.0325146331892053,50,0.47398399999999996,0.0325146331892053,50,0.47398399999999996,0.0325146331892053,50,2.4707692307692306,0.5914987646243289,50,1.42,0.49856938190328987,50,3.48,0.6141195788629908,50,0.4758409538461538,0.028848715485028015,50,0.723012,0.04425861216780764,50,0.23699199999999998,0.01625731659460265,50,0.16460699558258052,0.012387169479848931,50,,,0,,,0,1.0,0.0,50,7.28,2.7924095366561406,50,1.0,0.0,50
earthquake,Earthquake (5),ASPCR-DAG,50,1.08,1.1577599765345605,50,1.08,1.1577599765345605,50,1.08,1.1577599765345605,50,0.866388,0.16794140455309198,50,0.866388,0.16794140455309198,50,0.866388,0.16794140455309198,50,1.06,1.2022088514268139,50,1.06,1.2022088514268139,50,1.06,1.2022088514268139,50,0.8712780000000001,0.17553440071009743,50,0.8712780000000001,0.17553440071009743,50,0.8712780000000001,0.17553440071009743,50,12.690565843582158,0.07959355717020493,50,0.44,0.501426536422407,50,0.44,0.501426536422407,50,1.0,0.0,50,1.0,0.0,50,,,0
