"constraint_id","x","y","conditioning_set","intervention_set","cset","jset","mset","test_independent","truth_independent","final_independent","tested_relation","truth_relation","final_graph_relation","test_correct","retained","retained_true","retained_false","raw_weight","asp_weight","probability_independent"
1,1,2,"","",0,0,28,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,1.03535217149511,1035,0.737952209380515
2,1,3,"","",0,0,26,TRUE,TRUE,FALSE,"independent","independent","dependent",TRUE,FALSE,FALSE,FALSE,0.80095538888645,801,0.690178810973063
3,1,4,"","",0,0,22,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,30.2115002187638,30212,7.57377091778475e-14
4,1,5,"","",0,0,14,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.28155734733446,2282,0.907338065038425
5,2,3,"","",0,0,25,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.209687927557752,210,0.552230744071592
6,2,4,"","",0,0,21,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,80.3205261165822,80321,1.30990175498941e-35
7,2,5,"","",0,0,13,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.74881815207118,1749,0.851803674391803
8,3,4,"","",0,0,19,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,75.4908007498543,75491,1.63969019573094e-33
9,3,5,"","",0,0,11,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.39068798190419,2391,0.916114453797593
10,4,5,"","",0,0,7,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,1.89861543704046,1899,0.869734740171513
11,1,2,"3","",4,0,24,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,1.14286706662915,1143,0.758205646920825
12,1,2,"4","",8,0,20,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.37684390860204,2377,0.91504440676236
13,1,2,"5","",16,0,12,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,1.07205296370603,1072,0.744987136671485
14,1,3,"2","",2,0,24,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.908470284020495,908,0.712687033582
15,1,3,"4","",8,0,18,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.32377708914191,2324,0.91082719609257
16,1,3,"5","",16,0,10,TRUE,TRUE,FALSE,"independent","independent","dependent",TRUE,FALSE,FALSE,FALSE,0.824194878635808,824,0.695126070155257
17,1,4,"2","",2,0,20,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,28.8700084816619,28870,2.89677406735737e-13
18,1,4,"3","",4,0,18,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,28.6886785185065,28689,3.47268368194438e-13
19,1,4,"5","",16,0,6,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,30.2561568664955,30256,7.24299239635943e-14
20,1,5,"2","",2,0,12,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.31825813953947,2318,0.910377923894359
21,1,5,"3","",4,0,10,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.30479683708199,2305,0.909273532545556
22,1,5,"4","",8,0,6,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.23690069960503,2237,0.9035146114972
23,2,3,"1","",1,0,24,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.317202822634499,317,0.578642407744156
24,2,3,"4","",8,0,17,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.37850468396391,2379,0.9151734233904
25,2,3,"5","",16,0,9,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.23000819965273,230,0.557249877637928
26,2,4,"1","",1,0,20,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,78.9790343795066,78979,5.01003988070159e-35
27,2,4,"3","",4,0,17,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,78.1517093601815,78152,1.1458924911319e-34
28,2,4,"5","",16,0,5,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,80.562042081594,80562,1.02884434089438e-35
29,2,5,"1","",1,0,12,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.78551894418888,1786,0.856377006809361
30,2,5,"3","",4,0,9,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.76913842415706,1769,0.854350492973762
31,2,5,"4","",8,0,5,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.50730218705212,1507,0.81866104691195
32,3,4,"1","",1,0,18,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,73.9679790495866,73968,7.5182170784294e-33
33,3,4,"2","",2,0,17,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,73.3219839933809,73322,1.43438901127556e-32
34,3,4,"5","",16,0,3,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,75.4789815375352,75479,1.65918502209615e-33
35,3,5,"1","",1,0,10,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.41392747159807,2414,0.917883195945993
36,3,5,"2","",2,0,9,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.41100825403555,2411,0.917662895321761
37,3,5,"4","",8,0,3,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.40250719421783,2403,0.917018289905152
38,4,5,"1","",1,0,6,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,1.8539587893215,1854,0.86459124053515
39,4,5,"2","",2,0,5,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.65709947211508,1657,0.839848257345329
40,4,5,"3","",4,0,3,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,1.91043464931181,1910,0.871067970566184
41,1,2,"3;4","",12,0,16,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.4003618459983,2400,0.91685489191095
42,1,2,"3;5","",20,0,8,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,1.17813112574368,1178,0.76461160882842
43,1,2,"4;5","",24,0,4,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.40256153263545,2403,0.917022424733874
44,1,3,"2;4","",10,0,16,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.34729502654955,2347,0.912718981576013
45,1,3,"2;5","",18,0,8,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.930273040665725,930,0.717130676241268
46,1,3,"4;5","",24,0,2,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.34766016220283,2348,0.912748065009836
47,1,4,"2;3","",6,0,16,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,27.4311837391379,27431,1.22120414587222e-12
48,1,4,"2;5","",18,0,4,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,28.9256482975538,28926,2.73999997525371e-13
49,1,4,"3;5","",20,0,2,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,28.7326915829308,28733,3.32315497709878e-13
50,1,5,"2;3","",6,0,8,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.34006089619561,2340,0.912140965503615
51,1,5,"2;4","",10,0,4,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.26261832364389,2263,0.905733422158788
52,1,5,"3;4","",12,0,2,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.26078377266731,2261,0.905576670848575
53,2,3,"1;4","",9,0,16,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.40202262136518,2402,0.916981408520382
54,2,3,"1;5","",17,0,8,TRUE,FALSE,FALSE,"independent","dependent","dependent",FALSE,FALSE,FALSE,FALSE,0.336086361723574,336,0.583239541280877
55,2,3,"4;5","",24,0,1,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.40182095715681,2402,0.916966055238017
56,2,4,"1;3","",5,0,16,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,76.894214580796,76894,4.02964620185437e-34
57,2,4,"1;5","",17,0,4,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,79.2315335126223,79232,3.89208398188106e-35
58,2,4,"3;5","",20,0,1,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,78.3902293240844,78390,9.02726038207418e-35
59,2,5,"1;3","",5,0,8,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.80440248331615,1804,0.858684001961152
60,2,5,"1;4","",9,0,4,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.53301981108598,1533,0.822447719056138
61,2,5,"3;4","",12,0,1,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.5306184602523,1531,0.822096784309294
62,3,4,"1;2","",3,0,16,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,71.8831592508632,71883,6.04700872978938e-32
63,3,4,"1;5","",17,0,2,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,73.9555162539546,73956,7.6125013840511e-33
64,3,4,"2;5","",18,0,1,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,73.3071687801094,73307,1.45579798808301e-32
65,3,5,"1;2","",3,0,8,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.4328110106635,2433,0.919295331632933
66,3,5,"1;4","",9,0,2,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.42639026722645,2426,0.918817683250443
67,3,5,"2;4","",10,0,1,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.42582346731615,2426,0.918775394616665
68,4,5,"1;2","",3,0,4,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.60145965621678,1601,0.832222293364899
69,4,5,"1;3","",5,0,2,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,1.86642158489394,1866,0.866043681794273
70,4,5,"2;3","",6,0,1,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.67191468538795,1672,0.84183093149672
71,1,2,"3;4;5","",28,0,0,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.42500644441361,2425,0.918714401645255
72,1,3,"2;4;5","",26,0,0,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,2.37010507398236,2370,0.914519074969789
73,1,4,"2;3;5","",22,0,0,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,27.4858162642568,27486,1.15627641116311e-12
74,1,5,"2;3;4","",14,0,0,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.28542837107398,2285,0.907663011286033
75,2,3,"1;4;5","",25,0,0,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.42426586888905,2424,0.918659079608934
76,2,4,"1;3;5","",21,0,0,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,77.1433540054932,77143,3.14099351619078e-34
77,2,5,"1;3;4","",13,0,0,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.5552630586044,1555,0.825672581590057
78,3,4,"1;2;5","",19,0,0,FALSE,FALSE,FALSE,"dependent","dependent","dependent",TRUE,TRUE,TRUE,FALSE,71.8673367468109,71867,6.14344849724687e-32
79,3,5,"1;2;4","",11,0,0,TRUE,TRUE,TRUE,"independent","independent","independent",TRUE,TRUE,TRUE,FALSE,2.44863351472122,2449,0.920461464944823
80,4,5,"1;2;3","",7,0,0,TRUE,FALSE,TRUE,"independent","dependent","independent",FALSE,TRUE,FALSE,TRUE,1.61728216026449,1617,0.834419965356468
