dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,runner_wall_elapsed,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
sf5,ASPCR-DAG-log,15.2504703998566,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,0,1,2026,ok,,17.04590658005327,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0000_seed_2026.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2026.csv,80,40,40,76,36,40,4,4,0,0.4736842105263157,0.9,0.6206896551724138,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,9565,9565,True,2,0,0,14.908,0.144000000000002,0.0689999999999991,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2026.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2026_time.csv
sf5,ASPCR-DAG-log,15.6241245269775,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,1,2,2027,ok,,17.483192842453718,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0001_seed_2027.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2027.csv,80,40,40,76,40,36,4,0,4,0.5263157894736842,1.0,0.6896551724137931,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,9508,9508,True,2,0,0,15.279,0.143000000000001,0.0740000000000016,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2027.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2027_time.csv
sf5,ASPCR-DAG-log,15.3523738384247,4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,2,3,2028,ok,,17.272846815176308,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0002_seed_2028.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2028.csv,80,56,24,60,36,24,20,20,0,0.6,0.6428571428571429,0.6206896551724138,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,31348,31348,True,4,0,0,15.01,0.141999999999999,0.0700000000000003,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2028.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2028_time.csv
sf5,ASPCR-DAG-log,15.169450044632,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,3,4,2029,ok,,16.95714874472469,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0003_seed_2029.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2029.csv,80,49,31,68,41,27,12,8,4,0.6029411764705882,0.8367346938775511,0.7008547008547009,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,23440,23440,True,3,0,0,14.849,0.134,0.0589999999999975,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2029.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2029_time.csv
sf5,ASPCR-DAG-log,15.2706944942474,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,4,5,2030,ok,,17.050960764288902,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0004_seed_2030.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2030.csv,80,40,40,76,36,40,4,4,0,0.4736842105263157,0.9,0.6206896551724138,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,9671,9671,True,2,0,0,14.918,0.155999999999999,0.0689999999999991,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2030.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2030_time.csv
sf5,ASPCR-DAG-log,15.4423406124115,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,5,6,2031,ok,,17.38120944239199,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0005_seed_2031.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2031.csv,80,59,21,65,44,21,15,15,0,0.676923076923077,0.7457627118644068,0.7096774193548386,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,4735,4735,True,2,0,0,15.115,0.140000000000001,0.0579999999999998,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2031.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2031_time.csv
sf5,ASPCR-DAG-log,15.2112183570862,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,6,7,2032,ok,,17.12395974062383,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0006_seed_2032.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2032.csv,80,41,39,76,41,35,4,0,4,0.5394736842105263,1.0,0.7008547008547009,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,9307,9307,True,2,0,0,14.886,0.139000000000003,0.0579999999999998,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2032.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2032_time.csv
sf5,ASPCR-DAG-log,15.2727196216583,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7,8,2033,ok,,17.05352719221264,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0007_seed_2033.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2033.csv,80,64,16,64,64,0,16,0,16,1.0,1.0,1.0,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,22018,22018,True,4,0,0,14.943,0.131999999999998,0.0660000000000025,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2033.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2033_time.csv
sf5,ASPCR-DAG-log,15.524843454361,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,8,9,2034,ok,,17.30277417693287,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0008_seed_2034.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2034.csv,80,52,28,68,48,20,12,4,8,0.7058823529411765,0.9230769230769232,0.8000000000000002,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,28888,28888,True,3,0,0,15.17,0.144000000000002,0.0739999999999981,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2034.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2034_time.csv
sf5,ASPCR-DAG-log,15.5232293605804,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,9,10,2035,ok,,17.438170462846756,results/paper_aaai2027/frozen/results/estimated_graphs/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/sf5/ASPCR-DAG-log/run_0009_seed_2035.npz,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/true_graph_sf5_2035.csv,80,41,39,76,37,39,4,4,0,0.4868421052631579,0.902439024390244,0.6324786324786326,dag_sufficient,new_wmaxsat_acyclic_sufficient.pl,8379,8379,True,2,0,0,15.191,0.146999999999998,0.0570000000000022,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/data/data_sf5_2035.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_directed.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_bidirected.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_tailtail.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_constraints.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_diagnostics.csv,results/paper_aaai2027/frozen/results/aspcr_matched/paper_aspcr_dag_er_sf_e1_alpha001_n5000_50rep/results/aspcr_log-weights_dag_sufficient_sf5_2035_time.csv
