dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
survey,FGS,0.16104650497436523,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0000_seed_2026.npz,
survey,FGS,0.10225272178649902,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0001_seed_2027.npz,
survey,FGS,0.15031123161315918,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0002_seed_2028.npz,
survey,FGS,0.15430903434753418,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0003_seed_2029.npz,
survey,FGS,0.1626121997833252,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0004_seed_2030.npz,
survey,FGS,0.1574382781982422,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0005_seed_2031.npz,
survey,FGS,0.15737485885620117,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0006_seed_2032.npz,
survey,FGS,0.1872272491455078,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0007_seed_2033.npz,
survey,FGS,0.15024781227111816,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0008_seed_2034.npz,
survey,FGS,0.1082913875579834,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0009_seed_2035.npz,
survey,FGS,0.15062808990478516,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,6.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0010_seed_2036.npz,
survey,FGS,0.14973807334899902,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,6.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0011_seed_2037.npz,
survey,FGS,0.15752506256103516,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0012_seed_2038.npz,
survey,FGS,0.15828895568847656,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0013_seed_2039.npz,
survey,FGS,0.16101479530334473,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0014_seed_2040.npz,
