dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
sf8,FGS,0.080010175704956,9,0.6667,0.2308,0.4,0.3333,0.2308,0.2727,15.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0000_seed_2026.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0709702968597412,3,0.6667,0.0769,0.1333,0.3333,0.0769,0.125,14.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0001_seed_2027.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0736250877380371,6,0.6667,0.1538,0.2667,0.3333,0.1538,0.2105,11.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0002_seed_2028.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0758345127105712,6,0.6667,0.1538,0.2667,0.3333,0.1538,0.2105,15.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0003_seed_2029.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0725941658020019,4,0.25,0.2308,0.0667,0.75,0.2308,0.3529,11.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0004_seed_2030.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0748152732849121,4,0.5,0.1538,0.1333,0.5,0.1538,0.2353,12.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0005_seed_2031.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0760340690612793,7,0.5714,0.2308,0.2667,0.4286,0.2308,0.3,14.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0006_seed_2032.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0778641700744628,7,1.0,0.0,0.4667,0.0,0.0,0.0,17.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0007_seed_2033.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0704317092895507,4,1.0,0.0,0.2667,0.0,0.0,0.0,14.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0008_seed_2034.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0747966766357421,7,0.5714,0.2308,0.2667,0.4286,0.2308,0.3,14.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0009_seed_2035.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
