dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
er8,MPC,0.0936896800994873,11,0.1818,0.5625,0.1667,0.8182,0.5625,0.6667,7.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0000_seed_2026.npz,
er8,MPC,0.04257535934448242,9,0.1111,0.5,0.0833,0.8889,0.5,0.64,8.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0001_seed_2027.npz,
er8,MPC,0.06482601165771484,10,0.2,0.5,0.1667,0.8,0.5,0.6154,8.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0002_seed_2028.npz,
er8,MPC,0.12212204933166504,15,0.2667,0.6875,0.3333,0.7333,0.6875,0.7097,5.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0003_seed_2029.npz,
er8,MPC,0.10134768486022949,11,0.1818,0.5625,0.1667,0.8182,0.5625,0.6667,7.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0004_seed_2030.npz,
er8,MPC,0.13123416900634766,10,0.3,0.4375,0.25,0.7,0.4375,0.5385,9.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0005_seed_2031.npz,
er8,MPC,0.13246774673461914,12,0.4167,0.4375,0.4167,0.5833,0.4375,0.5,9.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0006_seed_2032.npz,
er8,MPC,0.07573914527893066,12,0.25,0.5625,0.25,0.75,0.5625,0.6429,7,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0007_seed_2033.npz,
er8,MPC,0.1122443675994873,13,0.5385,0.375,0.5833,0.4615,0.375,0.4138,10.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0008_seed_2034.npz,
er8,MPC,0.08791208267211914,13,0.1538,0.6875,0.1667,0.8462,0.6875,0.7586,5.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0009_seed_2035.npz,
er8,MPC,0.09512734413146973,14,0.1429,0.75,0.1667,0.8571,0.75,0.8,4.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0010_seed_2036.npz,
er8,MPC,0.08991098403930664,11,0.3636,0.4375,0.3333,0.6364,0.4375,0.5185,9.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0011_seed_2037.npz,
er8,MPC,0.0865776538848877,13,0.1538,0.6875,0.1667,0.8462,0.6875,0.7586,5,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0012_seed_2038.npz,
er8,MPC,0.16310834884643555,15,0.2,0.75,0.25,0.8,0.75,0.7742,4.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0013_seed_2039.npz,
er8,MPC,0.11994433403015137,14,0.1429,0.75,0.1667,0.8571,0.75,0.8,4,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0014_seed_2040.npz,
er8,MPC,0.06432271003723145,11,0.1818,0.5625,0.1667,0.8182,0.5625,0.6667,7.0,15,16,2041,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0015_seed_2041.npz,
er8,MPC,0.09333944320678711,13,0.3077,0.5625,0.3333,0.6923,0.5625,0.6207,7.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0016_seed_2042.npz,
er8,MPC,0.5371811389923096,13,0.6154,0.3125,0.6667,0.3846,0.3125,0.3448,11.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0017_seed_2043.npz,
er8,MPC,0.08688998222351074,12,0.4167,0.4375,0.4167,0.5833,0.4375,0.5,9.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0018_seed_2044.npz,
er8,MPC,0.07242870330810547,7,0.1429,0.375,0.0833,0.8571,0.375,0.5217,10.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0019_seed_2045.npz,
er8,MPC,0.05856013298034668,11,0.3636,0.4375,0.3333,0.6364,0.4375,0.5185,9.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0020_seed_2046.npz,
er8,MPC,0.0721592903137207,11,0.1818,0.5625,0.1667,0.8182,0.5625,0.6667,7.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0021_seed_2047.npz,
er8,MPC,0.10502099990844727,13,0.2308,0.625,0.25,0.7692,0.625,0.6897,6.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0022_seed_2048.npz,
er8,MPC,0.09394454956054688,11,0.0909,0.625,0.0833,0.9091,0.625,0.7407,6.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/er8/MPC/run_0023_seed_2049.npz,
