dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
sf8,MPC,0.0843956470489502,11,0.1818,0.6923,0.1333,0.8182,0.6923,0.75,5.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0000_seed_2026.npz,
sf8,MPC,0.03129076957702637,8,0.0,0.6154,0.0,1.0,0.6154,0.7619,5.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0001_seed_2027.npz,
sf8,MPC,0.09025883674621582,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0002_seed_2028.npz,
sf8,MPC,0.040323495864868164,7,0.1429,0.4615,0.0667,0.8571,0.4615,0.6,7.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0003_seed_2029.npz,
sf8,MPC,0.056621551513671875,8,0.25,0.4615,0.1333,0.75,0.4615,0.5714,8.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0004_seed_2030.npz,
sf8,MPC,0.062343597412109375,8,0.125,0.5385,0.0667,0.875,0.5385,0.6667,6.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0005_seed_2031.npz,
sf8,MPC,0.08609271049499512,11,0.0,0.8462,0.0,1.0,0.8462,0.9167,2.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0006_seed_2032.npz,
sf8,MPC,0.05413341522216797,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0007_seed_2033.npz,
sf8,MPC,0.057034969329833984,8,0.0,0.6154,0.0,1.0,0.6154,0.7619,5.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0008_seed_2034.npz,
sf8,MPC,0.02528667449951172,6,0.0,0.4615,0.0,1.0,0.4615,0.6316,7.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0009_seed_2035.npz,
sf8,MPC,0.07847213745117188,8,0.125,0.5385,0.0667,0.875,0.5385,0.6667,6.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0010_seed_2036.npz,
sf8,MPC,0.05409097671508789,7,0.0,0.5385,0.0,1.0,0.5385,0.7,6.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0011_seed_2037.npz,
sf8,MPC,0.06255912780761719,9,0.2222,0.5385,0.1333,0.7778,0.5385,0.6364,6.0,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0012_seed_2038.npz,
sf8,MPC,0.052123308181762695,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0013_seed_2039.npz,
sf8,MPC,0.06310534477233887,9,0.1111,0.6154,0.0667,0.8889,0.6154,0.7273,5.0,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0014_seed_2040.npz,
sf8,MPC,0.10191059112548828,11,0.0909,0.7692,0.0667,0.9091,0.7692,0.8333,3,15,16,2041,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0015_seed_2041.npz,
sf8,MPC,0.062052249908447266,9,0.4444,0.3846,0.2667,0.5556,0.3846,0.4545,8.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0016_seed_2042.npz,
sf8,MPC,0.042678117752075195,7,0.2857,0.3846,0.1333,0.7143,0.3846,0.5,8.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0017_seed_2043.npz,
sf8,MPC,0.0763235092163086,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,5.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0018_seed_2044.npz,
sf8,MPC,0.053704261779785156,9,0.0,0.6923,0.0,1.0,0.6923,0.8182,4.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0019_seed_2045.npz,
sf8,MPC,0.034584760665893555,7,0.0,0.5385,0.0,1.0,0.5385,0.7,6.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0020_seed_2046.npz,
sf8,MPC,0.05819511413574219,8,0.0,0.6154,0.0,1.0,0.6154,0.7619,5.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0021_seed_2047.npz,
sf8,MPC,0.04432988166809082,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0022_seed_2048.npz,
sf8,MPC,0.0708322525024414,6,0.0,0.4615,0.0,1.0,0.4615,0.6316,7.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0023_seed_2049.npz,
sf8,MPC,0.0433497428894043,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0024_seed_2050.npz,
sf8,MPC,0.04879117012023926,9,0.1111,0.6154,0.0667,0.8889,0.6154,0.7273,5.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0025_seed_2051.npz,
sf8,MPC,0.07743406295776367,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0026_seed_2052.npz,
sf8,MPC,0.04791760444641113,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0027_seed_2053.npz,
sf8,MPC,0.0891563892364502,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0028_seed_2054.npz,
