dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
er8,FGS,0.07266545295715332,5,1.0,0.0,0.25,0.0,0.0,0.0,12.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0000_seed_2026.npz,
er8,FGS,0.0740816593170166,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,12.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0001_seed_2027.npz,
er8,FGS,0.10611701011657715,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,11.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0002_seed_2028.npz,
er8,FGS,0.07976150512695312,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0003_seed_2029.npz,
er8,FGS,0.07676529884338379,5,0.6,0.25,0.15,0.4,0.25,0.3077,9.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0004_seed_2030.npz,
er8,FGS,0.07776927947998047,7,0.8571,0.125,0.3,0.1429,0.125,0.1333,13.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0005_seed_2031.npz,
er8,FGS,0.08127212524414062,7,1.0,0.0,0.35,0.0,0.0,0.0,15.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0006_seed_2032.npz,
er8,FGS,0.08210301399230957,8,1.0,0.0,0.4,0.0,0.0,0.0,15.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0007_seed_2033.npz,
er8,FGS,0.07638859748840332,4,0.75,0.125,0.15,0.25,0.125,0.1667,10.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0008_seed_2034.npz,
er8,FGS,0.07989740371704102,6,1.0,0.0,0.3,0.0,0.0,0.0,14.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0009_seed_2035.npz,
er8,FGS,0.08083939552307129,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,8.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0010_seed_2036.npz,
er8,FGS,0.07908511161804199,5,1.0,0.0,0.25,0.0,0.0,0.0,11.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0011_seed_2037.npz,
