dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
sf5,MPC,0.008175373077392578,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0000_seed_2026.npz,
sf5,MPC,0.008545637130737305,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0001_seed_2027.npz,
sf5,MPC,0.009565353393554688,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0002_seed_2028.npz,
sf5,MPC,0.007772684097290039,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0003_seed_2029.npz,
sf5,MPC,0.008080482482910156,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0004_seed_2030.npz,
sf5,MPC,0.0072879791259765625,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0005_seed_2031.npz,
sf5,MPC,0.010842561721801758,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0006_seed_2032.npz,
sf5,MPC,0.0064427852630615234,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0007_seed_2033.npz,
sf5,MPC,0.007140398025512695,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0008_seed_2034.npz,
sf5,MPC,0.007857322692871094,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0009_seed_2035.npz,
sf5,MPC,0.0070285797119140625,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0010_seed_2036.npz,
sf5,MPC,0.006948232650756836,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0011_seed_2037.npz,
sf5,MPC,0.008359432220458984,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0012_seed_2038.npz,
sf5,MPC,0.008715391159057617,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0013_seed_2039.npz,
sf5,MPC,0.009131669998168945,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0014_seed_2040.npz,
sf5,MPC,0.00667881965637207,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,15,16,2041,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0015_seed_2041.npz,
sf5,MPC,0.006844043731689453,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0016_seed_2042.npz,
sf5,MPC,0.006888866424560547,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0017_seed_2043.npz,
sf5,MPC,0.006747722625732422,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0018_seed_2044.npz,
sf5,MPC,0.007120370864868164,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0019_seed_2045.npz,
sf5,MPC,0.006810903549194336,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0020_seed_2046.npz,
sf5,MPC,0.008301258087158203,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0021_seed_2047.npz,
sf5,MPC,0.007260799407958984,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0022_seed_2048.npz,
sf5,MPC,0.006947517395019531,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0023_seed_2049.npz,
sf5,MPC,0.006878852844238281,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0024_seed_2050.npz,
sf5,MPC,0.009021282196044922,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0025_seed_2051.npz,
sf5,MPC,0.007447719573974609,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0026_seed_2052.npz,
sf5,MPC,0.00710606575012207,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0027_seed_2053.npz,
sf5,MPC,0.0073015689849853516,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0028_seed_2054.npz,
sf5,MPC,0.003984212875366211,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0029_seed_2055.npz,
sf5,MPC,0.007735013961791992,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0030_seed_2056.npz,
sf5,MPC,0.008737564086914062,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0031_seed_2057.npz,
sf5,MPC,0.008175849914550781,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0032_seed_2058.npz,
sf5,MPC,0.008485794067382812,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0033_seed_2059.npz,
sf5,MPC,0.007431983947753906,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0034_seed_2060.npz,
sf5,MPC,0.009546756744384766,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf5/MPC/run_0035_seed_2061.npz,
