dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
sf8,FGS,0.07678747177124023,4,0.75,0.1429,0.1429,0.25,0.1429,0.1818,9.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0000_seed_2026.npz,
sf8,FGS,0.07236528396606445,1,1.0,0.0,0.0476,0.0,0.0,0.0,8.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0001_seed_2027.npz,
sf8,FGS,0.07392716407775879,3,1.0,0.0,0.1429,0.0,0.0,0.0,10.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0002_seed_2028.npz,
sf8,FGS,0.07353758811950684,3,0.6667,0.1429,0.0952,0.3333,0.1429,0.2,8.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0003_seed_2029.npz,
sf8,FGS,0.0677037239074707,1,1.0,0.0,0.0476,0.0,0.0,0.0,8.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0004_seed_2030.npz,
sf8,FGS,0.07325267791748047,5,0.8,0.1429,0.1905,0.2,0.1429,0.1667,10.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0005_seed_2031.npz,
sf8,FGS,0.07412385940551758,5,0.6,0.2857,0.1429,0.4,0.2857,0.3333,6.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0006_seed_2032.npz,
sf8,FGS,0.07417583465576172,3,1.0,0.0,0.1429,0.0,0.0,0.0,9.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0007_seed_2033.npz,
sf8,FGS,0.0718224048614502,4,1.0,0.0,0.1905,0.0,0.0,0.0,9.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0008_seed_2034.npz,
sf8,FGS,0.07392358779907227,4,1.0,0.0,0.1905,0.0,0.0,0.0,11.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0009_seed_2035.npz,
sf8,FGS,0.07144689559936523,3,1.0,0.0,0.1429,0.0,0.0,0.0,10.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0010_seed_2036.npz,
sf8,FGS,0.07033896446228027,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0011_seed_2037.npz,
sf8,FGS,0.07859969139099121,5,1.0,0.0,0.2381,0.0,0.0,0.0,11.0,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0012_seed_2038.npz,
sf8,FGS,0.07640862464904785,5,1.0,0.0,0.2381,0.0,0.0,0.0,11.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0013_seed_2039.npz,
sf8,FGS,0.07248640060424805,4,1.0,0.0,0.1905,0.0,0.0,0.0,10.0,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0014_seed_2040.npz,
sf8,FGS,0.07735395431518555,4,0.75,0.1429,0.1429,0.25,0.1429,0.1818,9.0,15,16,2041,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0015_seed_2041.npz,
sf8,FGS,0.07279324531555176,1,1.0,0.0,0.0476,0.0,0.0,0.0,8.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0016_seed_2042.npz,
sf8,FGS,0.07514190673828125,5,0.8,0.1429,0.1905,0.2,0.1429,0.1667,8.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0017_seed_2043.npz,
sf8,FGS,0.07490062713623047,6,0.6667,0.2857,0.1905,0.3333,0.2857,0.3077,5.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0018_seed_2044.npz,
sf8,FGS,0.07638812065124512,7,0.8571,0.1429,0.2857,0.1429,0.1429,0.1429,12.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0019_seed_2045.npz,
sf8,FGS,0.06817841529846191,1,0.0,0.1429,0.0,1.0,0.1429,0.25,6.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0020_seed_2046.npz,
sf8,FGS,0.07124519348144531,4,1.0,0.0,0.1905,0.0,0.0,0.0,9.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0021_seed_2047.npz,
sf8,FGS,0.07286262512207031,2,1.0,0.0,0.0952,0.0,0.0,0.0,8.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0022_seed_2048.npz,
sf8,FGS,0.06881284713745117,1,0.0,0.1429,0.0,1.0,0.1429,0.25,6.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0023_seed_2049.npz,
sf8,FGS,0.07365536689758301,4,1.0,0.0,0.1905,0.0,0.0,0.0,11.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0024_seed_2050.npz,
sf8,FGS,0.06900787353515625,1,1.0,0.0,0.0476,0.0,0.0,0.0,8.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0025_seed_2051.npz,
sf8,FGS,0.07130670547485352,3,1.0,0.0,0.1429,0.0,0.0,0.0,9.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0026_seed_2052.npz,
sf8,FGS,0.0724647045135498,4,1.0,0.0,0.1905,0.0,0.0,0.0,9.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0027_seed_2053.npz,
sf8,FGS,0.07405972480773926,3,1.0,0.0,0.1429,0.0,0.0,0.0,8.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0028_seed_2054.npz,
sf8,FGS,0.07630586624145508,4,1.0,0.0,0.1905,0.0,0.0,0.0,11.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0029_seed_2055.npz,
sf8,FGS,0.09272098541259766,3,1.0,0.0,0.1429,0.0,0.0,0.0,9.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0030_seed_2056.npz,
sf8,FGS,0.0724477767944336,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0031_seed_2057.npz,
sf8,FGS,0.07142949104309082,3,1.0,0.0,0.1429,0.0,0.0,0.0,8.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0032_seed_2058.npz,
sf8,FGS,0.07028603553771973,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0033_seed_2059.npz,
sf8,FGS,0.07030653953552246,2,0.5,0.1429,0.0476,0.5,0.1429,0.2222,7.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0034_seed_2060.npz,
sf8,FGS,0.07266378402709961,3,1.0,0.0,0.1429,0.0,0.0,0.0,10.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0035_seed_2061.npz,
sf8,FGS,0.07480692863464355,5,0.6,0.2857,0.1429,0.4,0.2857,0.3333,8.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0036_seed_2062.npz,
sf8,FGS,0.06996369361877441,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0037_seed_2063.npz,
