dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er5,FGS,0.0333568882197141,5,0.0,1.0,0.0,0.8,0.8,0.8,0.0,0,1,2026,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0000_seed_2026.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0295291561633348,4,0.0,0.8,0.0,0.5,0.4,0.4444,3.0,1,2,2027,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0001_seed_2027.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0300347721204161,5,0.2,0.8,0.2,0.6,0.6,0.6,2.0,2,3,2028,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0002_seed_2028.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0296022770926356,4,0.0,0.8,0.0,0.75,0.6,0.6667,1.0,3,4,2029,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0003_seed_2029.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0338090509176254,5,0.0,1.0,0.0,0.6,0.6,0.6,0.0,4,5,2030,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0004_seed_2030.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0345878964290022,4,0.0,0.8,0.0,0.25,0.2,0.2222,1.0,5,6,2031,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0005_seed_2031.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0327559448778629,4,0.0,0.8,0.0,0.75,0.6,0.6667,2.0,6,7,2032,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0006_seed_2032.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0327956760302186,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7,8,2033,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0007_seed_2033.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.2411297252401709,5,0.0,1.0,0.0,0.8,0.8,0.8,2.0,8,9,2034,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0008_seed_2034.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0289622247219085,4,0.0,0.8,0.0,0.75,0.6,0.6667,2.0,9,10,2035,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0009_seed_2035.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0340628074482083,6,0.3333,0.8,0.4,0.6667,0.8,0.7273,2.0,10,11,2036,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0010_seed_2036.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0309789013117551,5,0.0,1.0,0.0,0.8,0.8,0.8,0.0,11,12,2037,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0011_seed_2037.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
