dataset,dataset_label,seed,rep_local,source,method,total_facts,correct_facts,wrong_facts,accepted_facts,accepted_correct_facts,accepted_wrong_facts,removed_facts,removed_wrong_facts,fact_precision,fact_recall,fact_f1
er5,ER (5),2026.0,1,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2027.0,2,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2028.0,3,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,72.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2029.0,4,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,56.0,56.0,0.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2030.0,5,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2031.0,6,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2032.0,7,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2033.0,8,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,72.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2034.0,9,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0
er5,ER (5),2035.0,10,results/paper_aaai2027/frozen/results/final_mcs_experiments_er_sf_alpha001_nowrong_noweight_50rep_chunked/wc_sweep_5_2026_er_sf_alpha001_nowrong_noweight_seed2026_2075_20260715_122848/summary.json,ABA-PC,38.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0
