dataset,dataset_label,method,n_reps,total_facts_mean,total_facts_std,total_facts_n,wrong_facts_mean,wrong_facts_std,wrong_facts_n,accepted_facts_mean,accepted_facts_std,accepted_facts_n,accepted_wrong_facts_mean,accepted_wrong_facts_std,accepted_wrong_facts_n,removed_wrong_facts_mean,removed_wrong_facts_std,removed_wrong_facts_n,fact_precision_mean,fact_precision_std,fact_precision_n,fact_recall_mean,fact_recall_std,fact_recall_n,fact_f1_mean,fact_f1_std,fact_f1_n
cancer,Cancer (5),Raw PC facts,50,33.08,9.62530678016264,50,5.9,1.9086270308410551,50,33.08,9.62530678016264,50,5.9,1.9086270308410551,50,0.0,0.0,50,0.8036922835232339,0.08177020938403738,50,1.0,0.0,50,0.8887956878366111,0.053518779025006485,50
cancer,Cancer (5),ABA-PC,50,33.08,9.62530678016264,50,5.9,1.9086270308410551,50,25.58,8.303158975931499,50,1.6,1.511857892036909,50,4.3,1.4321384039831018,50,0.9274586897090262,0.06867893913158526,50,0.8869953783922278,0.057624220196967335,50,0.9044903947596749,0.04600991401464686,50
cancer,Cancer (5),OptABA-PC,50,33.08,9.62530678016264,50,5.9,1.9086270308410551,50,28.94,8.702357175395829,50,3.32,2.2079633241556182,50,2.58,1.310709419998754,50,0.8662265574410885,0.09115639916579261,50,0.9412452860713525,0.045148012532049184,50,0.9000969544459153,0.06401741370733426,50
earthquake,Earthquake (5),Raw PC facts,50,54.34,1.171254342443979,50,0.14,0.4045657788144656,50,54.34,1.171254342443979,50,0.14,0.4045657788144656,50,0.0,0.0,50,0.9975468103989437,0.00703613800681001,50,1.0,0.0,50,0.9987596015076573,0.003562464709102891,50
earthquake,Earthquake (5),ABA-PC,50,54.34,1.171254342443979,50,0.14,0.4045657788144656,50,54.2,0.9897433186107869,50,0.08,0.27404751561786966,50,0.06,0.23989793748209523,50,0.998595146871009,0.004815049523954264,50,0.9985964912280701,0.009924305700863827,50,0.9985773599686644,0.006631255537782573,50
earthquake,Earthquake (5),OptABA-PC,50,54.34,1.171254342443979,50,0.14,0.4045657788144656,50,54.26,1.0654116766848045,50,0.08,0.27404751561786966,50,0.06,0.23989793748209523,50,0.9986146400483968,0.004745828207075052,50,0.9996491228070176,0.0024810764252159636,50,0.9991273836765828,0.003183366044153622,50
survey,Survey (6),Raw PC facts,50,53.28,16.111904585980984,50,18.34,4.382758426900966,50,53.28,16.111904585980984,50,18.34,4.382758426900966,50,0.0,0.0,50,0.6410269779674617,0.0790763703628479,50,1.0,0.0,50,0.7784444137298149,0.05957779612135399,50
survey,Survey (6),ABA-PC,50,53.28,16.111904585980984,50,18.34,4.382758426900966,50,27.24,9.011466618272793,50,2.4,1.4846149779161804,50,15.94,4.975080760292095,50,0.8943096968451214,0.08821498975103204,50,0.715947658070287,0.10489174085473459,50,0.7890925596130363,0.07515358065218906,50
survey,Survey (6),OptABA-PC,50,53.28,16.111904585980984,50,18.34,4.382758426900966,50,43.14,13.024325749323449,50,13.44,4.678042500090509,50,4.9,3.302750863341969,50,0.6690060103127131,0.12578443000315895,50,0.8416515741220316,0.08219492953057306,50,0.7422949203794768,0.10711547006469398,50
asia,Asia (8),Raw PC facts,50,138.84,22.1574698327168,50,12.84,3.564908333824508,50,138.84,22.1574698327168,50,12.84,3.564908333824508,50,0.0,0.0,50,0.9076684661871126,0.01861097736683092,49,1.0,0.0,50,0.9515007497820633,0.010365940964934164,49
