dataset,dataset_label,method,n_reps,n_cpdags_compat_mean,n_cpdags_compat_std,n_cpdags_compat_n,cpdag_adjacency_f1_avg_mean,cpdag_adjacency_f1_avg_std,cpdag_adjacency_f1_avg_n,cpdag_arrowhead_f1_avg_mean,cpdag_arrowhead_f1_avg_std,cpdag_arrowhead_f1_avg_n,adjacency_f1_avg_mean,adjacency_f1_avg_std,adjacency_f1_avg_n,arrowhead_f1_avg_mean,arrowhead_f1_avg_std,arrowhead_f1_avg_n,true_cpdag_in_compat_mean,true_cpdag_in_compat_std,true_cpdag_in_compat_n,true_dag_in_compat_mean,true_dag_in_compat_std,true_dag_in_compat_n,n_graph,n
cancer,Cancer (5),ABA-PC,50,15.08,28.78267619557973,50,0.847566226518418,0.07531770870539656,50,0.4563870233976711,0.3123321630335587,50,0.8368980680439111,0.07558740136546038,50,0.482679908716006,0.22309709744825848,50,0.18,0.3880879344916036,50,0.18,0.3880879344916036,50,50,50
cancer,Cancer (5),OptABA-PC,50,1.0,0.0,50,0.9342063492063492,0.08210797150948362,50,0.53,0.34948942350643053,50,0.9342063492063492,0.08210797150948362,50,0.5626984126984127,0.261854448348208,50,0.1,0.30304576336566325,50,0.1,0.30304576336566325,50,50,50
earthquake,Earthquake (5),ABA-PC,50,1.04,0.28284271247461895,50,0.9905185185185187,0.03268591052235847,50,0.9977777777777778,0.015713484026367727,50,0.9902222222222222,0.03394302578952039,50,0.9892222222222222,0.03872511676783282,50,0.92,0.27404751561786966,50,0.92,0.27404751561786966,50,50,50
earthquake,Earthquake (5),OptABA-PC,50,1.0,0.0,50,0.9911111111111112,0.03044972395754106,50,1.0,0.0,50,0.9911111111111112,0.03044972395754106,50,0.9911111111111112,0.03044972395754106,50,0.92,0.27404751561786966,50,0.92,0.27404751561786966,50,50,50
survey,Survey (6),ABA-PC,50,1278.48,2807.1545709679262,50,0.6705931352677195,0.09165142636798168,50,0.27083424987793253,0.16660901876896408,50,0.6698975860749676,0.09425453453342543,50,0.34028452430428546,0.1026876412966685,50,0.04,0.19794866372215741,50,0.04,0.19794866372215741,50,50,50
survey,Survey (6),OptABA-PC,50,1.24,0.7439552323595164,50,0.7901748251748251,0.08411992540497096,50,0.3950873015873016,0.21970246855239428,50,0.7901748251748251,0.08411992540497096,50,0.4816467236467236,0.1401135853274305,50,0.0,0.0,50,0.0,0.0,50,50,50
asia,Asia (8),ABA-PC,50,10822.72,7112.29828533589,50,0.42970788948875205,0.08694035982218035,50,0.24066165608463064,0.1306209023048186,50,0.42809953328633393,0.08995882639370069,50,0.30959569323017466,0.0946201755840643,50,0.0,0.0,50,0.0,0.0,50,50,50
asia,Asia (8),OptABA-PC,50,1.183673469387755,0.39123039821797584,49,0.7801220488195276,0.06375321961616365,49,0.6704390847247989,0.05229113499722365,49,0.7801220488195276,0.06375321961616365,49,0.6651410564225689,0.009107116631626362,49,0.0,0.0,49,0.0,0.0,49,49,49
er5,ER (5),ABA-PC,50,23.62,56.67086859170924,50,0.953486532566846,0.03943270185928134,50,0.0,0.0,50,0.9714235916993222,0.031749619458268534,50,0.4898359232588061,0.02789159507239209,50,0.96,0.19794866372215741,50,0.96,0.19794866372215741,50,50,50
er5,ER (5),OptABA-PC,50,23.62,56.67086859170924,50,0.953486532566846,0.03943270185928134,50,0.0,0.0,50,0.9714235916993222,0.031749619458268534,50,0.4898359232588061,0.02789159507239209,50,0.96,0.19794866372215741,50,0.96,0.19794866372215741,50,50,50
er8,ER (8),ABA-PC,50,3737.4523809523807,2733.418865230697,42,0.7202785418681623,0.0994909295414276,42,0.33985891956516723,0.20080520651153963,42,0.7235747713104634,0.0981402101293963,42,0.44469103289343664,0.1505395519948837,42,0.0,0.0,42,0.0,0.0,42,42,42
er8,ER (8),OptABA-PC,50,953.4042553191489,1702.7143248811328,47,0.7980741096256952,0.0773698387886013,47,0.49062214552265304,0.21873754391022854,47,0.7977712295666174,0.07654491823314549,47,0.5640035090591417,0.1267868262158344,47,0.0,0.0,47,0.02127659574468085,0.14586499149789456,47,47,47
sf5,SF (5),ABA-PC,50,47.64,65.92350545464473,50,0.9069038545692885,0.06692415125706769,50,0.592612169330836,0.2282056835449628,50,0.8943457374456182,0.06459758734853764,50,0.5673379981463078,0.1485279917290718,50,0.56,0.501426536422407,50,0.56,0.501426536422407,50,50,50
sf5,SF (5),OptABA-PC,50,46.38,66.64615364684123,50,0.9153103200148297,0.05765127939542358,50,0.6143587474233526,0.21332874261706194,50,0.9019836610804421,0.06014031134543628,50,0.5799270045428391,0.14023222313059575,50,0.52,0.5046720495044483,50,0.52,0.5046720495044483,50,50,50
sf8,SF (8),ABA-PC,50,5217.020833333333,4733.080331569353,48,0.675371460444285,0.09115476370954582,48,0.47119486557929074,0.1630749145305969,48,0.6757041757953806,0.09051068288178911,48,0.48650343173512717,0.13899666658599039,48,0.0,0.0,48,0.020833333333333332,0.14433756729740643,48,48,48
sf8,SF (8),OptABA-PC,50,436.56,1474.9340927509893,50,0.7766837235821319,0.07079120080120486,50,0.6303224936739752,0.17166368960002598,50,0.7724805893267249,0.07019271559661998,50,0.6129957468079282,0.1274215830592747,50,0.02,0.1414213562373095,50,0.02,0.1414213562373095,50,50,50
