dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
asia,ABAPC (Ours),24.374614477157593,15,0.7333,0.5,0.55,0.0667,0.125,0.087,17.0,7.0,32.0,0,7816
asia,ABAPC (Ours),130.47042894363403,11,0.7273,0.375,0.4,0.1818,0.25,0.2105,14.0,10.0,22.0,1,3578
asia,ABAPC (Ours),96.38871479034424,18,0.8333,0.375,0.75,0.0556,0.125,0.0769,20.0,31.0,48.0,2,2656
asia,ABAPC (Ours),103.85353398323059,15,0.6,0.75,0.45,0.1333,0.25,0.1739,14.0,15.0,46.0,3,2688
asia,ABAPC (Ours),287.9673581123352,22,0.7727,0.625,0.85,0.0909,0.25,0.1333,22.0,10.0,28.0,4,2494
asia,ABAPC (Ours),259.3655424118042,18,0.8333,0.375,0.75,0.0556,0.125,0.0769,21.0,10.0,50.0,5,183
asia,ABAPC (Ours),96.67371559143066,18,0.8333,0.375,0.75,0.1111,0.25,0.1538,19.0,12.0,15.0,6,7977
asia,ABAPC (Ours),370.2329812049866,18,0.6667,0.75,0.6,0.1111,0.25,0.1538,17.0,2.0,50.0,7,3199
asia,ABAPC (Ours),255.1587517261505,20,0.75,0.625,0.75,0.15,0.375,0.2143,19.0,4.0,37.0,8,316
asia,ABAPC (Ours),21.002732276916504,11,0.5455,0.625,0.3,0.2727,0.375,0.3158,9.0,8.0,28.0,9,8266
