dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
child,ABAPC (Ours),425.33888578414917,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,44.0,0,7816
child,ABAPC (Ours),740.4053175449371,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,1,3578
child,ABAPC (Ours),588.9282295703888,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,64.0,2,2656
child,ABAPC (Ours),869.7462289333344,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,3,2688
child,ABAPC (Ours),601.9637868404388,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,45.0,4,2494
child,ABAPC (Ours),728.9968569278717,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,64.0,5,183
child,ABAPC (Ours),646.8823761940002,26,0.1923,0.84,0.0303,0.8077,0.84,0.8235,5.0,64.0,6,7977
child,ABAPC (Ours),564.5704679489136,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,26.0,7,3199
child,ABAPC (Ours),758.4208805561066,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,8,316
child,ABAPC (Ours),657.9978785514832,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,64.0,9,8266
child,ABAPC (Ours),705.1972460746765,25,0.2,0.8,0.0303,0.8,0.8,0.8,5.0,95.0,10,1532
child,ABAPC (Ours),770.4766976833344,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,76.0,11,1009
child,ABAPC (Ours),1702.769700050354,24,0.375,0.6,0.0545,0.625,0.6,0.6122,10.0,161.0,12,2250
child,ABAPC (Ours),670.831042766571,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,71.0,13,4447
child,ABAPC (Ours),1299.6953146457672,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,65.0,14,2415
child,ABAPC (Ours),577.65873503685,25,0.24,0.76,0.0364,0.76,0.76,0.76,6.0,91.0,15,3595
child,ABAPC (Ours),931.7910661697388,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,46.0,16,4187
child,ABAPC (Ours),576.5537347793579,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,42.0,17,4135
child,ABAPC (Ours),809.7913885116577,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,62.0,18,5174
child,ABAPC (Ours),889.5473470687866,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,63.0,19,5303
child,ABAPC (Ours),838.2039666175842,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,65.0,20,3942
child,ABAPC (Ours),891.4674968719482,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,85.0,21,2778
child,ABAPC (Ours),2318.156263113022,23,0.2174,0.72,0.0303,0.7826,0.72,0.75,7.0,107.0,22,2804
child,ABAPC (Ours),1085.782207250595,25,0.2,0.8,0.0303,0.8,0.8,0.8,5.0,91.0,23,2145
child,ABAPC (Ours),999.4510831832886,26,0.1538,0.88,0.0242,0.8462,0.88,0.8627,4.0,65.0,24,150
child,ABAPC (Ours),977.0954468250275,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,67.0,25,8823
child,ABAPC (Ours),1300.4470038414001,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,45.0,26,4669
child,ABAPC (Ours),646.2832210063934,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,47.0,27,6131
child,ABAPC (Ours),1265.7485666275024,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,44.0,28,2617
child,ABAPC (Ours),636.8823022842407,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,44.0,29,7166
child,ABAPC (Ours),1334.90487742424,26,0.1923,0.84,0.0303,0.8077,0.84,0.8235,5.0,64.0,30,1428
child,ABAPC (Ours),751.4279963970184,26,0.1154,0.92,0.0182,0.8846,0.92,0.902,3.0,41.0,31,8328
child,ABAPC (Ours),1188.8771831989288,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,45.0,32,8289
child,ABAPC (Ours),922.7390761375427,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,33,5978
child,ABAPC (Ours),888.0334482192993,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,63.0,34,5511
child,ABAPC (Ours),1089.0400676727295,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,42.0,35,5864
child,ABAPC (Ours),690.9601128101349,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,85.0,36,606
child,ABAPC (Ours),993.4294104576111,26,0.2308,0.8,0.0364,0.7692,0.8,0.7843,6.0,83.0,37,1933
child,ABAPC (Ours),735.4285886287689,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,69.0,38,6071
child,ABAPC (Ours),2374.619464159012,23,0.1739,0.76,0.0242,0.8261,0.76,0.7917,6.0,94.0,39,5504
child,ABAPC (Ours),817.1017274856567,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,62.0,40,5163
child,ABAPC (Ours),3702.7395961284637,22,0.1364,0.76,0.0182,0.8636,0.76,0.8085,6.0,101.0,41,2406
child,ABAPC (Ours),1000.7562141418457,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,42,304
child,ABAPC (Ours),737.810569524765,25,0.2,0.8,0.0303,0.8,0.8,0.8,5.0,94.0,43,3391
child,ABAPC (Ours),1065.3146595954895,25,0.28,0.72,0.0424,0.72,0.72,0.72,7.0,134.0,44,359
child,ABAPC (Ours),732.0750391483307,25,0.08,0.92,0.0121,0.92,0.92,0.92,2.0,41.0,45,9096
child,ABAPC (Ours),1047.552050113678,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,69.0,46,3533
child,ABAPC (Ours),997.6052775382996,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,67.0,47,4125
child,ABAPC (Ours),887.2444896697998,25,0.12,0.88,0.0182,0.88,0.88,0.88,3.0,55.0,48,3094
child,ABAPC (Ours),986.4712121486664,25,0.16,0.84,0.0242,0.84,0.84,0.84,4.0,73.0,49,6398
