dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
earthquake,ABAPC (Ours),0.05179548263549805,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0,7816
earthquake,ABAPC (Ours),0.04315543174743652,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1,3578
earthquake,ABAPC (Ours),0.056097984313964844,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,2,2656
earthquake,ABAPC (Ours),0.35078859329223633,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,3,2688
earthquake,ABAPC (Ours),0.0545964241027832,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4,2494
earthquake,ABAPC (Ours),0.059418678283691406,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5,183
earthquake,ABAPC (Ours),0.045403480529785156,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,6,7977
earthquake,ABAPC (Ours),0.056493282318115234,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,14.0,7,3199
earthquake,ABAPC (Ours),0.2860126495361328,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,8,316
earthquake,ABAPC (Ours),0.056043386459350586,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,9,8266
earthquake,ABAPC (Ours),0.20648574829101562,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,10,1532
earthquake,ABAPC (Ours),0.04190993309020996,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,11,1009
earthquake,ABAPC (Ours),0.04161834716796875,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,12,2250
earthquake,ABAPC (Ours),0.06504201889038086,6,0.3333,1.0,0.3333,0.6667,1.0,0.8,2.0,0.0,18.0,13,4447
earthquake,ABAPC (Ours),0.06415009498596191,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,14,2415
earthquake,ABAPC (Ours),0.04432940483093262,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,15,3595
earthquake,ABAPC (Ours),0.051500797271728516,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,16,4187
earthquake,ABAPC (Ours),0.04651212692260742,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,17,4135
earthquake,ABAPC (Ours),0.04944944381713867,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,18,5174
earthquake,ABAPC (Ours),0.050809383392333984,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,19,5303
earthquake,ABAPC (Ours),0.044918060302734375,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,20,3942
earthquake,ABAPC (Ours),0.051851749420166016,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,21,2778
earthquake,ABAPC (Ours),0.5066440105438232,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,22,2804
earthquake,ABAPC (Ours),0.2173633575439453,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,23,2145
earthquake,ABAPC (Ours),0.25298619270324707,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,24,150
earthquake,ABAPC (Ours),0.5567820072174072,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,25,8823
earthquake,ABAPC (Ours),17.967084646224976,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,14.0,26,4669
earthquake,ABAPC (Ours),153.87998938560486,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,14.0,27,6131
earthquake,ABAPC (Ours),0.04352617263793945,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,28,2617
earthquake,ABAPC (Ours),0.04316282272338867,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,29,7166
earthquake,ABAPC (Ours),0.04415273666381836,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,30,1428
earthquake,ABAPC (Ours),0.04308652877807617,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,31,8328
earthquake,ABAPC (Ours),0.04219508171081543,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,32,8289
earthquake,ABAPC (Ours),0.05225968360900879,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,33,5978
earthquake,ABAPC (Ours),0.04205799102783203,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,34,5511
earthquake,ABAPC (Ours),0.04160356521606445,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,35,5864
earthquake,ABAPC (Ours),0.04660964012145996,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,36,606
earthquake,ABAPC (Ours),0.044226884841918945,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,37,1933
earthquake,ABAPC (Ours),0.04243826866149902,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,38,6071
earthquake,ABAPC (Ours),0.04294419288635254,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,39,5504
earthquake,ABAPC (Ours),0.6176059246063232,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,40,5163
earthquake,ABAPC (Ours),0.042853593826293945,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,41,2406
earthquake,ABAPC (Ours),0.042089223861694336,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,42,304
earthquake,ABAPC (Ours),0.044005393981933594,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,43,3391
earthquake,ABAPC (Ours),0.2657632827758789,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,9.0,44,359
earthquake,ABAPC (Ours),0.05248427391052246,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,45,9096
earthquake,ABAPC (Ours),0.04573822021484375,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,46,3533
earthquake,ABAPC (Ours),0.05249428749084473,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,47,4125
earthquake,ABAPC (Ours),0.0428159236907959,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,48,3094
earthquake,ABAPC (Ours),0.041713714599609375,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,49,6398
