dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),4.8885040283203125,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,5.0,26.0,0,7816
sachs,ABAPC (Ours),4.8472740650177,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,37.0,1,3578
sachs,ABAPC (Ours),5.022250652313232,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,2,2656
sachs,ABAPC (Ours),5.151669263839722,16,0.5,0.4706,0.2105,0.5,0.4706,0.4848,9.0,44.0,3,2688
sachs,ABAPC (Ours),4.858831167221069,16,0.4375,0.5294,0.1842,0.5625,0.5294,0.5455,8.0,33.0,4,2494
sachs,ABAPC (Ours),4.783164739608765,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,35.0,5,183
sachs,ABAPC (Ours),4.101972818374634,16,0.1875,0.7647,0.0789,0.8125,0.7647,0.7879,4.0,24.0,6,7977
sachs,ABAPC (Ours),4.88991904258728,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,4.0,20.0,7,3199
sachs,ABAPC (Ours),5.704253196716309,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,8,316
sachs,ABAPC (Ours),7.623390197753906,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,5.0,19.0,9,8266
sachs,ABAPC (Ours),3.9118611812591553,16,0.3125,0.6471,0.1316,0.6875,0.6471,0.6667,6.0,27.0,10,1532
sachs,ABAPC (Ours),5.242825984954834,16,0.5625,0.4118,0.2368,0.4375,0.4118,0.4242,10.0,40.0,11,1009
sachs,ABAPC (Ours),5.226879119873047,17,0.1176,0.8824,0.0526,0.8824,0.8824,0.8824,2.0,16.0,12,2250
sachs,ABAPC (Ours),8.402600049972534,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,3.0,21.0,13,4447
sachs,ABAPC (Ours),5.132773160934448,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,4.0,20.0,14,2415
sachs,ABAPC (Ours),4.060065746307373,16,0.25,0.7059,0.1053,0.75,0.7059,0.7273,5.0,31.0,15,3595
sachs,ABAPC (Ours),4.569641351699829,16,0.5,0.4706,0.2105,0.5,0.4706,0.4848,9.0,44.0,16,4187
sachs,ABAPC (Ours),4.970094442367554,16,0.125,0.8235,0.0526,0.875,0.8235,0.8485,3.0,17.0,17,4135
sachs,ABAPC (Ours),5.920473337173462,16,0.5625,0.4118,0.2368,0.4375,0.4118,0.4242,10.0,45.0,18,5174
sachs,ABAPC (Ours),4.66589617729187,16,0.4375,0.5294,0.1842,0.5625,0.5294,0.5455,8.0,37.0,19,5303
sachs,ABAPC (Ours),4.797487020492554,16,0.5,0.4706,0.2105,0.5,0.4706,0.4848,9.0,44.0,20,3942
sachs,ABAPC (Ours),5.821565866470337,18,0.3333,0.7059,0.1579,0.6667,0.7059,0.6857,6.0,26.0,21,2778
sachs,ABAPC (Ours),4.7418999671936035,16,0.3125,0.6471,0.1316,0.6875,0.6471,0.6667,6.0,29.0,22,2804
sachs,ABAPC (Ours),5.4190354347229,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,7.0,37.0,23,2145
sachs,ABAPC (Ours),5.6496570110321045,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,3.0,15.0,24,150
sachs,ABAPC (Ours),3.997081756591797,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,5.0,26.0,25,8823
sachs,ABAPC (Ours),6.501531362533569,16,0.4375,0.5294,0.1842,0.5625,0.5294,0.5455,8.0,36.0,26,4669
sachs,ABAPC (Ours),7.350057601928711,16,0.1875,0.7647,0.0789,0.8125,0.7647,0.7879,5.0,19.0,27,6131
sachs,ABAPC (Ours),6.064216613769531,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,3.0,15.0,28,2617
sachs,ABAPC (Ours),4.891785144805908,16,0.3125,0.6471,0.1316,0.6875,0.6471,0.6667,6.0,24.0,29,7166
sachs,ABAPC (Ours),5.334831237792969,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,25.0,30,1428
sachs,ABAPC (Ours),4.784761190414429,16,0.4375,0.5294,0.1842,0.5625,0.5294,0.5455,8.0,37.0,31,8328
sachs,ABAPC (Ours),8.449864625930786,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,30.0,32,8289
sachs,ABAPC (Ours),5.038288831710815,16,0.3125,0.6471,0.1316,0.6875,0.6471,0.6667,6.0,24.0,33,5978
sachs,ABAPC (Ours),6.425370454788208,16,0.5,0.4706,0.2105,0.5,0.4706,0.4848,9.0,44.0,34,5511
sachs,ABAPC (Ours),6.261831998825073,16,0.1875,0.7647,0.0789,0.8125,0.7647,0.7879,4.0,23.0,35,5864
sachs,ABAPC (Ours),6.148434162139893,16,0.1875,0.7647,0.0789,0.8125,0.7647,0.7879,4.0,15.0,36,606
