dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
asia,ABAPC (Ours),0.3548192977905273,4,0.5,0.25,0.1,0.5,0.25,0.3333,6.0,30.0,0,7816
asia,ABAPC (Ours),0.3235352039337158,5,0.4,0.375,0.1,0.6,0.375,0.4615,5.0,31.0,1,3578
asia,ABAPC (Ours),0.4285809993743896,5,0.4,0.375,0.1,0.6,0.375,0.4615,6.0,21.0,2,2656
asia,ABAPC (Ours),0.5276656150817871,4,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,15.0,3,2688
asia,ABAPC (Ours),0.5300366878509521,5,0.8,0.125,0.2,0.2,0.125,0.1538,7.0,38.0,4,2494
asia,ABAPC (Ours),0.4608597755432129,5,0.4,0.375,0.1,0.6,0.375,0.4615,5.0,27.0,5,183
asia,ABAPC (Ours),0.4943125247955322,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,4.0,25.0,6,7977
asia,ABAPC (Ours),0.3984665870666504,5,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,22.0,7,3199
asia,ABAPC (Ours),0.5453238487243652,5,0.6,0.25,0.15,0.4,0.25,0.3077,6.0,33.0,8,316
asia,ABAPC (Ours),0.5667071342468262,5,0.4,0.375,0.1,0.6,0.375,0.4615,6.0,22.0,9,8266
