dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
cancer,ABAPC (Ours),0.1980540752410888,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,0,7816
cancer,ABAPC (Ours),0.0552928447723388,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,1,3578
cancer,ABAPC (Ours),0.0521187782287597,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,2,2656
cancer,ABAPC (Ours),0.0634284019470214,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,3,2688
cancer,ABAPC (Ours),0.0552148818969726,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,2494
cancer,ABAPC (Ours),0.0409464836120605,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,5,183
cancer,ABAPC (Ours),0.3867347240447998,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,10.0,6,7977
cancer,ABAPC (Ours),0.0531089305877685,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,7,3199
cancer,ABAPC (Ours),0.22929048538208,3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,8,316
cancer,ABAPC (Ours),0.0633418560028076,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,9,8266
