dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),4.8885040283203125,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,5.0,26.0,0,7816
sachs,ABAPC (Ours),4.8472740650177,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,37.0,1,3578
sachs,ABAPC (Ours),5.022250652313232,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,2,2656
sachs,ABAPC (Ours),5.151669263839722,16,0.5,0.4706,0.2105,0.5,0.4706,0.4848,9.0,44.0,3,2688
sachs,ABAPC (Ours),4.858831167221069,16,0.4375,0.5294,0.1842,0.5625,0.5294,0.5455,8.0,33.0,4,2494
sachs,ABAPC (Ours),4.783164739608765,16,0.375,0.5882,0.1579,0.625,0.5882,0.6061,7.0,35.0,5,183
sachs,ABAPC (Ours),4.101972818374634,16,0.1875,0.7647,0.0789,0.8125,0.7647,0.7879,4.0,24.0,6,7977
sachs,ABAPC (Ours),4.88991904258728,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,4.0,20.0,7,3199
sachs,ABAPC (Ours),5.704253196716309,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,8,316
sachs,ABAPC (Ours),7.623390197753906,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,5.0,19.0,9,8266
