dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
cancer,MPC,0.008387565612792969,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,0,7816
cancer,MPC,0.00760340690612793,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,1,3578
cancer,MPC,0.005302906036376953,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,2,2656
cancer,MPC,0.007872343063354492,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,3,2688
cancer,MPC,0.007821798324584961,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,4,2494
cancer,MPC,0.0046215057373046875,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,5,183
cancer,MPC,0.009500741958618164,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,6,7977
cancer,MPC,0.0054285526275634766,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,7,3199
cancer,MPC,0.006476640701293945,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,8,316
cancer,MPC,0.008037090301513672,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,9,8266
cancer,MPC,0.00537419319152832,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,10,1532
cancer,MPC,0.008320093154907227,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,11,1009
cancer,MPC,0.00787973403930664,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,12,2250
cancer,MPC,0.004484653472900391,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,13,4447
cancer,MPC,0.0077245235443115234,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,14,2415
cancer,MPC,0.007804393768310547,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,15,3595
cancer,MPC,0.007403373718261719,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,16,4187
cancer,MPC,0.007588386535644531,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,17,4135
cancer,MPC,0.00907278060913086,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,18,5174
cancer,MPC,0.007738828659057617,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,19,5303
cancer,MPC,0.008061647415161133,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,5.0,15.0,20,3942
cancer,MPC,0.00669407844543457,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,21,2778
cancer,MPC,0.004719734191894531,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,22,2804
cancer,MPC,0.006704807281494141,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,23,2145
cancer,MPC,0.008716344833374023,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,24,150
cancer,MPC,0.00910329818725586,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,19.0,25,8823
cancer,MPC,0.00790548324584961,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,26,4669
cancer,MPC,0.005987882614135742,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,15.0,27,6131
cancer,MPC,0.007607460021972656,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,28,2617
cancer,MPC,0.008775711059570312,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,29,7166
cancer,MPC,0.007772922515869141,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,30,1428
cancer,MPC,0.007717132568359375,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,31,8328
cancer,MPC,0.007841110229492188,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,32,8289
cancer,MPC,0.004551410675048828,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,33,5978
cancer,MPC,0.008375406265258789,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,34,5511
cancer,MPC,0.008008718490600586,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,35,5864
cancer,MPC,0.00797271728515625,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,36,606
cancer,MPC,0.006791830062866211,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0,37,1933
cancer,MPC,0.005304574966430664,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,38,6071
cancer,MPC,0.004567861557006836,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,39,5504
cancer,MPC,0.0056459903717041016,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,40,5163
cancer,MPC,0.00566864013671875,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,41,2406
cancer,MPC,0.006746530532836914,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,42,304
cancer,MPC,0.007440090179443359,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,43,3391
cancer,MPC,0.004996776580810547,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,44,359
cancer,MPC,0.010151147842407227,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,45,9096
cancer,MPC,0.007742643356323242,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,46,3533
cancer,MPC,0.008027791976928711,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,47,4125
cancer,MPC,0.007708311080932617,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,48,3094
cancer,MPC,0.004899024963378906,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,49,6398
