dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
child,MPC,1.0836796760559082,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,0,7816
child,MPC,1.041990041732788,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,1,3578
child,MPC,1.1221473217010498,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,2,2656
child,MPC,1.1051554679870605,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,3,2688
child,MPC,1.1210741996765137,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,4,2494
child,MPC,1.1211161613464355,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,5,183
child,MPC,1.099301815032959,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,6,7977
child,MPC,1.1112070083618164,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,7,3199
child,MPC,1.0876164436340332,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,8,316
child,MPC,1.1544344425201416,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,9,8266
child,MPC,1.1757447719573975,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,10,1532
child,MPC,1.1116704940795898,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,11,1009
child,MPC,1.0487053394317627,24,0.0,0.96,0.0,0.6667,0.64,0.6531,10.0,17.0,380.0,12,2250
child,MPC,1.0526270866394043,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,13,4447
child,MPC,1.1473283767700195,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,14,2415
child,MPC,1.084069013595581,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,15,3595
child,MPC,1.1138253211975098,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,16,4187
child,MPC,1.0723929405212402,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,17,4135
child,MPC,1.0746619701385498,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,18,5174
child,MPC,1.1398305892944336,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,19,5303
child,MPC,1.0473697185516357,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,20,3942
child,MPC,1.082672357559204,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,21,2778
child,MPC,0.8270013332366943,24,0.0,0.96,0.0,0.625,0.6,0.6122,11.0,1.0,361.0,22,2804
child,MPC,1.0347864627838135,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,23,2145
child,MPC,1.0743842124938965,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,24,150
child,MPC,1.1211376190185547,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,25,8823
child,MPC,1.106276273727417,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,26,4669
child,MPC,0.9993784427642822,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,27,6131
child,MPC,1.0381059646606445,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,28,2617
child,MPC,0.9488935470581055,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,29,7166
child,MPC,1.002885341644287,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,30,1428
child,MPC,0.9803886413574219,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,31,8328
child,MPC,1.0255229473114014,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,32,8289
child,MPC,0.9936985969543457,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,33,5978
child,MPC,0.9368400573730469,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,34,5511
child,MPC,1.0035114288330078,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,35,5864
child,MPC,0.941631555557251,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,36,606
child,MPC,1.0446760654449463,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,37,1933
child,MPC,0.9815771579742432,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,38,6071
child,MPC,0.7657749652862549,24,0.0,0.96,0.0,0.625,0.6,0.6122,11.0,1.0,361.0,39,5504
