dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
survey,MPC,0.01059579849243164,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,0,7816
survey,MPC,0.011527776718139648,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,6.0,15.0,29.0,1,3578
survey,MPC,0.011235475540161133,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,6.0,9.0,28.0,2,2656
survey,MPC,0.013605117797851562,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,4.0,0.0,30.0,3,2688
survey,MPC,0.00858449935913086,4,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,10.0,24.0,4,2494
survey,MPC,0.00878143310546875,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,5,183
survey,MPC,0.008972644805908203,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,6,7977
survey,MPC,0.011872053146362305,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,7,3199
survey,MPC,0.010462284088134766,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,8,316
survey,MPC,0.011093854904174805,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,9,8266
survey,MPC,0.014754056930541992,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,5.0,3.0,30.0,10,1532
survey,MPC,0.008859395980834961,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,11,1009
survey,MPC,0.00916147232055664,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,12,2250
survey,MPC,0.009239435195922852,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,13,4447
survey,MPC,0.013273000717163086,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,4.0,0.0,30.0,14,2415
survey,MPC,0.009035587310791016,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,15,3595
survey,MPC,0.010997295379638672,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,16,4187
survey,MPC,0.012657403945922852,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,4.0,0.0,30.0,17,4135
survey,MPC,0.012786388397216797,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,4.0,0.0,30.0,18,5174
survey,MPC,0.007055997848510742,4,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,10.0,24.0,19,5303
survey,MPC,0.009931325912475586,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,20,3942
survey,MPC,0.007685184478759766,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,21,2778
survey,MPC,0.008903741836547852,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,22,2804
survey,MPC,0.008129596710205078,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,23,2145
