dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
survey,MPC,0.0105957984924316,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,0,7816
survey,MPC,0.0115277767181396,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,6.0,15.0,29.0,1,3578
survey,MPC,0.0112354755401611,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,6.0,9.0,28.0,2,2656
survey,MPC,0.0136051177978515,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,4.0,0.0,30.0,3,2688
survey,MPC,0.0085844993591308,4,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,10.0,24.0,4,2494
survey,MPC,0.0087814331054687,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,5,183
survey,MPC,0.0089726448059082,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,6,7977
survey,MPC,0.0118720531463623,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,7,3199
survey,MPC,0.0104622840881347,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,4.0,1.0,25.0,8,316
survey,MPC,0.0110938549041748,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0,9,8266
