dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
survey,MPC,0.0105957984924316,0,0.0,0.0,0.0,,0.0,,6.0,17.0,0,7816
survey,MPC,0.0115277767181396,0,0.0,0.0,0.0,,0.0,,6.0,17.0,1,3578
survey,MPC,0.0112354755401611,2,0.0,0.3333,0.0,1.0,0.3333,0.5,4.0,12.0,2,2656
survey,MPC,0.0136051177978515,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,11.0,3,2688
survey,MPC,0.0085844993591308,0,0.0,0.0,0.0,,0.0,,6.0,17.0,4,2494
survey,MPC,0.0087814331054687,0,0.0,0.0,0.0,,0.0,,6.0,17.0,5,183
survey,MPC,0.0089726448059082,0,0.0,0.0,0.0,,0.0,,6.0,17.0,6,7977
survey,MPC,0.0118720531463623,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,9.0,7,3199
survey,MPC,0.0104622840881347,0,0.0,0.0,0.0,,0.0,,6.0,17.0,8,316
survey,MPC,0.0110938549041748,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,9.0,9,8266
