dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),356.19432497024536,21,0.6667,0.4118,0.3684,0.3333,0.4118,0.3684,21.0,47.0,0,7816
sachs,ABAPC (Ours),20.66051459312439,19,0.3684,0.7059,0.1842,0.6316,0.7059,0.6667,7.0,28.0,1,3578
sachs,ABAPC (Ours),7.314993858337402,20,0.35,0.7647,0.1842,0.65,0.7647,0.7027,7.0,25.0,2,2656
sachs,ABAPC (Ours),23.63278841972351,29,0.6207,0.6471,0.4737,0.3793,0.6471,0.4783,19.0,39.0,3,2688
sachs,ABAPC (Ours),81.11082625389099,21,0.5714,0.5294,0.3158,0.4286,0.5294,0.4737,12.0,34.0,4,2494
sachs,ABAPC (Ours),24.803122520446777,36,0.6944,0.6471,0.6579,0.3056,0.6471,0.4151,25.0,31.0,5,183
sachs,ABAPC (Ours),11.999758243560791,20,0.45,0.6471,0.2368,0.55,0.6471,0.5946,9.0,29.0,6,7977
sachs,ABAPC (Ours),8.548739910125732,20,0.5,0.5882,0.2632,0.5,0.5882,0.5405,10.0,32.0,7,3199
sachs,ABAPC (Ours),187.35451698303223,20,0.45,0.6471,0.2368,0.55,0.6471,0.5946,11.0,24.0,8,316
sachs,ABAPC (Ours),9.350090503692627,23,0.6522,0.4706,0.3947,0.3478,0.4706,0.4,15.0,36.0,9,8266
