dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
survey,ABAPC (Ours),0.43595266342163086,9,0.6667,0.5,0.6667,0.3333,0.5,0.4,8.0,18.0,0,7816
survey,ABAPC (Ours),0.5124189853668213,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,7.0,1,3578
survey,ABAPC (Ours),0.41357994079589844,7,0.8571,0.1667,0.6667,0.1429,0.1667,0.1538,9.0,22.0,2,2656
survey,ABAPC (Ours),0.5023777484893799,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,13.0,3,2688
survey,ABAPC (Ours),0.4770228862762451,8,0.625,0.5,0.5556,0.375,0.5,0.4286,6.0,21.0,4,2494
survey,ABAPC (Ours),0.3673281669616699,7,1.0,0.0,0.7778,0.0,0.0,,9.0,21.0,5,183
survey,ABAPC (Ours),0.6014339923858643,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,9.0,6,7977
survey,ABAPC (Ours),0.39739346504211426,11,0.5455,0.8333,0.6667,0.4545,0.8333,0.5882,6.0,5.0,7,3199
survey,ABAPC (Ours),0.446270227432251,7,0.8571,0.1667,0.6667,0.1429,0.1667,0.1538,9.0,22.0,8,316
survey,ABAPC (Ours),0.46518516540527344,8,0.625,0.5,0.5556,0.375,0.5,0.4286,5.0,17.0,9,8266
