dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
earthquake,ABAPC (Ours),0.08150863647460938,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,0,7816
earthquake,ABAPC (Ours),0.06808209419250488,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,1,3578
earthquake,ABAPC (Ours),0.30006861686706543,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,2,2656
earthquake,ABAPC (Ours),0.07372784614562988,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,3,2688
earthquake,ABAPC (Ours),0.08622908592224121,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,4,2494
earthquake,ABAPC (Ours),0.28852176666259766,5,0.2,1.0,0.1667,0.8,1.0,0.8889,0.8,1.0,0.8889,0.4,1.0,0.5714,1.0,0.0,14.0,5,183
earthquake,ABAPC (Ours),0.07350850105285645,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,6,7977
earthquake,ABAPC (Ours),0.07065010070800781,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,7,3199
earthquake,ABAPC (Ours),0.07198810577392578,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,8,316
earthquake,ABAPC (Ours),0.07205605506896973,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,9,8266
