dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),112.16843843460083,23,0.7826,0.2941,0.4737,0.2174,0.2941,0.25,0.5217,0.7059,0.6,0.2174,0.2941,0.25,23.0,50.0,0,7816
sachs,ABAPC (Ours),15.618115186691284,20,0.55,0.5294,0.2895,0.45,0.5294,0.4865,0.85,1.0,0.9189,0.45,0.5294,0.4865,11.0,35.0,1,3578
sachs,ABAPC (Ours),4.853898763656616,19,0.3684,0.7059,0.1842,0.6316,0.7059,0.6667,0.8947,1.0,0.9444,0.6316,0.7059,0.6667,7.0,26.0,2,2656
sachs,ABAPC (Ours),25.004968404769897,24,0.5417,0.6471,0.3421,0.4583,0.6471,0.5366,0.6667,0.9412,0.7805,0.4583,0.6471,0.5366,14.0,31.0,3,2688
sachs,ABAPC (Ours),4.944373369216919,17,0.3529,0.6471,0.1579,0.6471,0.6471,0.6471,1.0,1.0,1.0,0.6471,0.6471,0.6471,6.0,31.0,4,2494
sachs,ABAPC (Ours),5.111543893814087,19,0.3684,0.7059,0.1842,0.6316,0.7059,0.6667,0.8947,1.0,0.9444,0.6316,0.7059,0.6667,7.0,30.0,5,183
sachs,ABAPC (Ours),11.468415975570679,17,0.4706,0.5294,0.2105,0.5294,0.5294,0.5294,0.8824,0.8824,0.8824,0.5294,0.5294,0.5294,10.0,43.0,6,7977
sachs,ABAPC (Ours),7.2455222606658936,23,0.6522,0.4706,0.3947,0.3478,0.4706,0.4,0.7391,1.0,0.85,0.3478,0.4706,0.4,15.0,39.0,7,3199
sachs,ABAPC (Ours),460.62539172172546,27,0.7407,0.4118,0.5263,0.2593,0.4118,0.3182,0.6296,1.0,0.7727,0.2593,0.4118,0.3182,20.0,38.0,8,316
sachs,ABAPC (Ours),8.711268186569214,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,22.0,9,8266
