dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
asia,ABAPC (Ours),0.955247163772583,11,0.6364,0.5,0.35,0.1818,0.25,0.2105,0.4545,0.625,0.5263,0.0,0.0,0.0,13.0,27.0,50.0,0,7816
asia,ABAPC (Ours),0.6579606533050537,17,0.6471,0.75,0.55,0.1765,0.375,0.24,0.3529,0.75,0.48,0.1176,0.5,0.1905,15.0,2.0,27.0,1,3578
asia,ABAPC (Ours),1.6389622688293457,19,0.6842,0.75,0.65,0.1579,0.375,0.2222,0.3158,0.75,0.4444,0.0526,0.25,0.087,20.0,4.0,47.0,2,2656
asia,ABAPC (Ours),0.6935210227966309,19,0.6842,0.75,0.65,0.1053,0.25,0.1481,0.3158,0.75,0.4444,0.0526,0.25,0.087,17.0,3.0,47.0,3,2688
asia,ABAPC (Ours),0.8222377300262451,19,0.7368,0.625,0.7,0.1053,0.25,0.1481,0.3158,0.75,0.4444,0.0526,0.25,0.087,20.0,21.0,51.0,4,2494
asia,ABAPC (Ours),0.6693642139434814,19,0.7895,0.5,0.75,0.0526,0.125,0.0741,0.2105,0.5,0.2963,0.0,0.0,0.0,21.0,8.0,50.0,5,183
asia,ABAPC (Ours),0.6255741119384766,14,0.6429,0.625,0.45,0.2143,0.375,0.2727,0.4286,0.75,0.5455,0.2143,0.75,0.3333,11.0,10.0,21.0,6,7977
asia,ABAPC (Ours),1.7092289924621582,24,0.7917,0.625,0.95,0.0833,0.25,0.125,0.25,0.75,0.375,0.0,0.0,0.0,24.0,5.0,49.0,7,3199
asia,ABAPC (Ours),1.130542278289795,19,0.7895,0.5,0.75,0.1053,0.25,0.1481,0.2105,0.5,0.2963,0.0,0.0,0.0,22.0,11.0,47.0,8,316
asia,ABAPC (Ours),0.6991498470306396,11,0.5455,0.625,0.3,0.2727,0.375,0.3158,0.4545,0.625,0.5263,0.2727,0.75,0.4,9.0,7.0,27.0,9,8266
