dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
earthquake,ABAPC (Ours),0.08029961585998535,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7816
earthquake,ABAPC (Ours),0.0820302963256836,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,3578
earthquake,ABAPC (Ours),0.46926021575927734,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,2656
earthquake,ABAPC (Ours),0.07647967338562012,5,0.2,1.0,0.1667,0.8,1.0,0.8889,0.8,1.0,0.8889,0.8,1.0,0.8889,1.0,0.0,3,2688
earthquake,ABAPC (Ours),0.604280948638916,6,1.0,0.0,1.0,0.0,0.0,,0.6667,1.0,0.8,0.0,0.0,0.0,6.0,18.0,4,2494
earthquake,ABAPC (Ours),0.3568441867828369,5,0.2,1.0,0.1667,0.8,1.0,0.8889,0.8,1.0,0.8889,0.8,1.0,0.8889,1.0,0.0,5,183
earthquake,ABAPC (Ours),0.07445478439331055,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6,7977
earthquake,ABAPC (Ours),0.42178964614868164,5,0.2,1.0,0.1667,0.8,1.0,0.8889,0.8,1.0,0.8889,0.8,1.0,0.8889,1.0,0.0,7,3199
earthquake,ABAPC (Ours),0.07476258277893066,5,0.2,1.0,0.1667,0.8,1.0,0.8889,0.8,1.0,0.8889,0.8,1.0,0.8889,1.0,0.0,8,316
earthquake,ABAPC (Ours),0.06945919990539551,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9,8266
