dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,ABAPC (Ours),488.24791860580444,19,0.4211,0.6471,0.2105,0.2105,0.2353,0.2222,0.6842,0.7647,0.7222,0.0,0.0,0.0,14.0,31.0,58.0,0,7816
sachs,ABAPC (Ours),21.110631942749023,27,0.3704,1.0,0.2632,0.2222,0.3529,0.2727,0.6296,1.0,0.7727,0.0,0.0,0.0,14.0,0.0,49.0,1,3578
sachs,ABAPC (Ours),6.881621837615967,20,0.2,0.9412,0.1053,0.15,0.1765,0.1622,0.85,1.0,0.9189,0.0,0.0,0.0,7.0,4.0,56.0,2,2656
sachs,ABAPC (Ours),27.684272527694702,28,0.5,0.8235,0.3684,0.1071,0.1765,0.1333,0.6071,1.0,0.7556,0.0,0.0,0.0,15.0,16.0,61.0,3,2688
sachs,ABAPC (Ours),61.67333149909973,22,0.4091,0.7647,0.2368,0.0909,0.1176,0.1026,0.7727,1.0,0.8718,0.0,0.0,0.0,10.0,23.0,59.0,4,2494
sachs,ABAPC (Ours),26.06742286682129,20,0.25,0.8824,0.1316,0.1,0.1176,0.1081,0.8,0.9412,0.8649,0.0,0.0,0.0,6.0,6.0,59.0,5,183
sachs,ABAPC (Ours),12.546772003173828,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,6,7977
sachs,ABAPC (Ours),8.537863492965698,20,0.25,0.8824,0.1316,0.05,0.0588,0.0541,0.85,1.0,0.9189,0.0,0.0,0.0,5.0,14.0,62.0,7,3199
sachs,ABAPC (Ours),229.36274886131287,24,0.3333,0.9412,0.2105,0.1667,0.2353,0.1951,0.7083,1.0,0.8293,0.0,0.0,0.0,10.0,2.0,54.0,8,316
sachs,ABAPC (Ours),11.470072507858276,18,0.3889,0.6471,0.1842,0.0556,0.0588,0.0571,0.7222,0.7647,0.7429,0.0,0.0,0.0,12.0,18.0,52.0,9,8266
