dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,ABAPC (Ours),0.3999783992767334,9,0.7778,0.3333,0.7778,0.2222,0.3333,0.2667,0.4444,0.6667,0.5333,0.2222,0.5,0.3077,10.0,20.0,29.0,0,7816
survey,ABAPC (Ours),0.3863048553466797,6,0.5,0.5,0.3333,0.5,0.5,0.5,0.6667,0.6667,0.6667,0.5,0.5,0.5,5.0,9.0,9.0,1,3578
survey,ABAPC (Ours),0.3415083885192871,8,0.75,0.3333,0.6667,0.25,0.3333,0.2857,0.375,0.5,0.4286,0.25,0.5,0.3333,10.0,12.0,19.0,2,2656
survey,ABAPC (Ours),0.5428898334503174,9,0.4444,0.8333,0.4444,0.5556,0.8333,0.6667,0.6667,1.0,0.8,0.4444,1.0,0.6154,4.0,7.0,13.0,3,2688
survey,ABAPC (Ours),0.37502121925354004,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,0.5714,0.6667,0.6154,0.4286,0.75,0.5455,6.0,12.0,18.0,4,2494
survey,ABAPC (Ours),0.6566586494445801,8,0.625,0.5,0.5556,0.375,0.5,0.4286,0.5,0.6667,0.5714,0.25,0.5,0.3333,9.0,13.0,28.0,5,183
survey,ABAPC (Ours),0.7804811000823975,6,0.5,0.5,0.3333,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,0.5,0.4,8.0,13.0,27.0,6,7977
survey,ABAPC (Ours),0.4592103958129883,8,0.375,0.8333,0.3333,0.625,0.8333,0.7143,0.75,1.0,0.8571,0.375,0.75,0.5,5.0,6.0,19.0,7,3199
survey,ABAPC (Ours),0.5305759906768799,9,0.6667,0.5,0.6667,0.3333,0.5,0.4,0.4444,0.6667,0.5333,0.3333,0.75,0.4615,10.0,10.0,23.0,8,316
survey,ABAPC (Ours),0.458423376083374,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,0.7143,0.8333,0.7692,0.2857,0.5,0.3636,7.0,6.0,26.0,9,8266
