dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
sachs,ABAPC (Ours),4.239300489425659,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,0,7816
sachs,ABAPC (Ours),3.908339023590088,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,1,3578
sachs,ABAPC (Ours),4.296007394790649,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,2,2656
sachs,ABAPC (Ours),4.2366461753845215,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,3,2688
sachs,ABAPC (Ours),3.9248712062835693,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,4,2494
sachs,ABAPC (Ours),4.101513385772705,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,5,183
sachs,ABAPC (Ours),3.951367139816284,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,6,7977
sachs,ABAPC (Ours),4.053919315338135,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,7,3199
sachs,ABAPC (Ours),4.278909921646118,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,8,316
sachs,ABAPC (Ours),4.0205605030059814,18,0.0556,1.0,0.0263,0.1111,0.1176,0.1143,1.0,0.0,46.0,9,8266
