dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),4.239300489425659,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,37.0,0,7816
sachs,ABAPC (Ours),3.908339023590088,17,0.1176,0.8824,0.0526,0.8824,0.8824,0.8824,2.0,11.0,1,3578
sachs,ABAPC (Ours),4.296007394790649,17,0.5882,0.4118,0.2632,0.4118,0.4118,0.4118,10.0,45.0,2,2656
sachs,ABAPC (Ours),4.2366461753845215,17,0.1176,0.8824,0.0526,0.8824,0.8824,0.8824,2.0,9.0,3,2688
sachs,ABAPC (Ours),3.9248712062835693,17,0.3529,0.6471,0.1579,0.6471,0.6471,0.6471,6.0,30.0,4,2494
sachs,ABAPC (Ours),4.101513385772705,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,5,183
sachs,ABAPC (Ours),3.951367139816284,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,44.0,6,7977
sachs,ABAPC (Ours),4.053919315338135,17,0.4706,0.5294,0.2105,0.5294,0.5294,0.5294,8.0,43.0,7,3199
sachs,ABAPC (Ours),4.278909921646118,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,9.0,39.0,8,316
sachs,ABAPC (Ours),4.0205605030059814,18,0.2222,0.8235,0.1053,0.7778,0.8235,0.8,4.0,21.0,9,8266
