dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,ABAPC (Ours),0.3688063621520996,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,21.0,0,7816
asia,ABAPC (Ours),0.4146263599395752,4,0.25,0.375,0.05,0.75,0.375,0.5,1.0,0.5,0.6667,0.75,0.375,0.5,5.0,23.0,1,3578
asia,ABAPC (Ours),0.40413761138916016,5,0.6,0.25,0.15,0.4,0.25,0.3077,1.0,0.625,0.7692,0.4,0.25,0.3077,6.0,38.0,2,2656
asia,ABAPC (Ours),0.34569787979125977,4,0.75,0.125,0.15,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.125,0.1667,7.0,34.0,3,2688
asia,ABAPC (Ours),0.7094488143920898,4,0.75,0.125,0.15,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.125,0.1667,7.0,38.0,4,2494
asia,ABAPC (Ours),0.35803937911987305,4,0.25,0.375,0.05,0.75,0.375,0.5,1.0,0.5,0.6667,0.75,0.375,0.5,5.0,23.0,5,183
asia,ABAPC (Ours),0.35889530181884766,5,0.4,0.375,0.1,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.375,0.4615,5.0,29.0,6,7977
asia,ABAPC (Ours),0.47061991691589355,5,0.6,0.25,0.15,0.4,0.25,0.3077,1.0,0.625,0.7692,0.4,0.25,0.3077,6.0,36.0,7,3199
asia,ABAPC (Ours),0.4397439956665039,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,23.0,8,316
asia,ABAPC (Ours),0.42918944358825684,6,0.5,0.375,0.15,0.5,0.375,0.4286,1.0,0.75,0.8571,0.5,0.375,0.4286,5.0,28.0,9,8266
