dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
cancer,ABAPC (Ours),0.21999263763427734,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,5.0,0,7816
cancer,ABAPC (Ours),0.24912118911743164,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.6667,0.5,0.5714,2.0,6.0,1,3578
cancer,ABAPC (Ours),0.25829625129699707,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,11.0,2,2656
cancer,ABAPC (Ours),0.35780811309814453,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.6667,0.5,0.5714,2.0,6.0,3,2688
cancer,ABAPC (Ours),0.3030834197998047,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,2494
cancer,ABAPC (Ours),0.19176054000854492,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.6667,0.5,0.5714,2.0,6.0,5,183
cancer,ABAPC (Ours),0.2174515724182129,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,11.0,6,7977
cancer,ABAPC (Ours),0.21746206283569336,3,1.0,0.0,0.5,0.0,0.0,,1.0,0.75,0.8571,0.0,0.0,0.0,4.0,16.0,7,3199
cancer,ABAPC (Ours),0.21752452850341797,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.6667,0.5,0.5714,2.0,6.0,8,316
cancer,ABAPC (Ours),0.19252562522888184,4,0.75,0.25,0.5,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,3.0,15.0,9,8266
