dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),4.129410266876221,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,15.0,0,7816
sachs,ABAPC (Ours),3.965909242630005,17,0.4706,0.5294,0.2105,0.5294,0.5294,0.5294,1.0,1.0,1.0,0.5294,0.5294,0.5294,8.0,41.0,1,3578
sachs,ABAPC (Ours),3.9246227741241455,17,0.3529,0.6471,0.1579,0.6471,0.6471,0.6471,1.0,1.0,1.0,0.6471,0.6471,0.6471,6.0,29.0,2,2656
sachs,ABAPC (Ours),4.038113355636597,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,1.0,1.0,1.0,0.7059,0.7059,0.7059,5.0,21.0,3,2688
sachs,ABAPC (Ours),3.8486087322235107,17,0.3529,0.6471,0.1579,0.6471,0.6471,0.6471,1.0,1.0,1.0,0.6471,0.6471,0.6471,6.0,29.0,4,2494
sachs,ABAPC (Ours),4.126332521438599,17,0.5882,0.4118,0.2632,0.4118,0.4118,0.4118,1.0,1.0,1.0,0.4118,0.4118,0.4118,10.0,45.0,5,183
sachs,ABAPC (Ours),4.0603485107421875,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,1.0,1.0,1.0,0.7059,0.7059,0.7059,5.0,29.0,6,7977
sachs,ABAPC (Ours),4.15900182723999,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,1.0,1.0,1.0,0.5882,0.5882,0.5882,7.0,35.0,7,3199
sachs,ABAPC (Ours),4.003825664520264,17,0.4706,0.5294,0.2105,0.5294,0.5294,0.5294,1.0,1.0,1.0,0.5294,0.5294,0.5294,8.0,38.0,8,316
sachs,ABAPC (Ours),3.9338817596435547,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,1.0,1.0,1.0,0.7647,0.7647,0.7647,4.0,25.0,9,8266
