dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,ABAPC (Ours),0.26680827140808105,5,0.4,0.5,0.2222,0.6,0.5,0.5455,1.0,0.8333,0.9091,0.4,0.5,0.4444,5.0,14.0,15.0,0,7816
survey,ABAPC (Ours),0.22897958755493164,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,1.0,0.5,0.6667,0.3333,0.25,0.2857,6.0,13.0,19.0,1,3578
survey,ABAPC (Ours),0.2081615924835205,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,1.0,0.8333,0.9091,0.8,1.0,0.8889,1.0,5.0,12.0,2,2656
survey,ABAPC (Ours),0.2649235725402832,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.6667,1.0,0.8,1.0,7.0,13.0,3,2688
survey,ABAPC (Ours),0.2444314956665039,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.5,0.6,3.0,13.0,13.0,4,2494
survey,ABAPC (Ours),0.22060775756835938,3,0.0,0.5,0.0,1.0,0.5,0.6667,1.0,0.5,0.6667,0.6667,0.5,0.5714,5.0,10.0,24.0,5,183
survey,ABAPC (Ours),0.20517516136169434,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,17.0,18.0,6,7977
survey,ABAPC (Ours),0.23307490348815918,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,1.0,0.8889,4.0,16.0,17.0,7,3199
survey,ABAPC (Ours),0.2292938232421875,5,0.4,0.5,0.2222,0.6,0.5,0.5455,1.0,0.8333,0.9091,0.6,0.75,0.6667,6.0,18.0,25.0,8,316
survey,ABAPC (Ours),0.22388458251953125,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.5,0.5,0.5,6.0,12.0,19.0,9,8266
