dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
asia,ABAPC (Ours),0.4418761730194092,6,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.1667,0.25,0.2,5.0,26.0,41.0,0,7816
asia,ABAPC (Ours),0.45349693298339844,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,1,3578
asia,ABAPC (Ours),0.4675271511077881,7,0.1429,0.75,0.05,0.5714,0.5,0.5333,0.8571,0.75,0.8,0.4286,0.75,0.5455,3.0,11.0,23.0,2,2656
asia,ABAPC (Ours),0.40782666206359863,5,0.4,0.375,0.1,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.75,0.6667,6.0,27.0,30.0,3,2688
asia,ABAPC (Ours),0.4332444667816162,5,0.0,0.625,0.0,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.75,0.6667,4.0,14.0,24.0,4,2494
asia,ABAPC (Ours),0.41147351264953613,4,0.0,0.5,0.0,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.25,0.25,6.0,16.0,31.0,5,183
asia,ABAPC (Ours),0.43367743492126465,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,6,7977
asia,ABAPC (Ours),0.4682490825653076,5,0.0,0.625,0.0,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.75,0.6667,4.0,14.0,24.0,7,3199
asia,ABAPC (Ours),0.4653337001800537,4,0.0,0.5,0.0,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.25,0.25,6.0,16.0,31.0,8,316
asia,ABAPC (Ours),0.45747804641723633,7,0.2857,0.625,0.1,0.2857,0.25,0.2667,0.8571,0.75,0.8,0.1429,0.25,0.1818,7.0,21.0,36.0,9,8266
