dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,ABAPC (Ours),0.4418761730194092,6,0.5,0.375,0.15,0.5,0.375,0.4286,1.0,0.75,0.8571,0.5,0.375,0.4286,5.0,33.0,0,7816
asia,ABAPC (Ours),0.45349693298339844,5,0.4,0.375,0.1,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.375,0.4615,5.0,29.0,1,3578
asia,ABAPC (Ours),0.4675271511077881,7,0.2857,0.625,0.1,0.7143,0.625,0.6667,0.8571,0.75,0.8,0.7143,0.625,0.6667,4.0,16.0,2,2656
asia,ABAPC (Ours),0.40782666206359863,5,0.6,0.25,0.15,0.4,0.25,0.3077,1.0,0.625,0.7692,0.4,0.25,0.3077,6.0,30.0,3,2688
asia,ABAPC (Ours),0.4332444667816162,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,21.0,4,2494
asia,ABAPC (Ours),0.41147351264953613,4,0.25,0.375,0.05,0.75,0.375,0.5,1.0,0.5,0.6667,0.75,0.375,0.5,5.0,23.0,5,183
asia,ABAPC (Ours),0.43367743492126465,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,22.0,6,7977
asia,ABAPC (Ours),0.4682490825653076,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,21.0,7,3199
asia,ABAPC (Ours),0.4653337001800537,4,0.25,0.375,0.05,0.75,0.375,0.5,1.0,0.5,0.6667,0.75,0.375,0.5,5.0,23.0,8,316
asia,ABAPC (Ours),0.45747804641723633,7,0.5714,0.375,0.2,0.4286,0.375,0.4,0.8571,0.75,0.8,0.4286,0.375,0.4,6.0,36.0,9,8266
