dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
cancer,ABAPC (Ours),0.2776057720184326,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,5.0,10.0,0,7816
cancer,ABAPC (Ours),0.24715304374694824,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,5.0,10.0,1,3578
cancer,ABAPC (Ours),0.2315073013305664,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.3333,0.5,0.4,2.0,6.0,11.0,2,2656
cancer,ABAPC (Ours),0.26739501953125,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,3,2688
cancer,ABAPC (Ours),0.2621586322784424,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,4,2494
cancer,ABAPC (Ours),0.20346474647521973,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.3333,0.5,0.4,2.0,6.0,11.0,5,183
cancer,ABAPC (Ours),0.2778923511505127,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,6,7977
cancer,ABAPC (Ours),0.2310326099395752,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,7,3199
cancer,ABAPC (Ours),0.23646235466003418,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,8,316
cancer,ABAPC (Ours),0.2382831573486328,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,9,8266
