dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,ABAPC (Ours),4.018677234649658,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0,7816
sachs,ABAPC (Ours),3.881220817565918,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1,3578
sachs,ABAPC (Ours),3.9549055099487305,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,2,2656
sachs,ABAPC (Ours),4.086293697357178,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,3,2688
sachs,ABAPC (Ours),3.9023172855377197,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4,2494
sachs,ABAPC (Ours),4.216174125671387,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,5,183
sachs,ABAPC (Ours),3.8624610900878906,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,6,7977
sachs,ABAPC (Ours),4.161930799484253,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,7,3199
sachs,ABAPC (Ours),4.178415298461914,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,8,316
sachs,ABAPC (Ours),3.9735400676727295,18,0.0556,1.0,0.0263,0.1111,0.1176,0.1143,0.9444,1.0,0.9714,0.0,0.0,0.0,1.0,0.0,46.0,9,8266
