dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,ABAPC (Ours),0.2952296733856201,5,0.4,0.5,0.2222,0.6,0.5,0.5455,1.0,0.8333,0.9091,0.4,0.5,0.4444,5.0,14.0,15.0,0,7816
survey,ABAPC (Ours),0.32642698287963867,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.6667,1.0,0.8,4.0,5.0,22.0,1,3578
survey,ABAPC (Ours),0.2946488857269287,6,0.1667,0.8333,0.1111,0.6667,0.6667,0.6667,0.8333,0.8333,0.8333,0.5,0.75,0.6,4.0,5.0,23.0,2,2656
survey,ABAPC (Ours),0.29878807067871094,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.6667,1.0,0.8,1.0,7.0,13.0,3,2688
survey,ABAPC (Ours),0.2721984386444092,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,17.0,18.0,4,2494
survey,ABAPC (Ours),0.24558806419372559,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,1.0,0.6667,0.8,0.5,0.3333,0.4,4.0,15.0,15.0,5,183
survey,ABAPC (Ours),0.25151968002319336,5,0.4,0.5,0.2222,0.6,0.5,0.5455,1.0,0.8333,0.9091,0.6,0.75,0.6667,5.0,18.0,19.0,6,7977
survey,ABAPC (Ours),0.2948801517486572,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,1.0,0.8889,4.0,16.0,17.0,7,3199
survey,ABAPC (Ours),0.2832176685333252,5,0.4,0.5,0.2222,0.6,0.5,0.5455,1.0,0.8333,0.9091,0.6,0.75,0.6667,6.0,18.0,25.0,8,316
survey,ABAPC (Ours),0.291759729385376,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,1.0,0.8333,0.9091,0.8,1.0,0.8889,3.0,9.0,17.0,9,8266
