dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
earthquake,ABAPC (Ours),0.0566251277923584,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,7816
earthquake,ABAPC (Ours),0.051941633224487305,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,3578
earthquake,ABAPC (Ours),0.058080196380615234,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2,2656
earthquake,ABAPC (Ours),0.5480146408081055,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,3,2688
earthquake,ABAPC (Ours),0.06228899955749512,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,2494
earthquake,ABAPC (Ours),0.06474757194519043,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5,183
earthquake,ABAPC (Ours),0.04912281036376953,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6,7977
earthquake,ABAPC (Ours),0.05961465835571289,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,7,3199
earthquake,ABAPC (Ours),0.30338501930236816,5,0.2,1.0,0.1667,0.8,1.0,0.8889,1.0,0.0,8,316
earthquake,ABAPC (Ours),0.04953575134277344,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9,8266
