dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
sachs,ABAPC (Ours),5.561969995498657,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,0,7816
sachs,ABAPC (Ours),5.164053201675415,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,1,3578
sachs,ABAPC (Ours),5.343524217605591,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,2,2656
sachs,ABAPC (Ours),5.276605129241943,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,3,2688
sachs,ABAPC (Ours),5.042299270629883,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,4,2494
sachs,ABAPC (Ours),5.01535701751709,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,5,183
sachs,ABAPC (Ours),4.210106611251831,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,6,7977
sachs,ABAPC (Ours),5.129722595214844,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,7,3199
sachs,ABAPC (Ours),5.750450134277344,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,8,316
sachs,ABAPC (Ours),8.063236474990845,18,0.1111,0.9412,0.0526,0.1111,0.1176,0.1143,2.0,4.0,61.0,9,8266
