dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),5.561969995498657,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,7.0,30.0,0,7816
sachs,ABAPC (Ours),5.164053201675415,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,7.0,37.0,1,3578
sachs,ABAPC (Ours),5.343524217605591,17,0.1176,0.8824,0.0526,0.8824,0.8824,0.8824,2.0,5.0,2,2656
sachs,ABAPC (Ours),5.276605129241943,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,7.0,37.0,3,2688
sachs,ABAPC (Ours),5.042299270629883,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,4.0,27.0,4,2494
sachs,ABAPC (Ours),5.01535701751709,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,3.0,21.0,5,183
sachs,ABAPC (Ours),4.210106611251831,17,0.4118,0.5882,0.1842,0.5882,0.5882,0.5882,7.0,34.0,6,7977
sachs,ABAPC (Ours),5.129722595214844,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,3.0,15.0,7,3199
sachs,ABAPC (Ours),5.750450134277344,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,4.0,27.0,8,316
sachs,ABAPC (Ours),8.063236474990845,18,0.3333,0.7059,0.1579,0.6667,0.7059,0.6857,6.0,27.0,9,8266
